intelligence_id,title,source_type,source_path_or_url,published_at,collected_at,market_scope,topic_tags,strategy_tags,evidence_type,quality_score,novelty_score,actionability_score,data_availability,bias_risk,recommended_action,status,linked_strategy_task,reviewed_at
INT-AUTO-fe3cd26fa58d,FinRL: Deep Reinforcement Learning Framework to Automate Trading in Quantitative Finance,paper,https://arxiv.org/abs/2111.09395v1,2021-11-07,2026-06-23,,deep-learning,ml-baseline,arxiv_metadata,,,,,,screen,collected,T5.2,
INT-AUTO-59a8c76a1392,A New Strategy for the Exploration of Venus,paper,https://arxiv.org/abs/2412.06830v1,2024-12-06,2026-06-23,,,,arxiv_metadata,,,,,,screen,collected,T5.2,
INT-AUTO-ef96dbdf6161,FinRL: A Deep Reinforcement Learning Library for Automated Stock Trading in Quantitative Finance,paper,https://arxiv.org/abs/2011.09607v2,2020-11-19,2026-06-23,,deep-learning,ml-baseline,arxiv_metadata,,,,,,screen,collected,T5.2,
INT-AUTO-994e36eb1fcb,FinRL-Podracer: High Performance and Scalable Deep Reinforcement Learning for Quantitative Finance,paper,https://arxiv.org/abs/2111.05188v1,2021-11-07,2026-06-23,,deep-learning,ml-baseline,arxiv_metadata,,,,,,screen,collected,T5.2,
INT-AUTO-b5a3e711e438,Quantum Game Theory in Finance,paper,https://arxiv.org/abs/quant-ph/0406129v1,2004-06-18,2026-06-23,,,,arxiv_metadata,,,,,,screen,collected,T5.2,
INT-AUTO-139365da9c06,The Cross‐Section of Expected Stock Returns,paper,https://doi.org/10.1111/j.1540-6261.1992.tb04398.x,1992,2026-06-23,,,,openalex_metadata,,,,,,screen,collected,T5.2,
INT-AUTO-9c22af34aef1,On Persistence in Mutual Fund Performance,paper,https://doi.org/10.1111/j.1540-6261.1997.tb03808.x,1997,2026-06-23,,,,openalex_metadata,,,,,,screen,collected,T5.2,
INT-AUTO-637daed43ca6,Editor's Choice Digesting Anomalies: An Investment Approach,paper,https://doi.org/10.1093/rfs/hhu068,,2026-06-23,,,,openalex_metadata,,,,,,screen,collected,T5.2,
INT-AUTO-78d77b05e9b7,Do Domestic Firms Benefit from Direct Foreign Investment? Evidence from Venezuela,paper,https://doi.org/10.1257/aer.89.3.605,1999,2026-06-23,,,,openalex_metadata,,,,,,screen,collected,T5.2,
INT-AUTO-c44353829357,"Contrarian Investment, Extrapolation, and Risk",paper,https://doi.org/10.3386/w4360,1993,2026-06-23,,risk,risk-control,openalex_metadata,,,,,,screen,collected,T5.2,
INT-AUTO-d1fe7e20423f,Research on Quantitative Investment Strategy of Stock Index Futures Based on XGBoost Model,paper,https://doi.org/10.5220/0011825700003612,2022,2026-06-23,,machine-learning,ml-ranking,crossref_metadata,,,,,,screen,collected,T5.2,
INT-AUTO-46c3bce7922e,Quantitative Investment Strategy Cases,paper,https://doi.org/10.1201/9781315382197-6,2018,2026-06-23,,,,crossref_metadata,,,,,,screen,collected,T5.2,
INT-AUTO-050869ad746f,CNN-BiLSTM-Attention Based Stock Price Prediction and Quantitative Investment Strategy,paper,https://doi.org/10.54097/jxs44k42,2024,2026-06-23,,deep-learning,ml-baseline,crossref_metadata,,,,,,screen,collected,T5.2,
INT-AUTO-f6ec9f1af432,Research on stock quantitative investment strategy based on ARIMA-GARCH-MLP Model,paper,https://doi.org/10.1109/tocs56154.2022.10015947,2022,2026-06-23,,,,crossref_metadata,,,,,,screen,collected,T5.2,
INT-AUTO-a8bb64257e1f,A stock-picking strategy,paper,https://doi.org/10.7551/mitpress/3951.003.0006,1998,2026-06-23,,,,crossref_metadata,,,,,,screen,collected,T5.2,
INT-AUTO-e5f35a04a501,Recent Quant Links from Quantocracy as of 06/21/2026,research_report,https://quantocracy.com/recent-quant-links-from-quantocracy-as-of-06212026/,"Mon, 22 Jun 2026 05:15:06 +0000",2026-06-23,,,,rss_metadata,,,,,,screen,collected,T5.2,
INT-AUTO-561528903ba4,Recent Quant Links from Quantocracy as of 06/17/2026,research_report,https://quantocracy.com/recent-quant-links-from-quantocracy-as-of-06172026/,"Thu, 18 Jun 2026 05:15:05 +0000",2026-06-23,,,,rss_metadata,,,,,,screen,collected,T5.2,
INT-AUTO-2172d8f41e04,Recent Quant Links from Quantocracy as of 06/16/2026,research_report,https://quantocracy.com/recent-quant-links-from-quantocracy-as-of-06162026/,"Wed, 17 Jun 2026 05:15:05 +0000",2026-06-23,,,,rss_metadata,,,,,,screen,collected,T5.2,
INT-AUTO-b26e510a9ddd,Recent Quant Links from Quantocracy as of 06/12/2026,research_report,https://quantocracy.com/recent-quant-links-from-quantocracy-as-of-06122026/,"Sat, 13 Jun 2026 05:15:05 +0000",2026-06-23,,,,rss_metadata,,,,,,screen,collected,T5.2,
INT-AUTO-a0d449752a7a,Recent Quant Links from Quantocracy as of 06/09/2026,research_report,https://quantocracy.com/recent-quant-links-from-quantocracy-as-of-06092026/,"Wed, 10 Jun 2026 05:15:04 +0000",2026-06-23,,,,rss_metadata,,,,,,screen,collected,T5.2,
