brief_date,signal_date,symbol,name,action,current_weight,target_weight,weight_change,account_id,strategy_id
2026-06-29,2026-06-29,SH.600176,中国巨石,新账户重启零仓位占位,0.0,0.0,0.0,,
2026-06-29,2026-06-29,SH.600183,生益科技,新账户重启零仓位占位,0.0,0.0,0.0,,
2026-06-29,2026-06-29,SH.600549,厦门钨业,新账户重启零仓位占位,0.0,0.0,0.0,,
2026-06-29,2026-06-29,SH.600584,长电科技,新账户重启零仓位占位,0.0,0.0,0.0,,
2026-06-29,2026-06-29,SH.603256,宏和科技,新账户重启零仓位占位,0.0,0.0,0.0,,
2026-06-29,2026-06-29,SH.603986,兆易创新,新账户重启零仓位占位,0.0,0.0,0.0,,
2026-06-29,2026-06-29,SH.688126,沪硅产业,新账户重启零仓位占位,0.0,0.0,0.0,,
2026-06-29,2026-06-29,SH.688146,中船特气,新账户重启零仓位占位,0.0,0.0,0.0,,
2026-06-29,2026-06-29,SH.688347,华虹公司,新账户重启零仓位占位,0.0,0.0,0.0,,
2026-06-29,2026-06-29,SH.688498,源杰科技,新账户重启零仓位占位,0.0,0.0,0.0,,
2026-06-29,2026-06-29,SZ.000021,深科技,新账户重启零仓位占位,0.0,0.0,0.0,,
2026-06-29,2026-06-29,SZ.000636,风华高科,新账户重启零仓位占位,0.0,0.0,0.0,,
2026-06-29,2026-06-29,SZ.000657,中钨高新,新账户重启零仓位占位,0.0,0.0,0.0,,
2026-06-29,2026-06-29,SZ.000725,京东方Ａ,新账户重启零仓位占位,0.0,0.0,0.0,,
2026-06-29,2026-06-29,SZ.300223,北京君正,新账户重启零仓位占位,0.0,0.0,0.0,,
2026-06-29,2026-06-29,SZ.300285,国瓷材料,新账户重启零仓位占位,0.0,0.0,0.0,,
2026-06-29,2026-06-29,SZ.300408,三环集团,新账户重启零仓位占位,0.0,0.0,0.0,,
2026-06-29,2026-06-29,SZ.300433,蓝思科技,新账户重启零仓位占位,0.0,0.0,0.0,,
2026-06-29,2026-06-29,SZ.300604,长川科技,新账户重启零仓位占位,0.0,0.0,0.0,,
2026-06-29,2026-06-29,SZ.301217,铜冠铜箔,新账户重启零仓位占位,0.0,0.0,0.0,,
2026-06-29,2026-06-29,SZ.301511,德福科技,新账户重启零仓位占位,0.0,0.0,0.0,,
2026-06-29,2026-06-29,SZ.301526,国际复材,新账户重启零仓位占位,0.0,0.0,0.0,,
2026-06-30,2026-06-29,SH.688146,中船特气,关注买入,0.0,0.0199,0.0199,,
2026-06-30,2026-06-29,SZ.000636,风华高科,关注买入,0.0,0.0343,0.0343,,
