symbol,name,industry,latest_price,pct_change,amount,volume,turnover_rate,total_mv,circ_mv,pe_ttm,pb,roe,revenue_growth,profit_growth,cash_flow_quality,debt_to_asset,financial_report_date,financial_announce_date,source,as_of_date,expected_trade_date,staleness_days,latest_coverage,trading_days
SH.600000,浦发银行,银行,9.72,,774901461.6153846,2625979.679615385,0.3429,304415362062.0,,6.0544,0.4038,2.32,1.4176211837,1.49,5.135434746094844,91.8355530551,2026-03-31,2026-04-30,local_history_sqlite,2026-07-20,2026-07-20,0,0.956205643067336,52
SH.600004,白云机场,机场,9.0,,87512648.4423077,320783.9267307692,0.7163,20489094570.0,,15.2884,0.9672,0.79,8.5356213256,-43.32,4.543397816608771,28.282937127,2026-03-31,2026-04-30,local_history_sqlite,2026-07-20,2026-07-20,0,0.956205643067336,52
SH.600006,东风股份,汽车整车,6.95,,106320635.57692307,446637.03538461536,1.0626,10560000000.0,,-25.521,1.3212,2.6,-6.893040425,35.91,-4.442454064647423,49.024773383,2026-03-31,2026-04-29,local_history_sqlite,2026-07-20,2026-07-20,0,0.956205643067336,52
SH.600007,中国国贸,园区开发,22.3,,57050352.384615384,67524.49346153847,0.2918,19208877275.0,,16.0567,1.9108,3.09,-5.2278435071,-1.92,1.432225732854159,14.717634174,2026-03-31,2026-04-30,local_history_sqlite,2026-07-20,2026-07-20,0,0.956205643067336,52
SH.600008,首创环保,水务,3.25,,252039458.15384614,4034182.1876923074,1.4703,21287713030.0,,11.8102,1.0056,1.39,-1.1284718794,7.67,0.9443429911339394,63.2275327864,2026-03-31,2026-04-30,local_history_sqlite,2026-07-20,2026-07-20,0,0.956205643067336,52
SH.600009,上海机场,机场,27.41,,304355254.36538464,552539.8938461539,0.72,59570213220.0,,27.3812,1.3813,1.35,0.8145837655,11.33,1.143003461575484,36.5129246646,2026-03-31,2026-04-30,local_history_sqlite,2026-07-20,2026-07-20,0,0.956205643067336,52
SH.600010,包钢股份,普钢,2.9,,1696394679.75,18088931.959038462,1.1979,96783710620.00002,,284.337,1.8757,-0.89,-13.7318819661,-1129.0351444972,3.9145100081706596,59.8304261913,2026-03-31,2026-04-29,local_history_sqlite,2026-07-20,2026-07-20,0,0.956205643067336,52
SH.600011,华能国际,火力发电,9.76,,1566965623.2307692,10669928.899423076,2.7467,116636833962.0,,8.3786,1.6649,5.78,-5.8876693213,-9.83,2.773638736850684,66.3237477343,2026-03-31,2026-04-29,local_history_sqlite,2026-07-20,2026-07-20,0,0.956205643067336,52
SH.600012,皖通高速,路桥,18.78,,83722123.42307693,143562.3776923077,0.83,32087355882.0,,17.2261,2.4022,4.1,-44.2151378341,-2.67,1.3289860173404087,53.1143623523,2026-03-31,2026-04-29,local_history_sqlite,2026-07-20,2026-07-20,0,0.956205643067336,52
SH.600015,华夏银行,银行,7.23,,500019715.7307692,2657732.1346153845,0.6365,111086200930.0,,4.0955,0.3457,1.57,35.3303286798,-1.5,-7.243833968317626,91.6868743725,2026-03-31,2026-04-30,local_history_sqlite,2026-07-20,2026-07-20,0,0.956205643067336,52
SH.600016,民生银行,银行,3.75,,735100205.9230769,7091201.129615385,1.1798,154551937305.0,,5.2685,0.2686,2.02,2.7408795806,-9.64,-0.031005732152162586,90.9026328964,2026-03-31,2026-04-30,local_history_sqlite,2026-07-20,2026-07-20,0,0.956205643067336,52
SH.600017,日照港,港口,3.0,,83062345.40384616,1101580.3565384615,1.6775,8396535147.000001,,19.1465,0.597,0.68,-7.1713673992,-37.08,3.5790779047090266,60.0024160049,2026-03-31,2026-04-29,local_history_sqlite,2026-07-20,2026-07-20,0,0.956205643067336,52
SH.600018,上港集团,港口,5.24,,270952902.8076923,1843264.7765384614,0.31,121521394332.0,,8.8928,0.8365,2.8021,8.0417666589,2.57,0.8325135068988632,29.0852857186,2026-03-31,2026-04-30,local_history_sqlite,2026-07-20,2026-07-20,0,0.956205643067336,52
SH.600019,宝钢股份,普钢,6.5,,578562416.4807693,2790049.3649999998,0.7426,128296478883.0,,12.6574,0.6158,1.07,5.7376236617,-8.6,1.9857349379086324,37.8300246962,2026-03-31,2026-04-30,local_history_sqlite,2026-07-20,2026-07-20,0,0.956205643067336,52
SH.600020,中原高速,路桥,4.08,,59086597.115384616,518709.9,1.1797,8607433994.0,,13.4548,0.723,2.91,10.7371804319,3.16,1.1983517151788525,70.3157876,2026-03-31,2026-04-30,local_history_sqlite,2026-07-20,2026-07-20,0,0.956205643067336,52
SH.600021,上海电力,火力发电,22.28,,1465944064.8846154,5360484.349423077,5.4885,46137669330.0,,18.4145,2.2177,2.3,-4.9834441871,-31.59,5.156963590580622,69.2691400348,2026-03-31,2026-04-28,local_history_sqlite,2026-07-20,2026-07-20,0,0.956205643067336,52
SH.600022,山东钢铁,普钢,1.52,,117650466.8076923,2688026.0390384616,1.2826,14336458464.0,,134.0,0.7621,-1.15,-18.5868429607,-141.9224851354,1.3276140262662284,65.1550759586,2026-03-31,2026-04-23,local_history_sqlite,2026-07-20,2026-07-20,0,0.956205643067336,52
SH.600023,浙能电力,火力发电,6.7,,511695353.25,4777273.382307692,0.5949,71602632618.0,,9.6749,0.9279,1.23,-11.0236412187,-11.84,4.571518363939845,41.3970005571,2026-03-31,2026-04-28,local_history_sqlite,2026-07-20,2026-07-20,0,0.956205643067336,52
SH.600025,华能水电,水力发电,10.18,,367267905.46153843,1517408.2974999999,0.3527,188919296202.0,,22.1238,2.6626,2.1,7.0204692058,2.32,2.4319383057761055,60.0391451956,2026-03-31,2026-04-29,local_history_sqlite,2026-07-20,2026-07-20,0,0.956205643067336,52
SH.600026,中远海能,水运,23.42,,1449660537.0384614,2014969.8565384618,1.9881,79442030184.0,,14.4385,1.6477,4.5762,26.9218174806,206.74,1.7326920136832555,45.5505159155,2026-03-31,2026-04-28,local_history_sqlite,2026-07-20,2026-07-20,0,0.956205643067336,52
SH.600027,华电国际,火力发电,5.92,,749918425.5576923,8005451.470769231,1.7613,55852633902.0,,9.5099,1.1172,3.39,-9.4324228625,-9.93,3.154938971855657,59.7072510633,2026-03-31,2026-04-29,local_history_sqlite,2026-07-20,2026-07-20,0,0.956205643067336,52
SH.600028,中国石化,石油加工,5.5,,1487537941.25,9267167.49403846,0.5656,633649694408.0,,17.8237,0.7606,2.04,-3.8975679807,28.2,-0.32682582617899564,55.8930685714,2026-03-31,2026-04-29,local_history_sqlite,2026-07-20,2026-07-20,0,0.956205643067336,52
SH.600029,南方航空,空运,5.78,,622198189.9807693,5076075.100576923,0.5826,90967266890.0,,29.487,2.4545,4.07,10.079019513,298.2597054886,3.276164753544902,83.9661831819,2026-03-31,2026-04-30,local_history_sqlite,2026-07-20,2026-07-20,0,0.956205643067336,52
SH.600030,中信证券,证券,29.47,,5096728822.326923,8113507.268846154,1.5664,419125063504.0,,12.4428,1.4378,3.46,40.9138156047,54.6,7.357122378618111,84.8416500214,2026-03-31,2026-04-25,local_history_sqlite,2026-07-20,2026-07-20,0,0.956205643067336,52
SH.600031,三一重工,工程机械,21.84,,1985728184.6538463,3589078.649807692,1.3901,179854286064.00003,,21.3619,1.9857,2.77,14.0257616271,0.46,1.427282874525898,47.4353224533,2026-03-31,2026-04-30,local_history_sqlite,2026-07-20,2026-07-20,0,0.956205643067336,52
SH.600032,浙江新能,新型电力,12.04,,705562412.5576923,3060952.851730769,3.9845,18708373834.0,,41.5373,1.4557,0.22,-10.7306683986,-66.16,13.034771154568213,66.3470009758,2026-03-31,2026-04-28,local_history_sqlite,2026-07-20,2026-07-20,0,0.956205643067336,52
