symbol,name,industry,latest_price,pct_change,amount,volume,turnover_rate,total_mv,circ_mv,pe_ttm,pb,roe,revenue_growth,profit_growth,cash_flow_quality,debt_to_asset,financial_report_date,financial_announce_date,source,as_of_date,expected_trade_date,staleness_days,latest_coverage,trading_days,liquidity_rank,size_rank,universe_score,universe_rank
SZ.300308,中际旭创,通信设备,1280.0,,22974611237.962624,749075.1506557376,1.9569,1427085044480.0002,,95.4643,41.2077,17.54,192.1169094233,262.28,0.5872478472390564,32.6361856673,2026-03-31,2026-04-17,local_history_sqlite,2026-06-04,2026-06-04,0,0.9566047561187294,61,1.0,0.9969030659646949,0.9987612263858779,1
SZ.300750,宁德时代,电气设备,460.0,,15193648764.429018,1171405.357704918,1.0128,1888589210794.0,,23.9133,5.2455,5.98,52.4486955482,48.52,1.6241355482355573,62.3223404459,2026-03-31,2026-04-16,local_history_sqlite,2026-06-04,2026-06-04,0,0.9566047561187294,61,0.9990709197894085,0.998141839578817,0.9986992877051719,2
SZ.300502,新易盛,通信设备,782.25,,21296696884.124428,939837.5967213114,2.8638,772756808574.0,,71.9538,37.8631,14.52,105.759481459,76.8,0.24604909953819268,31.0349798574,2026-03-31,2026-04-24,local_history_sqlite,2026-06-04,2026-06-04,0,0.9566047561187294,61,0.9996903065964695,0.9941158253329204,0.9974605140910499,3
SH.601138,工业富联,通信设备,81.05,,13414408687.081966,7929262.713934426,1.414,1558753448908.0,,38.3461,8.8456,6.18,56.5177808658,102.55,2.361903327246418,61.3822117092,2026-03-31,2026-04-29,local_history_sqlite,2026-06-04,2026-06-04,0,0.9566047561187294,61,0.997522452771756,0.9972127593682255,0.9973985754103438,4
SH.688256,寒武纪,半导体,1410.96,,13760165574.459017,343329.66704918037,1.4072,853787315574.0,,314.2417,69.7605,8.2,159.5554734937,185.04,0.8230918406198245,16.3795238399,2026-03-31,2026-04-30,local_history_sqlite,2026-06-04,2026-06-04,0,0.9566047561187294,61,0.9978321461752865,0.9950449055435119,0.9967172499225767,5
SZ.002384,东山精密,元器件,237.8,,14333541992.976885,2101705.207704918,6.0233,435556271110.0,,213.4978,19.2403,5.05,52.7234327423,143.47,1.0151180625349494,63.688751371,2026-03-31,2026-04-28,local_history_sqlite,2026-06-04,2026-06-04,0,0.9566047561187294,61,0.9984515329823475,0.9910188912976153,0.9954784763084545,6
SH.688981,中芯国际,半导体,156.0,,8715566190.934425,3203718.896229508,3.8935,1080859369749.0001,,214.2195,7.2151,0.9,8.0738981485,0.4,3.7699787468346155,34.8943869064,2026-03-31,2026-05-15,local_history_sqlite,2026-06-04,2026-06-04,0,0.9566047561187294,61,0.9944255187364509,0.9965933725611644,0.9952926602663363,7
SZ.300394,天孚通信,通信设备,497.38,,15456264846.800001,1431409.085409836,4.5393,374347797231.0,,172.3629,62.265,8.57,40.8242783073,45.79,0.37031709584589345,14.2539986672,2026-03-31,2026-04-21,local_history_sqlite,2026-06-04,2026-06-04,0,0.9566047561187294,61,0.999380613192939,0.9888510374729018,0.995168782904924,8
SH.601899,紫金矿业,铜,37.24,,9673336291.508196,7136896.416393442,1.001,806762281631.0,,13.0777,4.0895,10.35,24.7937696755,97.5,1.3860943659720635,51.3712485683,2026-03-31,2026-04-22,local_history_sqlite,2026-06-04,2026-06-04,0,0.9566047561187294,61,0.9950449055435119,0.9944255187364509,0.9947971508206874,9
SZ.002475,立讯精密,元器件,80.15,,11990915309.288197,6229172.001803279,2.0067,543461711180.0,,31.5675,6.1519,4.2,35.7689406201,20.24,-1.9314174179476775,66.5317548835,2026-03-31,2026-04-29,local_history_sqlite,2026-06-04,2026-06-04,0,0.9566047561187294,61,0.9965933725611644,0.9916382781046764,0.9946113347785692,10
