selected_rank,id,title,year,venue,market_scope,doi,citation_count_openalex,page_citations,views,downloads,accesses,paper_url,pdf_url,pdf_file,markdown_file,relevance_note,metric_notes
1,cn01_ml_stock_return_portfolio,基于机器学习的股票收益预测与投资组合研究,2024,运筹与模糊学,上证50 / A股,10.12677/orf.2024.142163,0,,,,,https://www.hanspub.org/journal/PaperInformation?paperID=84203,https://pdf.hanspub.org/orf20240200000_97651076.pdf,refdocs/papers/cn/pdfs/cn01_ml_stock_return_portfolio.pdf,refdocs/papers/cn/markdown/cn01_ml_stock_return_portfolio.md,中文论文，以上证50成分股为样本，直接研究机器学习量化选股和投资组合。,hanspub_public_download_counts_not_exposed_on_article_page; download_or_access_metric_not_publicly_available
2,cn02_macro_multifactor_investment_strategy,宏观背景下运用多因子模型的投资策略研究,2024,金融,中国股票市场 / A股,10.12677/fin.2024.144157,0,,,,,https://pdf.hanspub.org/fin2024144_331141103.pdf,https://pdf.hanspub.org/fin2024144_331141103.pdf,refdocs/papers/cn/pdfs/cn02_macro_multifactor_investment_strategy.pdf,refdocs/papers/cn/markdown/cn02_macro_multifactor_investment_strategy.md,中文论文，聚焦中国市场语境下的多因子选股与资产配置策略。,hanspub_public_download_counts_not_exposed_on_article_page; download_or_access_metric_not_publicly_available
3,cn03_svm_multifactor_hs300,基于支持向量机模型的多因子量化选股策略,2024,电子商务评论,沪深300 / A股,10.12677/ecl.2024.1331054,0,,,,,https://www.hanspub.org/journal/PaperInformation?paperID=94749,https://pdf.hanspub.org/ecl2024133_5692311120.pdf,refdocs/papers/cn/pdfs/cn03_svm_multifactor_hs300.pdf,refdocs/papers/cn/markdown/cn03_svm_multifactor_hs300.md,中文论文，研究对象明确为沪深300成分股，属于直接可用的A股选股策略参考。,hanspub_public_download_counts_not_exposed_on_article_page; download_or_access_metric_not_publicly_available
4,cn04_network_factor_a_share,考虑股市网络因子的多因子选股策略研究,2024,统计学与应用,中国A股市场,10.12677/sa.2024.134105,0,,,,,https://www.hanspub.org/journal/PaperInformation?paperID=94864,https://pdf.hanspub.org/sa2024134_22581331.pdf,refdocs/papers/cn/pdfs/cn04_network_factor_a_share.pdf,refdocs/papers/cn/markdown/cn04_network_factor_a_share.md,中文论文，明确基于中国A股市场数据，属于因子扩展型选股策略。,hanspub_public_download_counts_not_exposed_on_article_page; download_or_access_metric_not_publicly_available
5,cn05_ml_asset_characteristics_portfolio,基于机器学习和资产特征的投资组合选择研究,2024,系统工程理论与实践,中国股票市场,10.12011/SETP2023-1784,,,,,,https://sysengi.cjoe.ac.cn/CN/10.12011/SETP2023-1784,https://sysengi.cjoe.ac.cn/CN/PDF/10.12011/SETP2023-1784,refdocs/papers/cn/pdfs/cn05_ml_asset_characteristics_portfolio.pdf,refdocs/papers/cn/markdown/cn05_ml_asset_characteristics_portfolio.md,中文核心期刊论文，研究对象为中国股票市场，偏高质量组合构建方法。,sysengi_public_download_counts_not_exposed_on_article_page; download_or_access_metric_not_publicly_available
6,cn06_lstm_margin_trading_strategy,基于LSTM预测信息的在线融资融券组合交易策略,2024,系统工程理论与实践,中国股票市场 / 融资融券,10.12011/SETP2022-0819,,,,,,https://sysengi.cjoe.ac.cn/CN/10.12011/SETP2022-0819,https://sysengi.cjoe.ac.cn/CN/PDF/10.12011/SETP2022-0819,refdocs/papers/cn/pdfs/cn06_lstm_margin_trading_strategy.pdf,refdocs/papers/cn/markdown/cn06_lstm_margin_trading_strategy.md,中文核心期刊论文，属于A股交易制度环境下的模型驱动交易策略。,sysengi_public_download_counts_not_exposed_on_article_page; download_or_access_metric_not_publicly_available
7,cn07_lasso_pricing_factors_china,基于双重选择LASSO模型的我国股市定价因子边际有效性研究,2024,系统工程理论与实践,我国股市 / A股,10.12011/SETP2023-0831,,,,,,https://sysengi.cjoe.ac.cn/CN/10.12011/SETP2023-0831,https://sysengi.cjoe.ac.cn/CN/PDF/10.12011/SETP2023-0831,refdocs/papers/cn/pdfs/cn07_lasso_pricing_factors_china.pdf,refdocs/papers/cn/markdown/cn07_lasso_pricing_factors_china.md,中文核心期刊论文，直接服务于A股因子构建与因子有效性筛选。,sysengi_public_download_counts_not_exposed_on_article_page; download_or_access_metric_not_publicly_available
8,cn08_analyst_text_quant_strategy,分析师前瞻性信息对股票投资收益的影响——基于文本分析的量化研究,2024,系统工程理论与实践,中国股票市场,10.12011/SETP2022-2601,,,,,,https://sysengi.cjoe.ac.cn/CN/10.12011/SETP2022-2601,https://sysengi.cjoe.ac.cn/CN/PDF/10.12011/SETP2022-2601,refdocs/papers/cn/pdfs/cn08_analyst_text_quant_strategy.pdf,refdocs/papers/cn/markdown/cn08_analyst_text_quant_strategy.md,中文核心期刊论文，直接构建基于研报文本的量化交易策略。,sysengi_public_download_counts_not_exposed_on_article_page; download_or_access_metric_not_publicly_available
9,cn09_svm_price_volume_cs1000,基于支持向量机的多因子融合量价数据的选股策略的研究,2024,电子商务评论,中证1000 / A股,10.12677/ecl.2024.133896,0,,,,,https://www.hanspub.org/journal/PaperInformation?paperID=94402,https://pdf.hanspub.org/ecl2024133_4112310943.pdf,refdocs/papers/cn/pdfs/cn09_svm_price_volume_cs1000.pdf,refdocs/papers/cn/markdown/cn09_svm_price_volume_cs1000.md,中文论文，围绕中证1000成分股的量价融合选股策略，实操性较强。,hanspub_public_download_counts_not_exposed_on_article_page; download_or_access_metric_not_publicly_available
10,cn10_ma_kline_a_share_strategy,基于均线与K线指标的量化投资策略,2024,运筹与模糊学,A股市场,10.12677/orf.2024.144398,0,,,,,https://www.hanspub.org/journal/PaperInformation?paperID=95273,https://pdf.hanspub.org/orf2024144_291701821.pdf,refdocs/papers/cn/pdfs/cn10_ma_kline_a_share_strategy.pdf,refdocs/papers/cn/markdown/cn10_ma_kline_a_share_strategy.md,中文论文，直接在A股市场回测均线+K线量化策略，适合作为规则型策略参考。,hanspub_public_download_counts_not_exposed_on_article_page; download_or_access_metric_not_publicly_available
