selected_rank,id,title,year,venue,doi,citation_count_openalex,page_citations,views,downloads,accesses,altmetric,paper_url,pdf_url,pdf_file,markdown_file,relevance_note,metric_notes
1,01_master_market_guided_stock_transformer,MASTER: Market-Guided Stock Transformer for Stock Price Forecasting,2024,Proceedings of the AAAI Conference on Artificial Intelligence,10.1609/aaai.v38i1.27767,62,,,,,,https://ojs.aaai.org/index.php/AAAI/article/view/27767,https://ojs.aaai.org/index.php/AAAI/article/download/27767/27575,refdocs/papers/en/pdfs/01_master_market_guided_stock_transformer.pdf,refdocs/papers/en/markdown/01_master_market_guided_stock_transformer.md,AAAI 2024 stock-forecasting model; useful as an alpha/signal model reference for quantitative equity strategies.,aaai_page_has_pdf_link_but_no_public_download_count_found; download_or_access_metric_not_publicly_available
2,02_mdgnn_stock_investment_prediction,MDGNN: Multi-Relational Dynamic Graph Neural Network for Comprehensive and Dynamic Stock Investment Prediction,2024,Proceedings of the AAAI Conference on Artificial Intelligence,10.1609/aaai.v38i13.29381,45,,,,,,https://ojs.aaai.org/index.php/AAAI/article/view/29381,https://ojs.aaai.org/index.php/AAAI/article/download/29381/30608,refdocs/papers/en/pdfs/02_mdgnn_stock_investment_prediction.pdf,refdocs/papers/en/markdown/02_mdgnn_stock_investment_prediction.md,AAAI 2024 graph-learning approach for stock investment prediction; relevant for relational/factor-style stock selection.,aaai_page_has_pdf_link_but_no_public_download_count_found; download_or_access_metric_not_publicly_available
3,03_stockmixer_mlp_stock_forecasting,StockMixer: A Simple Yet Strong MLP-Based Architecture for Stock Price Forecasting,2024,Proceedings of the AAAI Conference on Artificial Intelligence,10.1609/aaai.v38i8.28681,36,,,,,,https://ojs.aaai.org/index.php/AAAI/article/view/28681,https://ojs.aaai.org/index.php/AAAI/article/download/28681/29322,refdocs/papers/en/pdfs/03_stockmixer_mlp_stock_forecasting.pdf,refdocs/papers/en/markdown/03_stockmixer_mlp_stock_forecasting.md,AAAI 2024 stock forecasting architecture; useful baseline for quant signal modeling and stock ranking.,aaai_page_has_pdf_link_but_no_public_download_count_found; download_or_access_metric_not_publicly_available
4,04_esg_sentiment_technical_indicators,Deep-learning-based stock market prediction incorporating ESG sentiment and technical indicators,2024,Scientific Reports,10.1038/s41598-024-61106-2,53,61,,,16000,2,https://www.nature.com/articles/s41598-024-61106-2,https://www.nature.com/articles/s41598-024-61106-2.pdf,refdocs/papers/en/pdfs/04_esg_sentiment_technical_indicators.pdf,refdocs/papers/en/markdown/04_esg_sentiment_technical_indicators.md,Combines sentiment and technical indicators for stock prediction; relevant for feature engineering in systematic equity strategies.,nature_springer_page_metrics
5,05_algorithmic_trading_ai_review,Algorithmic Trading and AI: A Review of Strategies and Market Impact,2024,World Journal of Advanced Engineering Technology and Sciences,10.30574/wjaets.2024.11.1.0054,49,,,,,,https://wjaets.com/content/algorithmic-trading-and-ai-review-strategies-and-market-impact,https://wjaets.com/sites/default/files/fulltext_pdf/WJAETS-2024-0054.pdf,refdocs/papers/en/pdfs/05_algorithmic_trading_ai_review.pdf,refdocs/papers/en/markdown/05_algorithmic_trading_ai_review.md,Strategy-focused review covering AI in algorithmic trading and market impact; useful for taxonomy and background.,wjaets_page_has_pdf_link_but_no_public_download_count_found; download_or_access_metric_not_publicly_available
6,06_ai_portfolio_management_review,Enhancing portfolio management using artificial intelligence: literature review,2024,Frontiers in Artificial Intelligence,10.3389/frai.2024.1371502,42,47,52412,13857,,,https://www.frontiersin.org/journals/artificial-intelligence/articles/10.3389/frai.2024.1371502/full,https://www.frontiersin.org/journals/artificial-intelligence/articles/10.3389/frai.2024.1371502/pdf,refdocs/papers/en/pdfs/06_ai_portfolio_management_review.pdf,refdocs/papers/en/markdown/06_ai_portfolio_management_review.md,High-attention review of AI in portfolio management; useful for mapping quant-investment workflow and model classes.,frontiers_page_metrics
7,07_sp500_relative_returns_ml,Forecasting relative returns for S&P 500 stocks using machine learning,2024,Financial Innovation,10.1186/s40854-024-00644-0,36,,,,12000,,https://link.springer.com/article/10.1186/s40854-024-00644-0,https://link.springer.com/content/pdf/10.1186/s40854-024-00644-0.pdf,refdocs/papers/en/pdfs/07_sp500_relative_returns_ml.pdf,refdocs/papers/en/markdown/07_sp500_relative_returns_ml.md,Directly targets relative returns for S&P 500 constituents; useful for cross-sectional ranking and strategy research.,nature_springer_page_metrics
8,08_volatility_quant_investment_strategies,Machine learning-based analysis of volatility quantitative investment strategies for American financial stocks,2024,Quantitative Finance and Economics,10.3934/qfe.2024014,19,,9706,389,,,https://www.aimspress.com/article/doi/10.3934/QFE.2024014,https://www.aimspress.com/aimspress-data/qfe/2024/2/PDF/QFE-08-02-014.pdf,refdocs/papers/en/pdfs/08_volatility_quant_investment_strategies.pdf,refdocs/papers/en/markdown/08_volatility_quant_investment_strategies.md,Title-level match to volatility quantitative investment strategies for stocks; useful direct strategy reference.,aims_page_metrics
9,09_social_sentiment_interval_trading_strategy,An interval constraint-based trading strategy with social sentiment for the stock market,2024,Financial Innovation,10.1186/s40854-023-00567-2,16,,,,4759,,https://link.springer.com/article/10.1186/s40854-023-00567-2,https://link.springer.com/content/pdf/10.1186/s40854-023-00567-2.pdf,refdocs/papers/en/pdfs/09_social_sentiment_interval_trading_strategy.pdf,refdocs/papers/en/markdown/09_social_sentiment_interval_trading_strategy.md,Direct stock-market trading strategy paper using social sentiment; relevant for strategy construction and constraints.,nature_springer_page_metrics
10,10_risk_adjusted_drl_portfolio_optimization,Risk-Adjusted Deep Reinforcement Learning for Portfolio Optimization: A Multi-reward Approach,2025,International Journal of Computational Intelligence Systems,10.1007/s44196-025-00875-8,19,,,,10000,,https://link.springer.com/article/10.1007/s44196-025-00875-8,https://link.springer.com/content/pdf/10.1007/s44196-025-00875-8.pdf,refdocs/papers/en/pdfs/10_risk_adjusted_drl_portfolio_optimization.pdf,refdocs/papers/en/markdown/10_risk_adjusted_drl_portfolio_optimization.md,2025 portfolio-optimization paper using risk-adjusted DRL; relevant to quantitative asset allocation strategy design.,nature_springer_page_metrics
