section,check_id,status,metric,value,threshold
cn,cn.database.exists,pass,db_path,/home/zj/workspace/stok-mapping/data/manual_history/a_share_history.sqlite,
cn,cn.market_daily_bars.schema,pass,missing_columns,none,none
cn,cn.daily.latest_date,pass,latest_date,2026-06-04,
cn,cn.daily.latest_coverage,pass,latest_symbols/total_symbols,5511/5761 (95.66%),80.00%
cn,cn.daily.staleness,pass,calendar_day_staleness,1,<= 1
cn,cn.daily.ohlc,pass,recent_ohlc_violations,0,0
cn,cn.daily.positive_prices,pass,recent_non_positive_price_rows,0,0
cn,cn.daily.non_negative_liquidity,pass,recent_negative_volume_amount_rows,0,0
cn,cn.market_stocks.schema,pass,missing_columns,none,none
cn,cn.meta.active_symbols,pass,active/total,5525/5525,
cn,cn.meta.list_date_coverage,pass,list_date_coverage,99.98%,95.00%
cn,cn.market_daily_basic.schema,pass,missing_columns,none,none
cn,cn.daily_basic.latest_date,pass,latest_date,2026-06-04,
cn,cn.daily_basic.latest_rows,pass,latest_rows,5511,
cn,cn.daily_basic.market_cap,pass,latest_non_null_coverage,100.00%,80.00%
cn,cn.daily_basic.pe_ratio,warning,latest_non_null_coverage,71.98%,80.00%
cn,cn.daily_basic.pb_ratio,pass,latest_non_null_coverage,99.26%,80.00%
cn,cn.daily_basic.turnover_rate,pass,latest_non_null_coverage,100.00%,80.00%
cn,cn.market_adj_factors.schema,pass,missing_columns,none,none
cn,cn.adjustment.positive_factor,pass,recent_non_positive_adj_factor_rows,0,0
cn,cn.trading_calendar.schema,pass,missing_columns,none,none
financial,financial.market_financial_factors.schema,pass,missing_columns,none,none
financial,financial.rows,pass,row_count,184118,
financial,financial.latest_report,pass,latest_report_date,2026-03-31,
financial,financial.announce_date_coverage,pass,announce_date_coverage,100.00%,95.00%
financial,financial.announce_after_report,pass,announce_before_report_rows,0,0
financial,financial.coverage.latest_factor,pass,eligible_symbol_coverage,5525/5525 (100.00%),60.00%
financial,financial.coverage.roe,pass,eligible_symbol_coverage,5480/5525 (99.19%),60.00%
financial,financial.coverage.revenue_growth,pass,eligible_symbol_coverage,5523/5525 (99.96%),60.00%
financial,financial.coverage.profit_growth,pass,eligible_symbol_coverage,5525/5525 (100.00%),60.00%
financial,financial.coverage.cash_flow_quality,pass,eligible_symbol_coverage,5208/5525 (94.26%),60.00%
financial,financial.coverage.debt_to_asset,pass,eligible_symbol_coverage,5207/5525 (94.24%),60.00%
financial,financial.backfill_tasks.empty,pass,task_count,2100,
financial,financial.backfill_tasks.failed,warning,task_count,1360,
financial,financial.backfill_tasks.fetched,pass,task_count,16778,
financial,financial.backfill_tasks.pending,warning,task_count,12397,
cross_market.us,cross_market.us.us_daily_bars.schema,pass,missing_columns,none,none
cross_market.us,cross_market.us.coverage,pass,fresh_configured_symbols,6/6 (100.00%) latest=2026-06-04,100.00%
cross_market.us,cross_market.us.ohlc,warning,recent_ohlc_violations,3,0
cross_market.us,cross_market.us.us_data_source_runs.audit,pass,latest_fetched_at,2026-06-05T09:17:35,<= 5 days
cross_market.hk,cross_market.hk.hk_daily_bars.schema,pass,missing_columns,none,none
cross_market.hk,cross_market.hk.coverage,warning,fresh_configured_symbols,28/30 (93.33%) latest=2026-06-03,100.00%
cross_market.hk,cross_market.hk.ohlc,warning,recent_ohlc_violations,1,0
cross_market.hk,cross_market.hk.hk_data_source_runs.audit,pass,latest_fetched_at,2026-06-04T16:20:50,<= 5 days
scheduler,scheduler.a_share_history.last_file,pass,mtime,2026-06-04,<= 3 days
scheduler,scheduler.us_market_history.last_file,pass,mtime,2026-06-04,<= 3 days
scheduler,scheduler.hk_market_history.last_file,pass,mtime,2026-06-04,<= 3 days
scheduler,scheduler.daily_brief.last_file,pass,mtime,2026-06-05,<= 3 days
scheduler,scheduler.market_data_source_runs.audit,pass,latest_fetched_at,2026-06-04T16:30:27,<= 3 days
