factor,low_vol20,low_vol60,low_turnover_rate,low_amount_ratio20,mom20,mom60,reversal_mom3,reversal_mom5,roe,cash_flow_quality,profit_growth,revenue_growth,low_debt_to_asset,ep,low_pb
low_vol20,1.0,0.8441653141693223,0.6303823381372448,-0.03632223528715043,-0.09869697885126531,-0.08429316806713211,-0.010213571678721754,0.0049528662941460905,-0.029083137206934916,0.11415523595786738,-0.14969635335356607,-0.23118620875754073,-0.27026847981768026,0.4407626143645131,0.44675357082116784
low_vol60,0.8441653141693223,1.0,0.6516490762223976,-0.05040086043435714,0.025762034604460644,-0.0009630929639126699,-0.03677017313960062,-0.030512448734544312,-0.034806523325290745,0.14266569485266503,-0.15935120877694253,-0.26332298336086785,-0.31396769719185447,0.4803106265498143,0.4912491162977488
low_turnover_rate,0.6303823381372448,0.6516490762223976,1.0,0.26104902910878375,-0.02176976649089244,0.026806683006114076,0.03406686460292284,0.033127262366353216,0.05540560443227539,0.088605706756369,-0.18495357229277962,-0.2229078075554135,-0.1964716926665803,0.38740136859715874,0.32526317282214956
low_amount_ratio20,-0.03632223528715043,-0.05040086043435714,0.26104902910878375,1.0,-0.1979468650209855,-0.06239988255413778,0.28489912124150885,0.2993740881698278,-0.024692309224754155,-0.004979127820564696,-0.01628011449756421,-0.01541050277842099,0.00788341422250386,-0.002364126096495887,0.01606742183135418
mom20,-0.09869697885126531,0.025762034604460644,-0.02176976649089244,-0.1979468650209855,1.0,0.4828014489332291,-0.33083515626612975,-0.4405087784634335,-0.0074895741524413405,0.046942818968032034,0.007707407760744314,-0.021354426202402504,-0.06073176287221355,-0.009428821532426088,-0.0016951601193319285
mom60,-0.08429316806713211,-0.0009630929639126699,0.026806683006114076,-0.06239988255413778,0.4828014489332291,1.0,-0.1777685804010885,-0.22833496045312665,-0.024755062774305833,0.06397461841469353,0.03263381086947867,-0.022155888053683757,-0.087218475612436,-0.03762348278861397,-0.024404493860463117
reversal_mom3,-0.010213571678721754,-0.03677017313960062,0.03406686460292284,0.28489912124150885,-0.33083515626612975,-0.1777685804010885,1.0,0.7229833019643845,0.009251953175057644,-0.024174117607351567,0.0034790726848073373,0.018147350734473905,0.03578473335077086,-0.00962641406356035,-0.01350348362468489
reversal_mom5,0.0049528662941460905,-0.030512448734544312,0.033127262366353216,0.2993740881698278,-0.4405087784634335,-0.22833496045312665,0.7229833019643845,1.0,0.007961774201470668,-0.02732080723488452,0.001046195473996884,0.01759471609963539,0.03987840089962344,-0.005182667841918272,-0.00941618173912126
roe,-0.029083137206934916,-0.034806523325290745,0.05540560443227539,-0.024692309224754155,-0.0074895741524413405,-0.024755062774305833,0.009251953175057644,0.007961774201470668,1.0,-0.05778861267115746,0.4057762641043685,0.365887197327374,0.22177175556663034,0.14460641683296155,-0.340437689382611
cash_flow_quality,0.11415523595786738,0.14266569485266503,0.088605706756369,-0.004979127820564696,0.046942818968032034,0.06397461841469353,-0.024174117607351567,-0.02732080723488452,-0.05778861267115746,1.0,0.004688519296332018,-0.04146744399857359,-0.12717505532280066,0.05910229766986922,0.15372410794756367
profit_growth,-0.14969635335356607,-0.15935120877694253,-0.18495357229277962,-0.01628011449756421,0.007707407760744314,0.03263381086947867,0.0034790726848073373,0.001046195473996884,0.4057762641043685,0.004688519296332018,1.0,0.614651578789134,0.10337776481698518,-0.12356695580869966,-0.2724538207276002
revenue_growth,-0.23118620875754073,-0.26332298336086785,-0.2229078075554135,-0.01541050277842099,-0.021354426202402504,-0.022155888053683757,0.018147350734473905,0.01759471609963539,0.365887197327374,-0.04146744399857359,0.614651578789134,1.0,0.1734705272703162,-0.23358082994146626,-0.37994270224523
low_debt_to_asset,-0.27026847981768026,-0.31396769719185447,-0.1964716926665803,0.00788341422250386,-0.06073176287221355,-0.087218475612436,0.03578473335077086,0.03987840089962344,0.22177175556663034,-0.12717505532280066,0.10337776481698518,0.1734705272703162,1.0,-0.47591488431459306,-0.5552776976889957
ep,0.4407626143645131,0.4803106265498143,0.38740136859715874,-0.002364126096495887,-0.009428821532426088,-0.03762348278861397,-0.00962641406356035,-0.005182667841918272,0.14460641683296155,0.05910229766986922,-0.12356695580869966,-0.23358082994146626,-0.47591488431459306,1.0,0.7528622768872612
low_pb,0.44675357082116784,0.4912491162977488,0.32526317282214956,0.01606742183135418,-0.0016951601193319285,-0.024404493860463117,-0.01350348362468489,-0.00941618173912126,-0.340437689382611,0.15372410794756367,-0.2724538207276002,-0.37994270224523,-0.5552776976889957,0.7528622768872612,1.0
