factor,description,coverage_ratio,missing_ratio,mean_rank_ic,icir,positive_ic_ratio,group_count,top_group_return_mean,bottom_group_return_mean,long_short_return_mean,annual_turnover_proxy,recommendation,main_reason
low_pb,-pb,1.0,0.0,0.09545321985749088,0.3877764798870505,0.6390086206896551,5,0.006049240643015661,-0.009228435466797406,0.015277676109813067,2.0048543689320373,use,positive IC and positive top-bottom return
low_vol60,-vol60,0.7454702329594478,0.2545297670405522,0.09511069226039122,0.31949848703557754,0.6213872832369942,5,0.0031961188372282632,-0.006807652820234136,0.010003771657462399,8.995658465991314,use,positive IC and positive top-bottom return
low_turnover_rate,-turnover_rate,1.0,0.0,0.08402650422445598,0.29921128384457435,0.6206896551724138,5,0.001203957884032651,-0.002268830378116839,0.0034727882621494897,49.71359223300971,use,positive IC and positive top-bottom return
low_vol20,-vol20,1.0,0.0,0.0828682187812386,0.30888499745471915,0.6379310344827587,5,0.002863926407972089,-0.002691898463945972,0.005555824871918061,21.113268608414238,use,positive IC and positive top-bottom return
ep,1 / pe_ttm,0.9536867270635605,0.0463132729364395,0.07880844172137601,0.27694955174081876,0.5959051724137931,5,0.0032877864377442853,-0.0037471000818271984,0.007034886519571484,3.5867198792483705,use,positive IC and positive top-bottom return
cash_flow_quality,point-in-time operating cash flow / net profit,0.9959196146102962,0.004080385389703789,0.05765674126896632,0.514997359927283,0.7015086206896551,5,0.0034721466064295144,-0.004864612113442579,0.008336758719872094,2.2200647249190935,use,positive IC and positive top-bottom return
reversal_mom3,-mom3,1.0,0.0,-0.00210314238274652,-0.009861287571772098,0.47737068965517243,5,-0.0038977716287212395,-0.004326976870251815,0.00042920524153057527,116.39482200647248,observe,weak but non-negative IC or top-bottom return
profit_growth,point-in-time profit growth,0.9959196146102962,0.004080385389703789,-0.01999757112627356,-0.11465465932722352,0.45905172413793105,5,-0.00508882612269491,-0.006494418537828132,0.0014055924151332218,2.1634304207119737,observe,weak but non-negative IC or top-bottom return
reversal_mom5,-mom5,1.0,0.0,-0.0016276122681620248,-0.007449907214616851,0.47737068965517243,5,-0.004811245178833294,-0.00460574104360725,-0.00020550413522604435,91.4644012944984,reject,negative IC and no positive top-bottom return
low_amount_ratio20,-amount_ratio20,1.0,0.0,-0.008858470410115794,-0.05457747414608854,0.46336206896551724,5,-0.004233556168011889,-0.0018951965879571017,-0.002338359580054788,134.20064724919095,reject,negative IC and no positive top-bottom return
roe,point-in-time ROE,0.9959196146102962,0.004080385389703789,-0.030376136155505874,-0.18443415774175165,0.4375,5,-0.014268913456900957,-0.0011433286717387149,-0.013125584785162243,3.9983818770226534,reject,negative IC and no positive top-bottom return
mom20,20-day momentum,1.0,0.0,-0.035703932318925706,-0.15909294052220432,0.4892241379310345,5,-0.007852325971180869,-6.974199637234103e-05,-0.007782583974808527,44.20873786407767,reject,negative IC and no positive top-bottom return
revenue_growth,point-in-time revenue growth,0.9959196146102962,0.004080385389703789,-0.049324095818321055,-0.26312919433559356,0.39762931034482757,5,-0.006363684534709386,0.0009440935521092383,-0.007307778086818624,1.8802588996763747,reject,negative IC and no positive top-bottom return
mom60,60-day momentum,1.0,0.0,-0.050220073737235776,-0.21764773599112702,0.43211206896551724,5,-0.008535027274949987,0.0012698236075873426,-0.00980485088253733,26.199029126213592,reject,negative IC and no positive top-bottom return
low_debt_to_asset,-debt_to_asset,0.9959196146102962,0.004080385389703789,-0.06475371903354625,-0.3450793778931064,0.3771551724137931,5,-0.00725928720119294,0.0054037909950356115,-0.012663078196228552,0.8381877022653719,reject,negative IC and no positive top-bottom return
