factor,year,mean_rank_ic,icir,positive_ic_ratio,sample_days
cash_flow_quality,2021,0.006677061771048306,0.08017646752270852,0.593103448275862,145
cash_flow_quality,2022,0.03171447127842714,0.33832072862522394,0.6441441441441441,222
cash_flow_quality,2023,0.11581052115615133,1.0354419054928268,0.8153153153153153,222
cash_flow_quality,2024,0.063788103606339,0.5177018471086653,0.7027027027027027,222
cash_flow_quality,2025,0.048083543758248325,0.46091349424230615,0.7264957264957265,117
ep,2021,0.08878769851908819,0.267116141594047,0.5586206896551724,145
ep,2022,0.0673055157714051,0.244862172192439,0.545045045045045,222
ep,2023,0.11383582649425689,0.4429717982496013,0.6171171171171171,222
ep,2024,0.0217648195493437,0.07607771041034628,0.5765765765765766,222
ep,2025,0.13004145050630675,0.482476300826285,0.7350427350427351,117
low_amount_ratio20,2021,-0.04013381954982507,-0.2596524873348956,0.38620689655172413,145
low_amount_ratio20,2022,-6.813565501304951e-05,-0.0004330725995938179,0.49099099099099097,222
low_amount_ratio20,2023,-0.003367239548078755,-0.021216615225758587,0.481981981981982,222
low_amount_ratio20,2024,-0.00744402003880758,-0.042956906428685326,0.47297297297297297,222
low_amount_ratio20,2025,0.00011939348580206635,0.0007266057447732643,0.452991452991453,117
low_debt_to_asset,2021,-0.09645984713989454,-0.48677578023722623,0.3586206896551724,145
low_debt_to_asset,2022,-0.034396934976537716,-0.2051999317041142,0.4864864864864865,222
low_debt_to_asset,2023,-0.07325761420894618,-0.34771675773656163,0.3963963963963964,222
low_debt_to_asset,2024,-0.062239308659522666,-0.3117238695447002,0.3063063063063063,222
low_debt_to_asset,2025,-0.07169518791670726,-0.5780947255457798,0.2905982905982906,117
low_pb,2021,0.11817768245306118,0.3958200444859501,0.593103448275862,145
low_pb,2022,0.09823674611614804,0.3998126609579345,0.6171171171171171,222
low_pb,2023,0.15890062989973797,0.7328766125335364,0.7522522522522522,222
low_pb,2024,0.03278263572624733,0.1337173213514905,0.5990990990990991,222
low_pb,2025,0.06053488431883801,0.313198180874686,0.5982905982905983,117
low_turnover_rate,2021,0.04788707324741584,0.18366889762990957,0.5310344827586206,145
low_turnover_rate,2022,0.10329286661737656,0.4059869705403946,0.6531531531531531,222
low_turnover_rate,2023,0.16705256200574645,0.7184905838080939,0.7702702702702703,222
low_turnover_rate,2024,0.041444610885451795,0.12470216131219658,0.5765765765765766,222
low_turnover_rate,2025,0.015517790842019149,0.05311606312792572,0.4700854700854701,117
low_vol20,2021,0.08789232591554413,0.38111929966958175,0.6896551724137931,145
low_vol20,2022,0.04322731567750781,0.1927356999557181,0.5855855855855856,222
low_vol20,2023,0.16850893683301515,0.7680796947451674,0.7522522522522522,222
low_vol20,2024,0.08107319163406458,0.2661602805567189,0.6621621621621622,222
low_vol20,2025,-0.007233989990281259,-0.020918791478058602,0.41025641025641024,117
low_vol60,2021,0.16686239621057766,0.8103925414517231,0.7441860465116279,86
low_vol60,2022,0.04401225878168065,0.1648931459212391,0.5153374233128835,163
low_vol60,2023,0.13826536105168577,0.5789201724640336,0.7055214723926381,163
low_vol60,2024,0.1262119865262575,0.376055447812318,0.7177914110429447,163
low_vol60,2025,0.010107924217626825,0.026860895093123754,0.42735042735042733,117
mom20,2021,-0.019681611388954377,-0.08203222046652194,0.5241379310344828,145
mom20,2022,-0.07779058842247148,-0.35348953264638044,0.3963963963963964,222
mom20,2023,-0.016757953373387723,-0.09498372984471158,0.536036036036036,222
mom20,2024,-0.007363412900901695,-0.030600431598882347,0.509009009009009,222
mom20,2025,-0.06542702220413463,-0.26208849905771614,0.49572649572649574,117
mom60,2021,-0.07948906105022754,-0.32226275054895454,0.3724137931034483,145
mom60,2022,-0.09061563106165314,-0.4208138510304167,0.35585585585585583,222
mom60,2023,0.0030844806097694443,0.016575969050978186,0.5495495495495496,222
mom60,2024,-0.02375257168515216,-0.08562364329332332,0.481981981981982,222
mom60,2025,-0.08866092531153713,-0.46369900459910113,0.3333333333333333,117
profit_growth,2021,-0.03724519738979901,-0.1785013392936122,0.41379310344827586,145
profit_growth,2022,-0.05849665438353396,-0.30399393454250245,0.4009009009009009,222
profit_growth,2023,-0.05734744436953409,-0.42887682254752635,0.3063063063063063,222
profit_growth,2024,0.015104766579443691,0.08873911453503634,0.536036036036036,222
profit_growth,2025,0.07869178939216752,0.7438858250614063,0.7692307692307693,117
revenue_growth,2021,-0.06611634882777108,-0.35444966306396314,0.33793103448275863,145
revenue_growth,2022,-0.0686237704420452,-0.2998186825186603,0.4009009009009009,222
revenue_growth,2023,-0.08601936295519144,-0.5136760016135237,0.26576576576576577,222
revenue_growth,2024,-0.024754609962450665,-0.15223905309808097,0.481981981981982,222
revenue_growth,2025,0.0311146041579098,0.20660507852704252,0.5555555555555556,117
reversal_mom3,2021,0.0029749460387427126,0.014822896583359352,0.503448275862069,145
reversal_mom3,2022,0.0066097766877800685,0.030877131203016824,0.5180180180180181,222
reversal_mom3,2023,-0.017550093859165703,-0.09120534525574472,0.4369369369369369,222
reversal_mom3,2024,-0.0018048730726101987,-0.008021811593495087,0.5,222
reversal_mom3,2025,0.003814948097099246,0.015769586942206686,0.4017094017094017,117
reversal_mom5,2021,-0.002139437885526949,-0.011059016466408491,0.5103448275862069,145
reversal_mom5,2022,0.014626997205916838,0.06706456637082077,0.5225225225225225,222
reversal_mom5,2023,-0.019018866132409776,-0.09343416006508287,0.44594594594594594,222
reversal_mom5,2024,-0.001171739826054121,-0.005162197194897473,0.4774774774774775,222
reversal_mom5,2025,0.00029842266335469264,0.0011601725766626101,0.41025641025641024,117
roe,2021,-0.07403167201010175,-0.5372503082536211,0.3103448275862069,145
roe,2022,-0.033826305911085416,-0.2668993765345383,0.4144144144144144,222
roe,2023,-0.04377608308870284,-0.2218785679819863,0.38288288288288286,222
roe,2024,-0.0372261366641562,-0.23606430749076251,0.42792792792792794,222
roe,2025,0.06869633150898263,0.4081976683257086,0.7606837606837606,117
