period,target_symbols,fetched_symbols,empty_symbols,failed_symbols,pending_symbols,factor_rows,announce_date_coverage,roe_coverage,revenue_growth_coverage,profit_growth_coverage,cash_flow_quality_coverage,debt_to_asset_coverage
2018-06-30,2,0,1,0,1,4153,1.0,0.9903684083794847,0.9607512641464002,0.9607512641464002,0.9169275222730556,0.9019985552612569
2018-09-30,2,0,2,0,0,3826,1.0,0.9644537375849451,0.9393622582331417,0.9393622582331417,0.9597490852064819,0.902247778358599
2018-12-31,2,0,1,0,1,5325,1.0,0.9911737089201877,0.9406572769953052,0.9415962441314554,0.9353990610328639,0.9357746478873239
2019-03-31,2,0,2,0,0,4046,1.0,0.9574888779041029,0.9125061789421651,0.9134948096885813,0.9545229856648542,0.8823529411764706
2019-06-30,2,0,1,0,1,4476,1.0,0.9736371760500446,0.9121983914209115,0.912645218945487,0.9233690795352993,0.8936550491510277
2019-09-30,2,0,2,0,0,4432,1.0,0.9009476534296029,0.8605595667870036,0.8614620938628159,0.9528429602888087,0.8346119133574007
2019-12-31,2,0,1,0,1,5490,1.0,0.9910746812386156,0.9675774134790528,0.968488160291439,0.9357012750455374,0.9357012750455374
2020-03-31,2,0,1,0,1,4656,1.0,0.9428694158075601,0.8599656357388317,0.8623281786941581,0.9606958762886598,0.8389175257731959
2020-06-30,2,0,2,0,0,4943,1.0,0.9850293344123002,0.9000606918875177,0.9010722233461461,0.9310135545215457,0.9168521141007485
2020-09-30,2,0,1,0,1,4862,1.0,0.8895516248457425,0.9064171122994652,0.9074454956807898,0.9529000411353352,0.8759769642122583
2020-12-31,2,0,2,0,0,5539,1.0,0.9951254739122586,0.989709333814768,0.9904314858277667,0.9333814768008666,0.9333814768008666
2021-03-31,2,0,1,0,1,5087,1.0,0.918222921171614,0.9113426380971102,0.913701592294083,0.9404364065264399,0.8777275407902496
2021-06-30,2,0,2,0,0,5284,1.0,0.9903482210446631,0.9313020439061317,0.9320590461771385,0.9335730507191522,0.9265707797123391
2021-09-30,2,0,1,0,1,5282,1.0,0.9106399091253313,0.9206739871260886,0.9212419538053768,0.931276031806134,0.8775085195001894
2021-12-31,1,0,0,0,1,5560,1.0,0.996043165467626,0.9953237410071942,0.9962230215827338,0.931115107913669,0.931115107913669
2022-03-31,2,0,2,0,0,5383,1.0,0.9466840052015605,0.9435259149173324,0.9455693851012447,0.9349804941482445,0.8837079695337172
2022-06-30,2,0,1,0,1,5487,1.0,0.9928922908693275,0.96045197740113,0.9617277200656096,0.9329323856387826,0.9285584107891379
2022-09-30,2,0,2,0,0,5440,1.0,0.9477941176470588,0.9694852941176471,0.9702205882352941,0.9327205882352941,0.899264705882353
2022-12-31,0,0,0,0,0,5610,1.0,0.9953654188948307,0.9905525846702318,0.9910873440285205,0.9288770053475935,0.9288770053475935
2023-03-31,2,0,1,0,1,5462,1.0,0.9740021969974368,0.984254851702673,0.9849871841816185,0.929879165140974,0.9192603441962651
2023-06-30,0,0,0,0,0,5509,1.0,0.9916500272281721,0.9903793791976765,0.9909239426393175,0.9295697948811037,0.9268469776728989
2023-09-30,1,0,1,0,0,5510,1.0,0.9744101633393829,0.985480943738657,0.9860254083484573,0.9308529945553539,0.9168784029038113
2023-12-31,0,0,0,0,0,5609,1.0,0.9957211624175433,0.9994651453021929,1.0,0.9288643251916563,0.9288643251916563
2024-03-31,0,0,0,0,0,5553,1.0,0.9864937871420854,0.9821717990275527,0.9828921303799748,0.9281469475958941,0.9128399063569241
2024-06-30,0,0,0,0,0,5574,1.0,0.9944384642985289,0.9874416935773233,0.9878005023322569,0.9280588446358091,0.9260853964836742
2024-09-30,1,0,1,0,0,5602,1.0,0.9753659407354516,0.9833987861478044,0.9835772938236345,0.9280614066404855,0.914673330953231
2024-12-31,0,0,0,0,0,5609,1.0,0.994651453021929,0.999643430201462,1.0,0.9288643251916563,0.9288643251916563
2025-03-31,0,0,0,0,0,5609,1.0,0.9950080228204671,0.9896594758423961,0.9900160456409343,0.9288643251916563,0.9197717953289356
2025-06-30,0,0,0,0,0,5608,1.0,0.9934022824536377,0.9937589158345221,0.9939372325249644,0.9286733238231099,0.9286733238231099
2025-09-30,1,0,1,0,0,5603,1.0,0.9878636444761735,0.9994645725504194,0.9996430483669463,0.9287881492057826,0.9293235766553632
2025-12-31,2,0,0,0,2,5607,1.0,0.9903691813804173,0.9998216515070447,1.0,0.9288389513108615,0.9288389513108615
2026-03-31,2,0,2,0,0,5604,1.0,0.9916131334760885,0.9996431120628123,1.0,0.9293361884368309,0.929157744468237
