section,check_id,status,metric,value,threshold
cn,cn.database.exists,pass,db_path,/home/zj/workspace/stok-mapping/data/manual_history/a_share_history.sqlite,
cn,cn.market_daily_bars.schema,pass,missing_columns,none,none
cn,cn.daily.latest_date,pass,latest_date,2026-06-22,
cn,cn.daily.latest_coverage,pass,latest_symbols/total_symbols,5510/5530 (99.64%),80.00%
cn,cn.daily.staleness,pass,trade_day_staleness,1,<= 1; expected_trade_date=2026-06-23
cn,cn.daily.ohlc,pass,recent_ohlc_violations,0,0
cn,cn.daily.positive_prices,pass,recent_non_positive_price_rows,0,0
cn,cn.daily.non_negative_liquidity,pass,recent_negative_volume_amount_rows,0,0
cn,cn.market_stocks.schema,pass,missing_columns,none,none
cn,cn.meta.active_symbols,pass,active/total,5530/5530,
cn,cn.meta.list_date_coverage,pass,list_date_coverage,99.89%,95.00%
cn,cn.market_daily_basic.schema,pass,missing_columns,none,none
cn,cn.daily_basic.latest_date,pass,latest_date,2026-06-22,
cn,cn.daily_basic.latest_rows,pass,latest_rows,5510,
cn,cn.daily_basic.market_cap,pass,latest_non_null_coverage,100.00%,80.00%
cn,cn.daily_basic.pe_ratio,pass,latest_non_null_coverage,72.03%,diagnostic only
cn,cn.daily_basic.pb_ratio,pass,latest_non_null_coverage,99.22%,80.00%
cn,cn.daily_basic.turnover_rate,pass,latest_non_null_coverage,100.00%,80.00%
cn,cn.daily_basic.pe_ratio_missing,info,missing/rows,1541/5510 (27.97%),diagnostic only
cn,cn.daily_basic.pe_ratio_missing_pb_present,info,pb_present_among_pe_missing,1499/1541 (97.27%),diagnostic only
cn,cn.daily_basic.pe_ratio_missing_st,info,st_or_star_st_among_pe_missing,195/1541 (12.65%),diagnostic only
cn,cn.market_adj_factors.schema,pass,missing_columns,none,none
cn,cn.adjustment.positive_factor,pass,recent_non_positive_adj_factor_rows,0,0
cn,cn.trading_calendar.schema,pass,missing_columns,none,none
financial,financial.market_financial_factors.schema,pass,missing_columns,none,none
financial,financial.rows,pass,row_count,193817,
financial,financial.latest_report,pass,latest_report_date,2026-03-31,
financial,financial.announce_date_coverage,pass,announce_date_coverage,100.00%,95.00%
financial,financial.announce_after_report,pass,announce_before_report_rows,0,0
financial,financial.coverage.latest_factor,pass,eligible_symbol_coverage,5529/5530 (99.98%),60.00%
financial,financial.coverage.roe,pass,eligible_symbol_coverage,5484/5530 (99.17%),60.00%
financial,financial.coverage.revenue_growth,pass,eligible_symbol_coverage,5527/5530 (99.95%),60.00%
financial,financial.coverage.profit_growth,pass,eligible_symbol_coverage,5529/5530 (99.98%),60.00%
financial,financial.coverage.cash_flow_quality,pass,eligible_symbol_coverage,5209/5530 (94.20%),60.00%
financial,financial.coverage.debt_to_asset,pass,eligible_symbol_coverage,5208/5530 (94.18%),60.00%
financial,financial.backfill_tasks.empty,pass,task_count,8803,
financial,financial.backfill_tasks.failed,warning,task_count,3850,
financial,financial.backfill_tasks.fetched,pass,task_count,26477,
financial,financial.backfill_tasks.pending,warning,task_count,3036,
cross_market.us,cross_market.us.us_daily_bars.schema,pass,missing_columns,none,none
cross_market.us,cross_market.us.coverage,warning,fresh_configured_symbols,0/6 (0.00%) latest=2026-06-04,100.00%
cross_market.us,cross_market.us.ohlc,warning,recent_ohlc_violations,3,0
cross_market.us,cross_market.us.us_data_source_runs.audit,warning,latest_fetched_at,2026-06-05T17:10:14,<= 5 days
cross_market.hk,cross_market.hk.hk_daily_bars.schema,pass,missing_columns,none,none
cross_market.hk,cross_market.hk.coverage,warning,fresh_configured_symbols,0/30 (0.00%) latest=2026-06-04,100.00%
cross_market.hk,cross_market.hk.ohlc,warning,recent_ohlc_violations,1,0
cross_market.hk,cross_market.hk.hk_data_source_runs.audit,warning,latest_fetched_at,2026-06-05T16:20:51,<= 5 days
scheduler,scheduler.a_share_history.last_file,warning,mtime,2026-06-05,<= 3 days
scheduler,scheduler.us_market_history.last_file,warning,mtime,2026-06-05,<= 3 days
scheduler,scheduler.hk_market_history.last_file,warning,mtime,2026-06-04,<= 3 days
scheduler,scheduler.daily_brief.last_file,warning,mtime,2026-06-12,<= 3 days
scheduler,scheduler.market_data_source_runs.audit,pass,latest_fetched_at,2026-06-23T00:22:21,<= 3 days
