factor,description,coverage_ratio,missing_ratio,mean_rank_ic,icir,positive_ic_ratio,group_count,top_group_return_mean,bottom_group_return_mean,long_short_return_mean,annual_turnover_proxy,recommendation,main_reason
low_pb,-pb,1.0,0.0,0.09449631722926789,0.38089998181529766,0.6411637931034483,5,0.006183590564529849,-0.00883619236393855,0.0150197829284684,1.9368932038834938,use,positive IC and positive top-bottom return
low_vol60,-vol60,0.7454953942934172,0.25450460570658284,0.0934046128367604,0.3137317013487207,0.6170520231213873,5,0.0034312316484523633,-0.0064856032758865735,0.009916834924338936,8.828509406657014,use,positive IC and positive top-bottom return
low_turnover_rate,-turnover_rate,1.0,0.0,0.0859576975647185,0.3020770800846144,0.6206896551724138,5,0.00196122600758501,-0.0019282424602853373,0.003889468467870347,50.24595469255663,use,positive IC and positive top-bottom return
low_vol20,-vol20,1.0,0.0,0.08164656411611299,0.30477302625652225,0.6379310344827587,5,0.0028256697985139974,-0.0024485394342991995,0.005274209232813197,20.79611650485437,use,positive IC and positive top-bottom return
ep,1 / pe_ttm,0.9558571107616266,0.044142889238373395,0.07752366479911435,0.27146591701762046,0.5959051724137931,5,0.003422678737300559,-0.003636145719690777,0.007058824456991335,3.5660360464075094,use,positive IC and positive top-bottom return
cash_flow_quality,point-in-time operating cash flow / net profit,0.9959200179734891,0.004079982026510942,0.053517331869248036,0.48907884011875735,0.6918103448275862,5,0.0033931736240959097,-0.003346799245775323,0.006739972869871233,2.2087378640776696,use,positive IC and positive top-bottom return
reversal_mom3,-mom3,1.0,0.0,-0.0017570344513783364,-0.008260486471519609,0.4730603448275862,5,-0.0037563037384553922,-0.004150849145990518,0.0003945454075351259,116.4967637540453,observe,weak but non-negative IC or top-bottom return
profit_growth,point-in-time profit growth,0.9959200179734891,0.004079982026510942,-0.017838937361885982,-0.09974242254045056,0.4515086206896552,5,-0.0037671268006945,-0.005434984666801869,0.0016678578661073694,2.186084142394822,observe,weak but non-negative IC or top-bottom return
reversal_mom5,-mom5,1.0,0.0,-0.0012792244979473427,-0.005856408860012572,0.47521551724137934,5,-0.004506425138672649,-0.004328645692776848,-0.0001777794458958015,91.41909385113267,reject,negative IC and no positive top-bottom return
low_amount_ratio20,-amount_ratio20,1.0,0.0,-0.008038795717225756,-0.04965116036765624,0.46120689655172414,5,-0.0038945722743614487,-0.0017139513778973963,-0.0021806208964640526,134.2233009708738,reject,negative IC and no positive top-bottom return
roe,point-in-time ROE,0.9959200179734891,0.004079982026510942,-0.024748733234920987,-0.14900419926785297,0.45905172413793105,5,-0.012219465602675169,-0.0029268354326158316,-0.009292630170059338,4.179611650485437,reject,negative IC and no positive top-bottom return
mom20,20-day momentum,1.0,0.0,-0.036075716532861006,-0.16009859700356158,0.4838362068965517,5,-0.007761486795534988,-9.485518579011621e-05,-0.007666631609744872,43.93689320388349,reject,negative IC and no positive top-bottom return
revenue_growth,point-in-time revenue growth,0.9959200179734891,0.004079982026510942,-0.04163745232814174,-0.21755023910777807,0.41594827586206895,5,-0.004315481096048433,0.0016676111490341312,-0.005983092245082564,1.823624595469255,reject,negative IC and no positive top-bottom return
mom60,60-day momentum,1.0,0.0,-0.049486976294675564,-0.21389213391862802,0.43103448275862066,5,-0.008050117659947726,0.0013910358832462078,-0.009441153543193933,26.42556634304207,reject,negative IC and no positive top-bottom return
low_debt_to_asset,-debt_to_asset,0.9959200179734891,0.004079982026510942,-0.06442682795497624,-0.34605806976935916,0.3890086206896552,5,-0.007437142586561069,0.0055891564333644195,-0.013026299019925488,0.8381877022653718,reject,negative IC and no positive top-bottom return
