factor,year,mean_rank_ic,icir,positive_ic_ratio,sample_days
cash_flow_quality,2021,0.0068583704937614865,0.0826102548559806,0.5958904109589042,146
cash_flow_quality,2022,0.02891204930986551,0.3161457268449142,0.6666666666666666,222
cash_flow_quality,2023,0.12161377503544384,1.1011678015717445,0.8378378378378378,222
cash_flow_quality,2024,0.04995233352489253,0.4367271371556067,0.7117117117117117,222
cash_flow_quality,2025,0.05081824181955292,0.464553457576036,0.7068965517241379,116
ep,2021,0.08549086178049901,0.2562428481400308,0.5547945205479452,146
ep,2022,0.06721322985149313,0.24283919108000737,0.5405405405405406,222
ep,2023,0.11778712600788178,0.45384422086755405,0.6126126126126126,222
ep,2024,0.029044291521200118,0.10058243636414795,0.581081081081081,222
ep,2025,0.14549361057555396,0.534582867974322,0.75,116
low_amount_ratio20,2021,-0.04041542830514296,-0.2623167322370586,0.3835616438356164,146
low_amount_ratio20,2022,0.0003496745061739141,0.002212942839488893,0.4954954954954955,222
low_amount_ratio20,2023,-0.005785501860578825,-0.036604758141591975,0.45045045045045046,222
low_amount_ratio20,2024,-0.004774354749926221,-0.027443046810207226,0.4954954954954955,222
low_amount_ratio20,2025,0.004646953351669808,0.028232641620412283,0.4827586206896552,116
low_debt_to_asset,2021,-0.09513611302452728,-0.48018727710780973,0.363013698630137,146
low_debt_to_asset,2022,-0.032784224929981336,-0.19632362214530272,0.4774774774774775,222
low_debt_to_asset,2023,-0.07482149592803197,-0.3437046166669449,0.4099099099099099,222
low_debt_to_asset,2024,-0.06596634457584725,-0.32359202124671754,0.3063063063063063,222
low_debt_to_asset,2025,-0.07409771183601052,-0.6021772998549254,0.29310344827586204,116
low_pb,2021,0.11539607735223055,0.38539200323560796,0.589041095890411,146
low_pb,2022,0.09938307009568687,0.4043736971509476,0.6306306306306306,222
low_pb,2023,0.16342167224482365,0.7372952419694642,0.7522522522522522,222
low_pb,2024,0.0386408008202302,0.15474802139497476,0.6081081081081081,222
low_pb,2025,0.07540111241561602,0.39110509718056274,0.646551724137931,116
low_turnover_rate,2021,0.0464177807795744,0.17823499786207875,0.5273972602739726,146
low_turnover_rate,2022,0.10107513601689364,0.4023142258215083,0.6576576576576577,222
low_turnover_rate,2023,0.1656420157774993,0.7133553783493889,0.7432432432432432,222
low_turnover_rate,2024,0.046204485732994266,0.13826956842309115,0.6036036036036037,222
low_turnover_rate,2025,0.033407477368809654,0.11458455422267454,0.5,116
low_vol20,2021,0.08614383995673139,0.3732583988996998,0.684931506849315,146
low_vol20,2022,0.03881836299180881,0.1762988014090431,0.581081081081081,222
low_vol20,2023,0.16793654583380438,0.7537974712552786,0.7477477477477478,222
low_vol20,2024,0.08429837593925348,0.275296518740295,0.6396396396396397,222
low_vol20,2025,0.011322419440786602,0.032665892681711044,0.4396551724137931,116
low_vol60,2021,0.1670588372768022,0.8162494716163089,0.7471264367816092,87
low_vol60,2022,0.04000510606314666,0.1515022654983158,0.50920245398773,163
low_vol60,2023,0.13416357660257866,0.5651596519329956,0.6932515337423313,163
low_vol60,2024,0.12945368181157452,0.3743634929045443,0.7116564417177914,163
low_vol60,2025,0.029007551502176855,0.07675664713262045,0.47413793103448276,116
mom20,2021,-0.01692414463070844,-0.07010628255898031,0.5273972602739726,146
mom20,2022,-0.07809427403531048,-0.3528714558431617,0.3918918918918919,222
mom20,2023,-0.009092205609122914,-0.050508669160836364,0.5315315315315315,222
mom20,2024,-0.011090576546007898,-0.04506323490054348,0.5045045045045045,222
mom20,2025,-0.07602633598817295,-0.30483485578661407,0.4482758620689655,116
mom60,2021,-0.07730751543772675,-0.31271182242833007,0.3767123287671233,146
mom60,2022,-0.09400976298440751,-0.441428838440204,0.34234234234234234,222
mom60,2023,0.0063323468737839245,0.03408861910452835,0.5720720720720721,222
mom60,2024,-0.03183508820753986,-0.11581403747060881,0.46396396396396394,222
mom60,2025,-0.10635304819316468,-0.5367234997777478,0.3275862068965517,116
profit_growth,2021,-0.035939316370086044,-0.17234429575963953,0.4178082191780822,146
profit_growth,2022,-0.06281106996290034,-0.32951741822481617,0.38738738738738737,222
profit_growth,2023,-0.05780942708436378,-0.4294738458066442,0.3063063063063063,222
profit_growth,2024,0.0007640999731781112,0.004720031596782955,0.44144144144144143,222
profit_growth,2025,0.06668755408967537,0.6675603338895513,0.75,116
revenue_growth,2021,-0.06415535395903918,-0.3423587971345426,0.3424657534246575,146
revenue_growth,2022,-0.059700016781488355,-0.2622481442078395,0.40540540540540543,222
revenue_growth,2023,-0.0884764850870854,-0.5208119923582379,0.26576576576576577,222
revenue_growth,2024,-0.025266252342457142,-0.16540578848214824,0.44594594594594594,222
revenue_growth,2025,0.014549962291512121,0.09722303633430368,0.5,116
reversal_mom3,2021,0.001013150111990052,0.0050303889026078975,0.5,146
reversal_mom3,2022,0.006794081301461897,0.03167982396117215,0.4954954954954955,222
reversal_mom3,2023,-0.021289944374605064,-0.11275171940905937,0.42792792792792794,222
reversal_mom3,2024,-0.0006375776785441101,-0.002808296932803308,0.509009009009009,222
reversal_mom3,2025,0.009518574595953434,0.03941920876141327,0.41379310344827586,116
reversal_mom5,2021,-0.003943784189011827,-0.02032699880141272,0.5068493150684932,146
reversal_mom5,2022,0.013642463806892506,0.06203381629946431,0.5135135135135135,222
reversal_mom5,2023,-0.024825319170806527,-0.12426603196338157,0.4099099099099099,222
reversal_mom5,2024,0.001224704509464546,0.005342683664948018,0.45495495495495497,222
reversal_mom5,2025,0.0070825329353277275,0.027743127032045862,0.41379310344827586,116
roe,2021,-0.07393248033759976,-0.5383696954440004,0.3082191780821918,146
roe,2022,-0.01964111965610228,-0.1647653882231403,0.45045045045045046,222
roe,2023,-0.041406327770534754,-0.2111375463018689,0.38288288288288286,222
roe,2024,-0.031875496913182165,-0.2116875187187496,0.44594594594594594,222
roe,2025,0.060154879040048695,0.3547286707446647,0.6896551724137931,116
