代码,名称,最新价,涨跌幅,涨跌额,买入,卖出,成交量,成交额,今开,昨收,最高,最低
01349,复旦张江,2.38,-0.83,-0.02,2.38,2.38,2459000.0,5843620.0,2.4,2.4,2.41,2.35
00525,广深铁路股份,2.3,1.77,0.04,2.3,2.3,9210000.0,21110104.0,2.28,2.26,2.31,2.24
02068,中铝国际,2.28,-1.3,-0.03,2.28,2.28,4319000.0,10048570.0,2.31,2.31,2.39,2.28
03369,秦港股份,2.23,0.0,0.0,2.23,2.23,423500.0,959730.0,2.22,2.23,2.31,2.22
00323,马鞍山钢铁股份,1.93,-1.53,-0.03,1.93,1.93,7998001.0,15566561.96,1.99,1.96,1.99,1.92
00895,东江环保,1.78,-0.56,-0.01,1.78,1.78,664395.0,1200183.1,1.85,1.79,1.84,1.78
01375,中州证券,1.73,1.76,0.03,1.73,1.73,16877000.0,29426921.0,1.7,1.7,1.77,1.7
01618,中国中冶,1.5,1.35,0.02,1.5,1.5,9006000.0,13484870.0,1.48,1.48,1.51,1.48
00347,鞍钢股份,1.26,-3.82,-0.05,1.26,1.26,23151800.0,29430748.0,1.31,1.31,1.34,1.26
03996,中国能源建设,1.25,0.0,0.0,1.25,1.25,31588000.0,39567744.0,1.25,1.25,1.27,1.24
01528,红星美凯龙,1.25,2.46,0.03,1.25,1.25,6566600.0,8246245.6,1.22,1.22,1.28,1.22
00338,上海石油化工股份,1.13,0.89,0.01,1.13,1.13,18580000.0,20852460.0,1.11,1.12,1.14,1.11
06196,郑州银行,0.98,2.08,0.02,0.98,0.98,44162331.0,42552269.52,0.96,0.96,0.98,0.93
02866,中远海发,0.98,0.0,0.0,0.98,0.98,13544600.0,13397628.0,0.98,0.98,1.0,0.98
01053,重庆钢铁股份,0.97,0.0,0.0,0.97,0.97,4390000.0,4352060.0,0.97,0.97,1.02,0.97
02880,辽港股份,0.83,0.0,0.0,0.83,0.83,1274200.0,1055662.0,0.83,0.83,0.84,0.82
00588,北京北辰实业股份,0.81,1.25,0.01,0.81,0.81,57042000.0,47246780.0,0.82,0.8,0.89,0.79
01812,晨鸣纸业,0.8,-3.61,-0.03,0.8,0.8,1136000.0,927170.0,0.83,0.83,0.83,0.8
02009,金隅集团,0.71,1.43,0.01,0.71,0.71,23848000.0,17083112.0,0.71,0.7,0.73,0.71
01033,中石化油服,0.7,0.0,0.0,0.7,0.7,23882000.0,16601700.0,0.7,0.7,0.71,0.69
03750,宁德时代,744.5,3.84,27.5,744.5,744.5,7192189.0,5319578162.7,722.0,717.0,752.0,716.0
03986,兆易创新,740.0,-6.33,-50.0,740.0,740.0,2713318.0,2063304660.7,811.0,790.0,826.5,726.5
02476,胜宏科技,426.0,-2.78,-12.2,426.0,426.0,5622455.0,2475588622.5,450.0,438.2,475.0,419.0
06809,澜起科技,400.0,-12.82,-58.8,400.0,400.0,8506754.0,3584306054.2,458.8,458.8,465.0,394.6
06869,长飞光纤光缆,227.2,8.29,17.4,227.2,227.2,33645876.0,7609016360.6,209.0,209.8,239.0,202.0
02676,纳芯微,208.2,-10.95,-25.6,208.2,208.2,736912.0,161400466.2,235.0,233.8,240.8,208.2
01989,广合科技,184.0,-0.54,-1.0,184.0,184.0,2467814.0,470075128.8,198.1,185.0,204.6,180.6
03200,大族数控,180.0,-3.85,-7.2,180.0,180.0,2099421.0,377674917.8,190.2,187.2,194.4,174.0
06160,百济神州,176.8,0.97,1.7,176.8,176.8,10293435.0,1815618658.65,176.8,175.1,180.0,172.0
01347,华虹半导体,161.3,-5.12,-8.7,161.3,161.3,53836256.0,8913043437.2,170.1,170.0,174.7,159.0
06166,剑桥科技,146.4,-5.43,-8.4,146.4,146.4,16911526.0,2578718211.15,154.3,154.8,166.0,146.2
01304,峰岹科技,140.1,-11.66,-18.5,140.1,140.1,699173.0,102726987.7,158.7,158.6,160.1,140.1
09980,东鹏饮料,132.3,2.56,3.3,132.3,132.3,1558304.0,203613731.2,130.3,129.0,135.8,124.5
02359,药明康德,130.3,3.82,4.8,130.3,130.3,11319362.0,1473568555.8,128.0,125.5,132.5,126.7
02631,天岳先进,108.6,-11.13,-13.6,108.6,108.6,8996867.0,1031882414.8,126.5,122.2,128.8,106.6
06821,凯莱英,92.0,0.55,0.5,92.0,92.0,399700.0,37159041.4,90.6,91.5,95.6,90.15
01211,比亚迪股份,91.3,1.11,1.0,91.3,91.3,50503512.0,4628521918.4,92.4,90.3,93.3,89.15
00300,美的集团,85.75,0.82,0.7,85.75,85.75,11039368.0,948024740.9,85.05,85.05,86.6,84.85
00941,中国移动,85.15,0.35,0.3,85.15,85.15,21442428.0,1827535968.85,84.6,84.85,85.8,84.35
00501,豪威集团,83.95,-8.45,-7.75,83.95,83.95,1703088.0,147309861.4,93.2,91.7,93.85,83.6
02648,安井食品,83.15,3.29,2.65,83.15,83.15,1057953.0,87547280.4,78.95,80.5,84.45,78.95
09995,荣昌生物,82.65,4.69,3.7,82.65,82.65,6042817.0,492855509.1,80.3,78.95,84.85,77.3
00981,中芯国际,81.6,-7.54,-6.65,81.6,81.6,214921589.0,18216477284.68,88.5,88.25,89.65,80.8
03296,华勤技术,78.75,-1.75,-1.4,78.75,78.75,2508147.0,205428199.4,87.0,80.15,88.5,78.65
09927,赛力斯,67.7,-3.97,-2.8,67.7,67.7,1482400.0,101674305.0,70.65,70.5,70.65,67.45
01772,赣锋锂业,64.05,-0.62,-0.4,64.05,64.05,12294004.0,790309439.45,65.45,64.45,65.85,63.05
02692,兆威机电,63.0,-7.89,-5.4,63.0,63.0,1269200.0,82754655.0,67.95,68.4,69.35,63.0
01276,恒瑞医药,60.2,3.44,2.0,60.2,60.2,6369651.0,377672950.35,58.95,58.2,60.5,57.25
