snapshot_at,h_code,name,h_price,akshare_ah_premium_or_ratio,match_name,a_symbol,a_code,a_name,a_trade_date,a_close,a_h_price_ratio_without_fx,note,source_columns
,01349,复旦张江,2.38,,复旦张江,SH.688505,688505.SH,复旦张江,2026-05-29,7.16,3.0084033613445382,H股报价来自 AKShare 腾讯 AH 接口；A股价格来自本地库最新前复权收盘价；未换算 HKD/CNY 汇率,"代码, 名称, 最新价, 涨跌幅, 涨跌额, 买入, 卖出, 成交量, 成交额, 今开, 昨收, 最高, 最低"
,00525,广深铁路股份,2.3,,广深铁路,SH.601333,601333.SH,广深铁路,2026-05-29,3.09,1.3434782608695652,H股报价来自 AKShare 腾讯 AH 接口；A股价格来自本地库最新前复权收盘价；未换算 HKD/CNY 汇率,"代码, 名称, 最新价, 涨跌幅, 涨跌额, 买入, 卖出, 成交量, 成交额, 今开, 昨收, 最高, 最低"
,02068,中铝国际,2.28,,中铝国际,SH.601068,601068.SH,中铝国际,2026-05-29,5.53,2.425438596491228,H股报价来自 AKShare 腾讯 AH 接口；A股价格来自本地库最新前复权收盘价；未换算 HKD/CNY 汇率,"代码, 名称, 最新价, 涨跌幅, 涨跌额, 买入, 卖出, 成交量, 成交额, 今开, 昨收, 最高, 最低"
,03369,秦港股份,2.23,,秦港,SH.601326,601326.SH,秦港股份,2026-05-29,3.32,1.4887892376681613,H股报价来自 AKShare 腾讯 AH 接口；A股价格来自本地库最新前复权收盘价；未换算 HKD/CNY 汇率,"代码, 名称, 最新价, 涨跌幅, 涨跌额, 买入, 卖出, 成交量, 成交额, 今开, 昨收, 最高, 最低"
,00323,马鞍山钢铁股份,1.93,,马鞍山钢铁,,,,,,,H股报价来自 AKShare 腾讯 AH 接口；A股价格来自本地库最新前复权收盘价；未换算 HKD/CNY 汇率,"代码, 名称, 最新价, 涨跌幅, 涨跌额, 买入, 卖出, 成交量, 成交额, 今开, 昨收, 最高, 最低"
,00895,东江环保,1.78,,东江环保,SZ.002672,002672.SZ,东江环保,2026-05-29,3.77,2.1179775280898876,H股报价来自 AKShare 腾讯 AH 接口；A股价格来自本地库最新前复权收盘价；未换算 HKD/CNY 汇率,"代码, 名称, 最新价, 涨跌幅, 涨跌额, 买入, 卖出, 成交量, 成交额, 今开, 昨收, 最高, 最低"
,01375,中州证券,1.73,,中州证券,,,,,,,H股报价来自 AKShare 腾讯 AH 接口；A股价格来自本地库最新前复权收盘价；未换算 HKD/CNY 汇率,"代码, 名称, 最新价, 涨跌幅, 涨跌额, 买入, 卖出, 成交量, 成交额, 今开, 昨收, 最高, 最低"
,01618,中国中冶,1.5,,中国中冶,SH.601618,601618.SH,中国中冶,2026-05-29,2.83,1.8866666666666667,H股报价来自 AKShare 腾讯 AH 接口；A股价格来自本地库最新前复权收盘价；未换算 HKD/CNY 汇率,"代码, 名称, 最新价, 涨跌幅, 涨跌额, 买入, 卖出, 成交量, 成交额, 今开, 昨收, 最高, 最低"
,00347,鞍钢股份,1.26,,鞍钢,SZ.000898,000898.SZ,鞍钢股份,2026-05-29,2.04,1.619047619047619,H股报价来自 AKShare 腾讯 AH 接口；A股价格来自本地库最新前复权收盘价；未换算 HKD/CNY 汇率,"代码, 名称, 最新价, 涨跌幅, 涨跌额, 买入, 卖出, 成交量, 成交额, 今开, 昨收, 最高, 最低"
,03996,中国能源建设,1.25,,中国能源建设,,,,,,,H股报价来自 AKShare 腾讯 AH 接口；A股价格来自本地库最新前复权收盘价；未换算 HKD/CNY 汇率,"代码, 名称, 最新价, 涨跌幅, 涨跌额, 买入, 卖出, 成交量, 成交额, 今开, 昨收, 最高, 最低"
,01528,红星美凯龙,1.25,,红星美凯龙,,,,,,,H股报价来自 AKShare 腾讯 AH 接口；A股价格来自本地库最新前复权收盘价；未换算 HKD/CNY 汇率,"代码, 名称, 最新价, 涨跌幅, 涨跌额, 买入, 卖出, 成交量, 成交额, 今开, 昨收, 最高, 最低"
,00338,上海石油化工股份,1.13,,上海石油化工,,,,,,,H股报价来自 AKShare 腾讯 AH 接口；A股价格来自本地库最新前复权收盘价；未换算 HKD/CNY 汇率,"代码, 名称, 最新价, 涨跌幅, 涨跌额, 买入, 卖出, 成交量, 成交额, 今开, 昨收, 最高, 最低"
,06196,郑州银行,0.98,,郑州银行,SZ.002936,002936.SZ,郑州银行,2026-05-29,1.77,1.806122448979592,H股报价来自 AKShare 腾讯 AH 接口；A股价格来自本地库最新前复权收盘价；未换算 HKD/CNY 汇率,"代码, 名称, 最新价, 涨跌幅, 涨跌额, 买入, 卖出, 成交量, 成交额, 今开, 昨收, 最高, 最低"
,02866,中远海发,0.98,,中远海发,SH.601866,601866.SH,中远海发,2026-05-29,2.52,2.5714285714285716,H股报价来自 AKShare 腾讯 AH 接口；A股价格来自本地库最新前复权收盘价；未换算 HKD/CNY 汇率,"代码, 名称, 最新价, 涨跌幅, 涨跌额, 买入, 卖出, 成交量, 成交额, 今开, 昨收, 最高, 最低"
,01053,重庆钢铁股份,0.97,,重庆钢铁,SH.601005,601005.SH,重庆钢铁,2026-05-29,1.3,1.3402061855670104,H股报价来自 AKShare 腾讯 AH 接口；A股价格来自本地库最新前复权收盘价；未换算 HKD/CNY 汇率,"代码, 名称, 最新价, 涨跌幅, 涨跌额, 买入, 卖出, 成交量, 成交额, 今开, 昨收, 最高, 最低"
,02880,辽港股份,0.83,,辽港,SH.601880,601880.SH,辽港股份,2026-05-29,1.61,1.9397590361445785,H股报价来自 AKShare 腾讯 AH 接口；A股价格来自本地库最新前复权收盘价；未换算 HKD/CNY 汇率,"代码, 名称, 最新价, 涨跌幅, 涨跌额, 买入, 卖出, 成交量, 成交额, 今开, 昨收, 最高, 最低"
,00588,北京北辰实业股份,0.81,,北京北辰实业,,,,,,,H股报价来自 AKShare 腾讯 AH 接口；A股价格来自本地库最新前复权收盘价；未换算 HKD/CNY 汇率,"代码, 名称, 最新价, 涨跌幅, 涨跌额, 买入, 卖出, 成交量, 成交额, 今开, 昨收, 最高, 最低"
,01812,晨鸣纸业,0.8,,晨鸣纸业,,,,,,,H股报价来自 AKShare 腾讯 AH 接口；A股价格来自本地库最新前复权收盘价；未换算 HKD/CNY 汇率,"代码, 名称, 最新价, 涨跌幅, 涨跌额, 买入, 卖出, 成交量, 成交额, 今开, 昨收, 最高, 最低"
,02009,金隅集团,0.71,,金隅,SH.601992,601992.SH,金隅集团,2026-05-29,1.59,2.23943661971831,H股报价来自 AKShare 腾讯 AH 接口；A股价格来自本地库最新前复权收盘价；未换算 HKD/CNY 汇率,"代码, 名称, 最新价, 涨跌幅, 涨跌额, 买入, 卖出, 成交量, 成交额, 今开, 昨收, 最高, 最低"
,01033,中石化油服,0.7,,中石化油服,,,,,,,H股报价来自 AKShare 腾讯 AH 接口；A股价格来自本地库最新前复权收盘价；未换算 HKD/CNY 汇率,"代码, 名称, 最新价, 涨跌幅, 涨跌额, 买入, 卖出, 成交量, 成交额, 今开, 昨收, 最高, 最低"
,03750,宁德时代,744.5,,宁德时代,SZ.300750,300750.SZ,宁德时代,2026-05-29,424.0,0.5695097380792478,H股报价来自 AKShare 腾讯 AH 接口；A股价格来自本地库最新前复权收盘价；未换算 HKD/CNY 汇率,"代码, 名称, 最新价, 涨跌幅, 涨跌额, 买入, 卖出, 成交量, 成交额, 今开, 昨收, 最高, 最低"
,03986,兆易创新,740.0,,兆易创新,SH.603986,603986.SH,兆易创新,2026-05-29,467.01,0.6310945945945946,H股报价来自 AKShare 腾讯 AH 接口；A股价格来自本地库最新前复权收盘价；未换算 HKD/CNY 汇率,"代码, 名称, 最新价, 涨跌幅, 涨跌额, 买入, 卖出, 成交量, 成交额, 今开, 昨收, 最高, 最低"
,02476,胜宏科技,426.0,,胜宏科技,SZ.300476,300476.SZ,胜宏科技,2026-05-29,368.52,0.8650704225352113,H股报价来自 AKShare 腾讯 AH 接口；A股价格来自本地库最新前复权收盘价；未换算 HKD/CNY 汇率,"代码, 名称, 最新价, 涨跌幅, 涨跌额, 买入, 卖出, 成交量, 成交额, 今开, 昨收, 最高, 最低"
,06809,澜起科技,400.0,,澜起科技,SH.688008,688008.SH,澜起科技,2026-05-29,253.0,0.6325,H股报价来自 AKShare 腾讯 AH 接口；A股价格来自本地库最新前复权收盘价；未换算 HKD/CNY 汇率,"代码, 名称, 最新价, 涨跌幅, 涨跌额, 买入, 卖出, 成交量, 成交额, 今开, 昨收, 最高, 最低"
,06869,长飞光纤光缆,227.2,,长飞光纤光缆,,,,,,,H股报价来自 AKShare 腾讯 AH 接口；A股价格来自本地库最新前复权收盘价；未换算 HKD/CNY 汇率,"代码, 名称, 最新价, 涨跌幅, 涨跌额, 买入, 卖出, 成交量, 成交额, 今开, 昨收, 最高, 最低"
,02676,纳芯微,208.2,,纳芯微,SH.688052,688052.SH,纳芯微,2026-05-29,256.82,1.233525456292027,H股报价来自 AKShare 腾讯 AH 接口；A股价格来自本地库最新前复权收盘价；未换算 HKD/CNY 汇率,"代码, 名称, 最新价, 涨跌幅, 涨跌额, 买入, 卖出, 成交量, 成交额, 今开, 昨收, 最高, 最低"
,01989,广合科技,184.0,,广合科技,SZ.001389,001389.SZ,广合科技,2026-05-29,196.48,1.0678260869565217,H股报价来自 AKShare 腾讯 AH 接口；A股价格来自本地库最新前复权收盘价；未换算 HKD/CNY 汇率,"代码, 名称, 最新价, 涨跌幅, 涨跌额, 买入, 卖出, 成交量, 成交额, 今开, 昨收, 最高, 最低"
,03200,大族数控,180.0,,大族数控,SZ.301200,301200.SZ,大族数控,2026-05-29,279.0,1.55,H股报价来自 AKShare 腾讯 AH 接口；A股价格来自本地库最新前复权收盘价；未换算 HKD/CNY 汇率,"代码, 名称, 最新价, 涨跌幅, 涨跌额, 买入, 卖出, 成交量, 成交额, 今开, 昨收, 最高, 最低"
,06160,百济神州,176.8,,百济神州,SH.688235,688235.SH,百济神州,2026-05-29,243.9,1.379524886877828,H股报价来自 AKShare 腾讯 AH 接口；A股价格来自本地库最新前复权收盘价；未换算 HKD/CNY 汇率,"代码, 名称, 最新价, 涨跌幅, 涨跌额, 买入, 卖出, 成交量, 成交额, 今开, 昨收, 最高, 最低"
,01347,华虹半导体,161.3,,华虹半导体,,,,,,,H股报价来自 AKShare 腾讯 AH 接口；A股价格来自本地库最新前复权收盘价；未换算 HKD/CNY 汇率,"代码, 名称, 最新价, 涨跌幅, 涨跌额, 买入, 卖出, 成交量, 成交额, 今开, 昨收, 最高, 最低"
,06166,剑桥科技,146.4,,剑桥科技,SH.603083,603083.SH,剑桥科技,2026-05-29,207.7,1.4187158469945353,H股报价来自 AKShare 腾讯 AH 接口；A股价格来自本地库最新前复权收盘价；未换算 HKD/CNY 汇率,"代码, 名称, 最新价, 涨跌幅, 涨跌额, 买入, 卖出, 成交量, 成交额, 今开, 昨收, 最高, 最低"
,01304,峰岹科技,140.1,,峰岹科技,SH.688279,688279.SH,峰岹科技,2026-05-29,216.94,1.5484653818700929,H股报价来自 AKShare 腾讯 AH 接口；A股价格来自本地库最新前复权收盘价；未换算 HKD/CNY 汇率,"代码, 名称, 最新价, 涨跌幅, 涨跌额, 买入, 卖出, 成交量, 成交额, 今开, 昨收, 最高, 最低"
,09980,东鹏饮料,132.3,,东鹏饮料,SH.605499,605499.SH,东鹏饮料,2026-05-29,142.44,1.0766439909297052,H股报价来自 AKShare 腾讯 AH 接口；A股价格来自本地库最新前复权收盘价；未换算 HKD/CNY 汇率,"代码, 名称, 最新价, 涨跌幅, 涨跌额, 买入, 卖出, 成交量, 成交额, 今开, 昨收, 最高, 最低"
,02359,药明康德,130.3,,药明康德,,,,,,,H股报价来自 AKShare 腾讯 AH 接口；A股价格来自本地库最新前复权收盘价；未换算 HKD/CNY 汇率,"代码, 名称, 最新价, 涨跌幅, 涨跌额, 买入, 卖出, 成交量, 成交额, 今开, 昨收, 最高, 最低"
,02631,天岳先进,108.6,,天岳先进,SH.688234,688234.SH,天岳先进,2026-05-29,147.1,1.35451197053407,H股报价来自 AKShare 腾讯 AH 接口；A股价格来自本地库最新前复权收盘价；未换算 HKD/CNY 汇率,"代码, 名称, 最新价, 涨跌幅, 涨跌额, 买入, 卖出, 成交量, 成交额, 今开, 昨收, 最高, 最低"
,06821,凯莱英,92.0,,凯莱英,SZ.002821,002821.SZ,凯莱英,2026-05-29,117.42,1.276304347826087,H股报价来自 AKShare 腾讯 AH 接口；A股价格来自本地库最新前复权收盘价；未换算 HKD/CNY 汇率,"代码, 名称, 最新价, 涨跌幅, 涨跌额, 买入, 卖出, 成交量, 成交额, 今开, 昨收, 最高, 最低"
,01211,比亚迪股份,91.3,,比亚迪,SZ.002594,002594.SZ,比亚迪,2026-05-29,96.18,1.0534501642935379,H股报价来自 AKShare 腾讯 AH 接口；A股价格来自本地库最新前复权收盘价；未换算 HKD/CNY 汇率,"代码, 名称, 最新价, 涨跌幅, 涨跌额, 买入, 卖出, 成交量, 成交额, 今开, 昨收, 最高, 最低"
,00300,美的集团,85.75,,美的,SZ.000333,000333.SZ,美的集团,2026-05-29,80.85,0.9428571428571428,H股报价来自 AKShare 腾讯 AH 接口；A股价格来自本地库最新前复权收盘价；未换算 HKD/CNY 汇率,"代码, 名称, 最新价, 涨跌幅, 涨跌额, 买入, 卖出, 成交量, 成交额, 今开, 昨收, 最高, 最低"
,00941,中国移动,85.15,,中国移动,SH.600941,600941.SH,中国移动,2026-05-29,99.1,1.1638285378743392,H股报价来自 AKShare 腾讯 AH 接口；A股价格来自本地库最新前复权收盘价；未换算 HKD/CNY 汇率,"代码, 名称, 最新价, 涨跌幅, 涨跌额, 买入, 卖出, 成交量, 成交额, 今开, 昨收, 最高, 最低"
,00501,豪威集团,83.95,,豪威,SH.603501,603501.SH,豪威集团,2026-05-29,95.0,1.1316259678379987,H股报价来自 AKShare 腾讯 AH 接口；A股价格来自本地库最新前复权收盘价；未换算 HKD/CNY 汇率,"代码, 名称, 最新价, 涨跌幅, 涨跌额, 买入, 卖出, 成交量, 成交额, 今开, 昨收, 最高, 最低"
,02648,安井食品,83.15,,安井食品,SH.603345,603345.SH,安井食品,2026-05-29,99.65,1.1984365604329525,H股报价来自 AKShare 腾讯 AH 接口；A股价格来自本地库最新前复权收盘价；未换算 HKD/CNY 汇率,"代码, 名称, 最新价, 涨跌幅, 涨跌额, 买入, 卖出, 成交量, 成交额, 今开, 昨收, 最高, 最低"
,09995,荣昌生物,82.65,,荣昌生物,SH.688331,688331.SH,荣昌生物,2026-05-29,116.03,1.403871748336358,H股报价来自 AKShare 腾讯 AH 接口；A股价格来自本地库最新前复权收盘价；未换算 HKD/CNY 汇率,"代码, 名称, 最新价, 涨跌幅, 涨跌额, 买入, 卖出, 成交量, 成交额, 今开, 昨收, 最高, 最低"
,00981,中芯国际,81.6,,中芯国际,SH.688981,688981.SH,中芯国际,2026-05-29,139.91,1.7145833333333333,H股报价来自 AKShare 腾讯 AH 接口；A股价格来自本地库最新前复权收盘价；未换算 HKD/CNY 汇率,"代码, 名称, 最新价, 涨跌幅, 涨跌额, 买入, 卖出, 成交量, 成交额, 今开, 昨收, 最高, 最低"
,03296,华勤技术,78.75,,华勤技术,SH.603296,603296.SH,华勤技术,2026-05-29,106.4,1.3511111111111112,H股报价来自 AKShare 腾讯 AH 接口；A股价格来自本地库最新前复权收盘价；未换算 HKD/CNY 汇率,"代码, 名称, 最新价, 涨跌幅, 涨跌额, 买入, 卖出, 成交量, 成交额, 今开, 昨收, 最高, 最低"
,09927,赛力斯,67.7,,赛力斯,SH.601127,601127.SH,赛力斯,2026-05-29,81.46,1.2032496307237812,H股报价来自 AKShare 腾讯 AH 接口；A股价格来自本地库最新前复权收盘价；未换算 HKD/CNY 汇率,"代码, 名称, 最新价, 涨跌幅, 涨跌额, 买入, 卖出, 成交量, 成交额, 今开, 昨收, 最高, 最低"
,01772,赣锋锂业,64.05,,赣锋锂业,SZ.002460,002460.SZ,赣锋锂业,2026-05-29,71.48,1.1160031225604998,H股报价来自 AKShare 腾讯 AH 接口；A股价格来自本地库最新前复权收盘价；未换算 HKD/CNY 汇率,"代码, 名称, 最新价, 涨跌幅, 涨跌额, 买入, 卖出, 成交量, 成交额, 今开, 昨收, 最高, 最低"
,02692,兆威机电,63.0,,兆威机电,SZ.003021,003021.SZ,兆威机电,2026-05-29,96.83,1.536984126984127,H股报价来自 AKShare 腾讯 AH 接口；A股价格来自本地库最新前复权收盘价；未换算 HKD/CNY 汇率,"代码, 名称, 最新价, 涨跌幅, 涨跌额, 买入, 卖出, 成交量, 成交额, 今开, 昨收, 最高, 最低"
,01276,恒瑞医药,60.2,,恒瑞医药,SH.600276,600276.SH,恒瑞医药,2026-05-29,50.19,0.8337209302325581,H股报价来自 AKShare 腾讯 AH 接口；A股价格来自本地库最新前复权收盘价；未换算 HKD/CNY 汇率,"代码, 名称, 最新价, 涨跌幅, 涨跌额, 买入, 卖出, 成交量, 成交额, 今开, 昨收, 最高, 最低"
,02318,中国平安,60.05,,中国平安,SH.601318,601318.SH,中国平安,2026-05-29,53.5,0.890924229808493,H股报价来自 AKShare 腾讯 AH 接口；A股价格来自本地库最新前复权收盘价；未换算 HKD/CNY 汇率,"代码, 名称, 最新价, 涨跌幅, 涨跌额, 买入, 卖出, 成交量, 成交额, 今开, 昨收, 最高, 最低"
,02768,国恩科技,57.85,,国恩科技,,,,,,,H股报价来自 AKShare 腾讯 AH 接口；A股价格来自本地库最新前复权收盘价；未换算 HKD/CNY 汇率,"代码, 名称, 最新价, 涨跌幅, 涨跌额, 买入, 卖出, 成交量, 成交额, 今开, 昨收, 最高, 最低"
,01880,中国中免,55.95,,中国中免,SH.601888,601888.SH,中国中免,2026-05-29,59.58,1.0648793565683645,H股报价来自 AKShare 腾讯 AH 接口；A股价格来自本地库最新前复权收盘价；未换算 HKD/CNY 汇率,"代码, 名称, 最新价, 涨跌幅, 涨跌额, 买入, 卖出, 成交量, 成交额, 今开, 昨收, 最高, 最低"
,03606,福耀玻璃,55.6,,福耀玻璃,SH.600660,600660.SH,福耀玻璃,2026-05-29,52.66,0.9471223021582733,H股报价来自 AKShare 腾讯 AH 接口；A股价格来自本地库最新前复权收盘价；未换算 HKD/CNY 汇率,"代码, 名称, 最新价, 涨跌幅, 涨跌额, 买入, 卖出, 成交量, 成交额, 今开, 昨收, 最高, 最低"
,00470,先导智能,52.7,,先导智能,SZ.300450,300450.SZ,先导智能,2026-05-29,50.81,0.9641366223908918,H股报价来自 AKShare 腾讯 AH 接口；A股价格来自本地库最新前复权收盘价；未换算 HKD/CNY 汇率,"代码, 名称, 最新价, 涨跌幅, 涨跌额, 买入, 卖出, 成交量, 成交额, 今开, 昨收, 最高, 最低"
,00168,青岛啤酒股份,49.74,,青岛啤酒,SH.600600,600600.SH,青岛啤酒,2026-05-29,61.14,1.2291917973462,H股报价来自 AKShare 腾讯 AH 接口；A股价格来自本地库最新前复权收盘价；未换算 HKD/CNY 汇率,"代码, 名称, 最新价, 涨跌幅, 涨跌额, 买入, 卖出, 成交量, 成交额, 今开, 昨收, 最高, 最低"
,02315,百奥赛图-B,49.42,,百奥赛图B,,,,,,,H股报价来自 AKShare 腾讯 AH 接口；A股价格来自本地库最新前复权收盘价；未换算 HKD/CNY 汇率,"代码, 名称, 最新价, 涨跌幅, 涨跌额, 买入, 卖出, 成交量, 成交额, 今开, 昨收, 最高, 最低"
