trade_date,code,name,close,change_pct,hold_shares,hold_market_value,hold_float_ratio,hold_shares_change,hold_money_change,hold_ratio_change,note
2024-07-22,601318,中国平安,43.0,-0.069718800837,584518504,25134295672.0,5.43,3336985.0,143179681.6965,0.040000000000000036,请求区间 20250501-20250601 无持股数据，回退展示该股票最近 20 条历史记录
2024-07-23,601318,中国平安,42.79,-0.488372093023,584815497,25024255116.63,5.43,296993.0,12779430.5942,0.0,请求区间 20250501-20250601 无持股数据，回退展示该股票最近 20 条历史记录
2024-07-24,601318,中国平安,42.56,-0.53750876373,583531156,24835085999.36,5.42,-1284341.0,-54718449.2663,-0.009999999999999787,请求区间 20250501-20250601 无持股数据，回退展示该股票最近 20 条历史记录
2024-07-25,601318,中国平安,42.57,0.023496240602,576065291,24523099437.87,5.35,-7465865.0,-317730042.9105,-0.07000000000000028,请求区间 20250501-20250601 无持股数据，回退展示该股票最近 20 条历史记录
2024-07-26,601318,中国平安,41.09,0.024342745862,571137929,23468057502.61,5.3,-4927362.0,-202684079.4528,-0.04999999999999982,请求区间 20250501-20250601 无持股数据，回退展示该股票最近 20 条历史记录
2024-07-29,601318,中国平安,41.32,0.559746897055,573274098,23687685729.36,5.32,2136169.0,88345968.5668,0.020000000000000462,请求区间 20250501-20250601 无持股数据，回退展示该股票最近 20 条历史记录
2024-07-30,601318,中国平安,41.33,0.024201355276,572055746,23643063982.18,5.31,-1218352.0,-50242521.6112,-0.010000000000000675,请求区间 20250501-20250601 无持股数据，回退展示该股票最近 20 条历史记录
2024-07-31,601318,中国平安,42.56,2.976046455359,579458664,24661760739.84,5.38,7402918.0,312349098.2986,0.07000000000000028,请求区间 20250501-20250601 无持股数据，回退展示该股票最近 20 条历史记录
2024-08-01,601318,中国平安,42.51,-0.117481203008,579515203,24635191279.53,5.38,56539.0,2405717.4883,0.0,请求区间 20250501-20250601 无持股数据，回退展示该股票最近 20 条历史记录
2024-08-02,601318,中国平安,41.82,-1.623147494707,580986827,24296869105.14,5.39,1471624.0,61842349.6768,0.009999999999999787,请求区间 20250501-20250601 无持股数据，回退展示该股票最近 20 条历史记录
2024-08-05,601318,中国平安,42.0,0.430416068867,582111296,24448674432.0,5.4,1124469.0,47363084.0676,0.010000000000000675,请求区间 20250501-20250601 无持股数据，回退展示该股票最近 20 条历史记录
2024-08-06,601318,中国平安,40.9,-2.619047619048,578111368,23644754951.2,5.37,-3999928.0,-164863832.3976,-0.03000000000000025,请求区间 20250501-20250601 无持股数据，回退展示该股票最近 20 条历史记录
2024-08-07,601318,中国平安,40.7,-0.488997555012,576113801,23447831700.7,5.35,-1997567.0,-81661937.2569,-0.020000000000000462,请求区间 20250501-20250601 无持股数据，回退展示该股票最近 20 条历史记录
2024-08-08,601318,中国平安,40.82,0.29484029484,575908207,23508573009.74,5.35,-205594.0,-8388564.1504,0.0,请求区间 20250501-20250601 无持股数据，回退展示该股票最近 20 条历史记录
2024-08-09,601318,中国平安,40.61,-0.514453699167,575822991,23384171664.51,5.35,-85216.0,-3480247.0048,0.0,请求区间 20250501-20250601 无持股数据，回退展示该股票最近 20 条历史记录
2024-08-12,601318,中国平安,40.62,0.02462447673,574200824,23324037470.88,5.33,-1622167.0,-65795742.3868,-0.019999999999999574,请求区间 20250501-20250601 无持股数据，回退展示该股票最近 20 条历史记录
2024-08-13,601318,中国平安,40.78,0.393894633186,573622784,23392337131.52,5.32,-578040.0,-23502759.576,-0.009999999999999787,请求区间 20250501-20250601 无持股数据，回退展示该股票最近 20 条历史记录
2024-08-14,601318,中国平安,40.49,-0.711132908288,576727638,23351702062.62,5.35,3104854.0,126136556.6624,0.02999999999999936,请求区间 20250501-20250601 无持股数据，回退展示该股票最近 20 条历史记录
2024-08-15,601318,中国平安,41.32,2.049888861447,588089936,24299876155.52,5.46,11362298.0,468555036.2346,0.11000000000000032,请求区间 20250501-20250601 无持股数据，回退展示该股票最近 20 条历史记录
2024-08-16,601318,中国平安,41.61,0.701839303001,588734005,24497221948.05,5.47,644069.0,26743548.2732,0.009999999999999787,请求区间 20250501-20250601 无持股数据，回退展示该股票最近 20 条历史记录
2024-07-22,600036,招商银行,33.34,-2.656934306569,1240844945,41369770466.3,6.01,377417.0,12581610.8537,0.0,请求区间 20250501-20250601 无持股数据，回退展示该股票最近 20 条历史记录
2024-07-23,600036,招商银行,33.34,0.0,1242729252,41432593261.68,6.02,1884307.0,63069828.0277,0.009999999999999787,请求区间 20250501-20250601 无持股数据，回退展示该股票最近 20 条历史记录
2024-07-24,600036,招商银行,33.18,-0.479904019196,1246082874,41345029759.32,6.04,3353622.0,111542138.4444,0.020000000000000462,请求区间 20250501-20250601 无持股数据，回退展示该股票最近 20 条历史记录
2024-07-25,600036,招商银行,32.83,-1.054852320675,1240027602,40710106173.66,6.01,-6055272.0,-198389482.0632,-0.03000000000000025,请求区间 20250501-20250601 无持股数据，回退展示该股票最近 20 条历史记录
2024-07-26,600036,招商银行,32.37,-1.401157477917,1238893426,40102980199.62,6.0,-1134176.0,-36811837.0144,-0.009999999999999787,请求区间 20250501-20250601 无持股数据，回退展示该股票最近 20 条历史记录
2024-07-29,600036,招商银行,32.45,0.247142415817,1237789243,40166260935.35,6.0,-1104183.0,-35884512.0621,0.0,请求区间 20250501-20250601 无持股数据，回退展示该股票最近 20 条历史记录
2024-07-30,600036,招商银行,32.42,-0.092449922958,1237059285,40105462019.7,5.99,-729958.0,-23628083.4978,-0.009999999999999787,请求区间 20250501-20250601 无持股数据，回退展示该股票最近 20 条历史记录
2024-07-31,600036,招商银行,32.73,0.956199876619,1234771781,40414080392.13,5.98,-2287504.0,-74871149.672,-0.009999999999999787,请求区间 20250501-20250601 无持股数据，回退展示该股票最近 20 条历史记录
2024-08-01,600036,招商银行,32.71,-0.061106018943,1231858786,40294100890.06,5.97,-2912995.0,-94890812.125,-0.010000000000000675,请求区间 20250501-20250601 无持股数据，回退展示该股票最近 20 条历史记录
2024-08-02,600036,招商银行,32.28,-1.314582696423,1228147003,39644585256.84,5.95,-3711783.0,-120163406.9505,-0.019999999999999574,请求区间 20250501-20250601 无持股数据，回退展示该股票最近 20 条历史记录
2024-08-05,600036,招商银行,32.1,-0.557620817844,1226180621,39360397934.1,5.94,-1966382.0,-63422111.9224,-0.009999999999999787,请求区间 20250501-20250601 无持股数据，回退展示该股票最近 20 条历史记录
2024-08-06,600036,招商银行,31.7,-1.246105919003,1228965164,38958195698.8,5.95,2784543.0,88657343.0313,0.009999999999999787,请求区间 20250501-20250601 无持股数据，回退展示该股票最近 20 条历史记录
2024-08-07,600036,招商银行,31.58,-0.378548895899,1226697113,38739094828.54,5.94,-2268051.0,-71862515.5197,-0.009999999999999787,请求区间 20250501-20250601 无持股数据，回退展示该股票最近 20 条历史记录
2024-08-08,600036,招商银行,31.93,1.10829639012,1223529033,39067282023.69,5.93,-3168080.0,-100549790.272,-0.010000000000000675,请求区间 20250501-20250601 无持股数据，回退展示该股票最近 20 条历史记录
2024-08-09,600036,招商银行,32.33,1.252740369558,1221797903,39500726203.99,5.92,-1731130.0,-55986475.33,-0.009999999999999787,请求区间 20250501-20250601 无持股数据，回退展示该股票最近 20 条历史记录
2024-08-12,600036,招商银行,32.12,-0.649551500155,1218448334,39136560488.08,5.9,-3349569.0,-107483314.7703,-0.019999999999999574,请求区间 20250501-20250601 无持股数据，回退展示该股票最近 20 条历史记录
2024-08-13,600036,招商银行,31.94,-0.560398505604,1218121134,38906789019.96,5.9,-327200.0,-10451880.48,0.0,请求区间 20250501-20250601 无持股数据，回退展示该股票最近 20 条历史记录
2024-08-14,600036,招商银行,31.86,-0.250469630557,1219583386,38855926677.96,5.91,1462252.0,46655928.3388,0.009999999999999787,请求区间 20250501-20250601 无持股数据，回退展示该股票最近 20 条历史记录
2024-08-15,600036,招商银行,32.76,2.824858757062,1231513161,40344371154.36,5.96,11929775.0,388562315.57,0.04999999999999982,请求区间 20250501-20250601 无持股数据，回退展示该股票最近 20 条历史记录
2024-08-16,600036,招商银行,33.15,1.190476190476,1232879159,40869944120.85,5.97,1365998.0,45169865.6654,0.009999999999999787,请求区间 20250501-20250601 无持股数据，回退展示该股票最近 20 条历史记录
2024-07-22,600519,贵州茅台,1499.0,-1.744864383005,84391107,126502269393.0,6.71,75080.0,113128501.824,0.0,请求区间 20250501-20250601 无持股数据，回退展示该股票最近 20 条历史记录
2024-07-23,600519,贵州茅台,1455.0,-2.935290193462,84163032,122457211560.0,6.69,-228075.0,-335763941.145,-0.019999999999999574,请求区间 20250501-20250601 无持股数据，回退展示该股票最近 20 条历史记录
2024-07-24,600519,贵州茅台,1440.02,-1.029553264605,83830049,120716947160.98,6.67,-332983.0,-481780582.5392,-0.020000000000000462,请求区间 20250501-20250601 无持股数据，回退展示该股票最近 20 条历史记录
2024-07-25,600519,贵州茅台,1430.49,-0.661796363939,83238345,119071620139.05,6.62,-591704.0,-846247072.796,-0.04999999999999982,请求区间 20250501-20250601 无持股数据，回退展示该股票最近 20 条历史记录
2024-07-26,600519,贵州茅台,1422.19,-0.580220763515,82865442,117850402957.98,6.59,-372903.0,-529601837.5002,-0.03000000000000025,请求区间 20250501-20250601 无持股数据，回退展示该股票最近 20 条历史记录
2024-07-29,600519,贵州茅台,1398.02,-1.699491629107,82459140,115279526902.8,6.56,-406302.0,-571578990.2472,-0.03000000000000025,请求区间 20250501-20250601 无持股数据，回退展示该股票最近 20 条历史记录
2024-07-30,600519,贵州茅台,1379.99,-1.289681120442,82150739,113367198312.61,6.53,-308401.0,-423090860.0855,-0.02999999999999936,请求区间 20250501-20250601 无持股数据，回退展示该股票最近 20 条历史记录
2024-07-31,600519,贵州茅台,1421.28,2.992050667034,82370373,117071363737.44,6.55,219634.0,309519104.683,0.019999999999999574,请求区间 20250501-20250601 无持股数据，回退展示该股票最近 20 条历史记录
2024-08-01,600519,贵州茅台,1386.16,-2.47101204548,82171092,113902280886.72,6.54,-199281.0,-278101059.5382,-0.009999999999999787,请求区间 20250501-20250601 无持股数据，回退展示该股票最近 20 条历史记录
2024-08-02,600519,贵州茅台,1385.45,-0.05122063831,82022288,113637778909.6,6.52,-148804.0,-206415284.0088,-0.020000000000000462,请求区间 20250501-20250601 无持股数据，回退展示该股票最近 20 条历史记录
2024-08-05,600519,贵州茅台,1410.01,1.772709228049,82267525,115998032925.25,6.54,245237.0,346196266.2548,0.020000000000000462,请求区间 20250501-20250601 无持股数据，回退展示该股票最近 20 条历史记录
2024-08-06,600519,贵州茅台,1404.7,-0.376593073808,82207000,115476172900.0,6.54,-60525.0,-85143628.485,0.0,请求区间 20250501-20250601 无持股数据，回退展示该股票最近 20 条历史记录
2024-08-07,600519,贵州茅台,1415.5,0.768847440735,82427934,116676740577.0,6.56,220934.0,311822182.4144,0.019999999999999574,请求区间 20250501-20250601 无持股数据，回退展示该股票最近 20 条历史记录
2024-08-08,600519,贵州茅台,1430.69,1.073119039209,82570424,118132679912.56,6.57,142490.0,203703903.486,0.010000000000000675,请求区间 20250501-20250601 无持股数据，回退展示该股票最近 20 条历史记录
2024-08-09,600519,贵州茅台,1436.8,0.427066660143,82526949,118574720323.2,6.56,-43475.0,-63018908.01,-0.010000000000000675,请求区间 20250501-20250601 无持股数据，回退展示该股票最近 20 条历史记录
2024-08-12,600519,贵州茅台,1436.1,-0.048719376392,82401873,118337329815.3,6.55,-125076.0,-179518668.5292,-0.009999999999999787,请求区间 20250501-20250601 无持股数据，回退展示该股票最近 20 条历史记录
2024-08-13,600519,贵州茅台,1423.01,-0.911496413899,82359451,117198322367.51,6.55,-42422.0,-60271514.6576,0.0,请求区间 20250501-20250601 无持股数据，回退展示该股票最近 20 条历史记录
2024-08-14,600519,贵州茅台,1413.3,-0.682356413518,82095014,116024883286.2,6.53,-264437.0,-374228148.4871,-0.019999999999999574,请求区间 20250501-20250601 无持股数据，回退展示该股票最近 20 条历史记录
2024-08-15,600519,贵州茅台,1426.89,0.96157928253,82315028,117454490302.92,6.55,220014.0,312817709.3148,0.019999999999999574,请求区间 20250501-20250601 无持股数据，回退展示该股票最近 20 条历史记录
2024-08-16,600519,贵州茅台,1431.2,0.302055519346,82354427,117865655922.4,6.55,39399.0,56264037.4425,0.0,请求区间 20250501-20250601 无持股数据，回退展示该股票最近 20 条历史记录
2024-07-22,000858,五粮液,131.22,-1.648928196672,179009154,23489581187.88,4.61,725324.0,95777656.0844,0.020000000000000462,请求区间 20250501-20250601 无持股数据，回退展示该股票最近 20 条历史记录
2024-07-23,000858,五粮液,126.8,-3.368388965097,176898633,22430746664.4,4.55,-2110521.0,-271429673.7159,-0.0600000000000005,请求区间 20250501-20250601 无持股数据，回退展示该股票最近 20 条历史记录
2024-07-24,000858,五粮液,126.06,-0.583596214511,174681017,22020289003.02,4.5,-2217616.0,-279975572.3312,-0.04999999999999982,请求区间 20250501-20250601 无持股数据，回退展示该股票最近 20 条历史记录
2024-07-25,000858,五粮液,125.78,-0.222116452483,172688610,21720773365.8,4.44,-1992407.0,-250454326.4908,-0.05999999999999961,请求区间 20250501-20250601 无持股数据，回退展示该股票最近 20 条历史记录
2024-07-26,000858,五粮液,126.2,0.333916361902,171354677,21624960237.4,4.41,-1333933.0,-168074624.2469,-0.03000000000000025,请求区间 20250501-20250601 无持股数据，回退展示该股票最近 20 条历史记录
2024-07-29,000858,五粮液,124.1,-1.664025356577,171368392,21266817447.2,4.41,13715.0,1717469.104,0.0,请求区间 20250501-20250601 无持股数据，回退展示该股票最近 20 条历史记录
2024-07-30,000858,五粮液,123.29,-0.652699435939,172191764,21229522583.56,4.43,823372.0,100835075.352,0.019999999999999574,请求区间 20250501-20250601 无持股数据，回退展示该股票最近 20 条历史记录
2024-07-31,000858,五粮液,126.86,2.895611971774,172684316,21906732327.76,4.44,492552.0,62120510.4744,0.010000000000000675,请求区间 20250501-20250601 无持股数据，回退展示该股票最近 20 条历史记录
