交易日期,账户总资产,股票资产,现金资产,交易动作,股票代码,股票名称,成交价,成交量,目标成交量,未成交量,收益额,收益率,收益类型,交易原因,成交约束,交易状态,未成交原因,成交价口径,最大成交参与率,折号,成交金额,交易成本,目标权重,实际权重,动量分数,当日排名,策略参数,折年化收益,折Sharpe
2021-08-25 15:00:00,999081.9561900002,182990.0,816091.9561900002,买,SZ.000792,盐湖股份,42.5,0,0,0,-918.0438099998282,-0.0009180438099998245,,调仓买入-新进前N、满足动量阈值,账户级撮合-v2,未成交,目标金额低于一手,next_open,0.05,1,0.0,0.0,0.0016557170179892203,0.0,3.3752620545073384,1.0,"mom20@q0.6,hold_q=0.4,buy_top=10,hold_top=20,rebalance=20d,min_hold=5d,turnover_penalty=0.01,target_vol=0.18",-0.032600949745115515,-0.2618497239069419
2021-08-25 15:00:00,999081.9561900002,182990.0,816091.9561900002,买,SZ.002837,英维克,10.61,1700,1700,0,-918.0438099998282,-0.0009180438099998245,,调仓买入-新进前N、满足动量阈值,账户级撮合-v2-100股整手/现金/涨跌停停牌流动性约束,全部成交,,next_open,0.05,1,18037.0,48.880269999999996,0.018133242137088387,0.01781535527663466,0.6207430340557276,2.0,"mom20@q0.6,hold_q=0.4,buy_top=10,hold_top=20,rebalance=20d,min_hold=5d,turnover_penalty=0.01,target_vol=0.18",-0.032600949745115515,-0.2618497239069419
2021-08-25 15:00:00,999081.9561900002,182990.0,816091.9561900002,买,SH.600875,东方电气,14.01,1900,1900,0,-918.0438099998282,-0.0009180438099998245,,调仓买入-新进前N、满足动量阈值,账户级撮合-v2-100股整手/现金/涨跌停停牌流动性约束,全部成交,,next_open,0.05,1,26619.0,72.13749,0.027250155571379133,0.02706184395833313,0.5090137857900319,3.0,"mom20@q0.6,hold_q=0.4,buy_top=10,hold_top=20,rebalance=20d,min_hold=5d,turnover_penalty=0.01,target_vol=0.18",-0.032600949745115515,-0.2618497239069419
2021-08-25 15:00:00,999081.9561900002,182990.0,816091.9561900002,买,SZ.002466,天齐锂业,115.65,100,100,0,-918.0438099998282,-0.0009180438099998245,,调仓买入-新进前N、满足动量阈值,账户级撮合-v2-100股整手/现金/涨跌停停牌流动性约束,全部成交,,next_open,0.05,1,11565.0,31.341149999999995,0.019926794572250734,0.01186088881555822,0.4488323755960386,4.0,"mom20@q0.6,hold_q=0.4,buy_top=10,hold_top=20,rebalance=20d,min_hold=5d,turnover_penalty=0.01,target_vol=0.18",-0.032600949745115515,-0.2618497239069419
2021-08-25 15:00:00,999081.9561900002,182990.0,816091.9561900002,买,SZ.300390,天华新能,63.02,200,200,0,-918.0438099998282,-0.0009180438099998245,,调仓买入-新进前N、满足动量阈值,账户级撮合-v2-100股整手/现金/涨跌停停牌流动性约束,全部成交,,next_open,0.05,1,12604.0,34.156839999999995,0.014584768253507845,0.012195195723946105,0.42236749941629714,5.0,"mom20@q0.6,hold_q=0.4,buy_top=10,hold_top=20,rebalance=20d,min_hold=5d,turnover_penalty=0.01,target_vol=0.18",-0.032600949745115515,-0.2618497239069419
2021-08-25 15:00:00,999081.9561900002,182990.0,816091.9561900002,买,SH.605117,德业股份,25.25,500,500,0,-918.0438099998282,-0.0009180438099998245,,调仓买入-新进前N、满足动量阈值,账户级撮合-v2-100股整手/现金/涨跌停停牌流动性约束,全部成交,,next_open,0.05,1,12625.0,34.21375,0.014694558972054489,0.013107032830357374,0.39160467587672687,7.0,"mom20@q0.6,hold_q=0.4,buy_top=10,hold_top=20,rebalance=20d,min_hold=5d,turnover_penalty=0.01,target_vol=0.18",-0.032600949745115515,-0.2618497239069419
2021-08-25 15:00:00,999081.9561900002,182990.0,816091.9561900002,买,SZ.002709,天赐材料,70.2,300,300,0,-918.0438099998282,-0.0009180438099998245,,调仓买入-新进前N、满足动量阈值,账户级撮合-v2-100股整手/现金/涨跌停停牌流动性约束,全部成交,,next_open,0.05,1,21060.0,57.072599999999994,0.02448372665177484,0.020403731519422305,0.38843481814466707,8.0,"mom20@q0.6,hold_q=0.4,buy_top=10,hold_top=20,rebalance=20d,min_hold=5d,turnover_penalty=0.01,target_vol=0.18",-0.032600949745115515,-0.2618497239069419
2021-08-25 15:00:00,999081.9561900002,182990.0,816091.9561900002,买,SH.600673,东阳光,5.73,5100,5100,0,-918.0438099998282,-0.0009180438099998245,,调仓买入-满足动量阈值,账户级撮合-v2-100股整手/现金/涨跌停停牌流动性约束,全部成交,,next_open,0.05,1,29223.000000000004,79.19433000000001,0.02956668964518097,0.028994618329881056,0.29977116704805473,11.0,"mom20@q0.6,hold_q=0.4,buy_top=10,hold_top=20,rebalance=20d,min_hold=5d,turnover_penalty=0.01,target_vol=0.18",-0.032600949745115515,-0.2618497239069419
2021-08-25 15:00:00,999081.9561900002,182990.0,816091.9561900002,买,SH.600176,中国巨石,16.19,2000,2000,0,-918.0438099998282,-0.0009180438099998245,,调仓买入-满足动量阈值,账户级撮合-v2-100股整手/现金/涨跌停停牌流动性约束,全部成交,,next_open,0.05,1,32380.000000000004,87.74980000000001,0.03260158351853076,0.032509845462390795,0.2919649960222752,12.0,"mom20@q0.6,hold_q=0.4,buy_top=10,hold_top=20,rebalance=20d,min_hold=5d,turnover_penalty=0.01,target_vol=0.18",-0.032600949745115515,-0.2618497239069419
2021-08-25 15:00:00,999081.9561900002,182990.0,816091.9561900002,买,SZ.002594,比亚迪,96.49,200,200,0,-918.0438099998282,-0.0009180438099998245,,调仓买入-满足动量阈值,账户级撮合-v2-100股整手/现金/涨跌停停牌流动性约束,全部成交,,next_open,0.05,1,19298.0,52.297579999999996,0.024430856332316148,0.01920963528676737,0.26246546507038526,14.0,"mom20@q0.6,hold_q=0.4,buy_top=10,hold_top=20,rebalance=20d,min_hold=5d,turnover_penalty=0.01,target_vol=0.18",-0.032600949745115515,-0.2618497239069419
