segment_id,market_regime,start_date,end_date,days,strategy_total_return,benchmark_total_return,excess_total_return
1,震荡/中性,2021-08-24,2022-03-07,127,-0.05136919371513837,-0.10956777180216415,0.058198578087025776
2,回撤/下行,2022-03-08,2022-06-17,68,-0.01074586331626659,-0.010048750453730104,-0.0006971128625364864
3,震荡/中性,2022-06-20,2022-06-21,2,-0.004560345502013119,0.0038361212706310432,-0.008396466772644162
4,回撤/下行,2022-06-22,2022-06-22,1,0.003161210523108693,-0.012703528089939464,0.015864738613048157
5,震荡/中性,2022-06-23,2022-07-11,13,0.00903170348947091,0.0196692751872094,-0.01063757169773849
6,回撤/下行,2022-07-12,2022-07-12,1,-0.00933583616222744,-0.009415287671484474,7.945150925703359e-05
7,震荡/中性,2022-07-13,2022-07-14,2,0.017543764040180765,0.001958911540654862,0.015584852499525903
8,回撤/下行,2022-07-15,2025-08-21,754,0.5849931544521385,-0.007866600957391334,0.5928597554095298
9,震荡/中性,2025-08-22,2025-09-30,28,0.045170779117401194,0.08223279937127992,-0.037062020253878725
10,顺风/上行,2025-10-09,2025-10-09,1,-0.002399388015402404,0.014823226718440496,-0.0172226147338429
11,震荡/中性,2025-10-10,2025-10-24,11,0.007924463671630466,-0.01036207819122259,0.018286541862853056
