信号日期,盘前检查时间,交易动作,股票代码,股票名称,收盘价,当前权重,目标权重,权重变化,动量分数,当日排名,持有天数,观察理由,策略参数
2026-05-29,2026-06-01 07:30,继续持有,SH.600584,长电科技,82.05,2.48%,2.48%,0.00%,0.8193,4,3,仍在持有观察区内；已持有3个交易日,"mom20@q0.6,hold_q=0.4,buy_top=10,hold_top=20,rebalance=5d,min_hold=5d,turnover_penalty=0.01,target_vol=0.18"
2026-05-29,2026-06-01 07:30,继续持有,SH.600183,生益科技,140.62,2.42%,2.42%,0.00%,0.8353,3,3,仍在持有观察区内；已持有3个交易日,"mom20@q0.6,hold_q=0.4,buy_top=10,hold_top=20,rebalance=5d,min_hold=5d,turnover_penalty=0.01,target_vol=0.18"
2026-05-29,2026-06-01 07:30,继续持有,SZ.300408,三环集团,128.78,2.42%,2.42%,0.00%,0.5854,6,3,仍在持有观察区内；已持有3个交易日,"mom20@q0.6,hold_q=0.4,buy_top=10,hold_top=20,rebalance=5d,min_hold=5d,turnover_penalty=0.01,target_vol=0.18"
2026-05-29,2026-06-01 07:30,继续持有,SH.603986,兆易创新,467.01,2.40%,2.40%,0.00%,0.5224,8,3,仍在持有观察区内；已持有3个交易日,"mom20@q0.6,hold_q=0.4,buy_top=10,hold_top=20,rebalance=5d,min_hold=5d,turnover_penalty=0.01,target_vol=0.18"
2026-05-29,2026-06-01 07:30,继续持有,SH.603256,宏和科技,202.15,2.27%,2.27%,0.00%,0.8436,2,3,仍在持有观察区内；已持有3个交易日,"mom20@q0.6,hold_q=0.4,buy_top=10,hold_top=20,rebalance=5d,min_hold=5d,turnover_penalty=0.01,target_vol=0.18"
2026-05-29,2026-06-01 07:30,继续持有,SH.688072,拓荆科技,627.99,2.03%,2.03%,0.00%,0.4829,10,3,仍在持有观察区内；已持有3个交易日,"mom20@q0.6,hold_q=0.4,buy_top=10,hold_top=20,rebalance=5d,min_hold=5d,turnover_penalty=0.01,target_vol=0.18"
2026-05-29,2026-06-01 07:30,继续持有,SZ.002281,光迅科技,203.95,2.00%,2.00%,0.00%,0.4887,9,18,仍在持有观察区内；已持有18个交易日,"mom20@q0.6,hold_q=0.4,buy_top=10,hold_top=20,rebalance=5d,min_hold=5d,turnover_penalty=0.01,target_vol=0.18"
2026-05-29,2026-06-01 07:30,继续持有,SH.688008,澜起科技,253.00,1.85%,1.85%,0.00%,0.4573,12,8,仍在持有观察区内；已持有8个交易日,"mom20@q0.6,hold_q=0.4,buy_top=10,hold_top=20,rebalance=5d,min_hold=5d,turnover_penalty=0.01,target_vol=0.18"
2026-05-29,2026-06-01 07:30,继续持有,SH.601991,大唐发电,8.63,1.70%,1.70%,0.00%,1.1361,1,13,仍在持有观察区内；已持有13个交易日,"mom20@q0.6,hold_q=0.4,buy_top=10,hold_top=20,rebalance=5d,min_hold=5d,turnover_penalty=0.01,target_vol=0.18"
2026-05-29,2026-06-01 07:30,继续持有,SH.688347,华虹公司,236.68,1.52%,1.52%,0.00%,0.7141,5,3,仍在持有观察区内；已持有3个交易日,"mom20@q0.6,hold_q=0.4,buy_top=10,hold_top=20,rebalance=5d,min_hold=5d,turnover_penalty=0.01,target_vol=0.18"
2026-05-29,2026-06-01 07:30,候选观察,SZ.300433,蓝思科技,40.50,0.00%,0.00%,0.00%,0.5808,7,0,排名进入买入前10；动量分数超过买入阈值,"mom20@q0.6,hold_q=0.4,buy_top=10,hold_top=20,rebalance=5d,min_hold=5d,turnover_penalty=0.01,target_vol=0.18"
2026-05-29,2026-06-01 07:30,候选观察,SZ.300394,天孚通信,455.20,0.00%,0.00%,0.00%,0.4693,11,0,动量分数超过买入阈值,"mom20@q0.6,hold_q=0.4,buy_top=10,hold_top=20,rebalance=5d,min_hold=5d,turnover_penalty=0.01,target_vol=0.18"
2026-05-29,2026-06-01 07:30,候选观察,SZ.301308,江波龙,551.29,0.00%,0.00%,0.00%,0.4443,13,0,动量分数超过买入阈值,"mom20@q0.6,hold_q=0.4,buy_top=10,hold_top=20,rebalance=5d,min_hold=5d,turnover_penalty=0.01,target_vol=0.18"
2026-05-29,2026-06-01 07:30,候选观察,SH.688256,寒武纪,1310.00,0.00%,0.00%,0.00%,0.4216,14,0,动量分数超过买入阈值,"mom20@q0.6,hold_q=0.4,buy_top=10,hold_top=20,rebalance=5d,min_hold=5d,turnover_penalty=0.01,target_vol=0.18"
