date,trade_cash_flow,exposure,daily_pnl,buy_amount,sell_amount,buy_cost,sell_cost,trade_cost,net_daily_pnl,account_total_assets,stock_assets,cash_assets,profit,profit_rate,unfilled_orders,stale_valuation_positions,fold,selected_params,universe_mode,universe_as_of_date,universe_symbol_count
2021-06-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000000.0,0.0,1000000.0,0.0,0.0,0,0,1,"mom20@q0.6,hold_q=0.4,buy_top=10,hold_top=20,rebalance=5d,min_hold=5d,turnover_penalty=0.01,target_vol=0.18",point_in_time,2021-06-01,120
2021-06-03,-193808.80235,0.19198203343234166,0.0,193285.0,0.0,523.8023499999999,0.0,523.8023499999999,-2260.8023500002455,997739.1976499998,191548.0,806191.1976499998,-2260.8023500002455,-0.002260802350000257,0,0,1,"mom20@q0.6,hold_q=0.4,buy_top=10,hold_top=20,rebalance=5d,min_hold=5d,turnover_penalty=0.01,target_vol=0.18",point_in_time,2021-06-01,120
2021-06-04,-1107.99455,0.1963859665671255,4114.0,1105.0,0.0,2.99455,0.0,2.99455,4089.005450000055,1001828.2030999998,196745.0,805083.2030999998,1828.2030999998096,0.00182820309999987,9,0,1,"mom20@q0.6,hold_q=0.4,buy_top=10,hold_top=20,rebalance=5d,min_hold=5d,turnover_penalty=0.01,target_vol=0.18",point_in_time,2021-06-01,120
2021-06-07,-1048.83466,0.19819654419052726,973.0,1046.0,0.0,2.8346599999999995,0.0,2.8346599999999995,954.1653399999486,1002782.3684399998,198748.0,804034.3684399998,2782.3684399997583,0.002782368439999683,9,0,1,"mom20@q0.6,hold_q=0.4,buy_top=10,hold_top=20,rebalance=5d,min_hold=5d,turnover_penalty=0.01,target_vol=0.18",point_in_time,2021-06-01,120
2021-06-08,0.0,0.19658214906294177,-2015.0,0.0,0.0,0.0,0.0,0.0,-2015.0,1000767.3684399998,196733.0,804034.3684399998,767.3684399997583,0.0007673684399998049,10,0,1,"mom20@q0.6,hold_q=0.4,buy_top=10,hold_top=20,rebalance=5d,min_hold=5d,turnover_penalty=0.01,target_vol=0.18",point_in_time,2021-06-01,120
2021-06-09,-1032.7913,0.19768807185258488,117.0,1030.0,0.0,2.7912999999999997,0.0,2.7912999999999997,92.20869999995921,1000859.5771399997,197858.0,803001.5771399997,859.5771399997175,0.0008595771399997343,9,0,1,"mom20@q0.6,hold_q=0.4,buy_top=10,hold_top=20,rebalance=5d,min_hold=5d,turnover_penalty=0.01,target_vol=0.18",point_in_time,2021-06-01,120
2021-06-10,-18549.425619999998,0.21939012854530776,3169.0,75965.0,57807.0,205.86514999999997,185.56046999999998,391.42562,4062.574380000122,1004922.1515199998,220470.0,784452.1515199998,4922.151519999839,0.004922151519999751,6,0,1,"mom20@q0.6,hold_q=0.4,buy_top=10,hold_top=20,rebalance=5d,min_hold=5d,turnover_penalty=0.01,target_vol=0.18",point_in_time,2021-06-01,120
2021-06-11,-4411.924,0.22200762541872301,-2156.0,4400.0,0.0,11.924,0.0,11.924,-2289.923999999999,1002632.2275199998,222592.0,780040.2275199998,2632.2275199998403,0.002632227519999919,9,0,1,"mom20@q0.6,hold_q=0.4,buy_top=10,hold_top=20,rebalance=5d,min_hold=5d,turnover_penalty=0.01,target_vol=0.18",point_in_time,2021-06-01,120
2021-06-15,0.0,0.22504520218100388,3930.0,0.0,0.0,0.0,0.0,0.0,3930.0,1006562.2275199998,226522.0,780040.2275199998,6562.22751999984,0.006562227519999908,10,0,1,"mom20@q0.6,hold_q=0.4,buy_top=10,hold_top=20,rebalance=5d,min_hold=5d,turnover_penalty=0.01,target_vol=0.18",point_in_time,2021-06-01,120
2021-06-16,0.0,0.21861362153092664,-8285.0,0.0,0.0,0.0,0.0,0.0,-8285.0,998277.2275199998,218237.0,780040.2275199998,-1722.7724800001597,-0.0017227724800001898,10,1,1,"mom20@q0.6,hold_q=0.4,buy_top=10,hold_top=20,rebalance=5d,min_hold=5d,turnover_penalty=0.01,target_vol=0.18",point_in_time,2021-06-01,120
2021-06-17,-17260.649940000003,0.24485312801290396,11151.0,17214.0,0.0,46.649939999999994,0.0,46.649939999999994,11830.350059999968,1010107.5775799998,247328.0,762779.5775799998,10107.577579999808,0.010107577579999916,8,1,1,"mom20@q0.6,hold_q=0.4,buy_top=10,hold_top=20,rebalance=5d,min_hold=5d,turnover_penalty=0.01,target_vol=0.18",point_in_time,2021-06-01,120
