symbol,fold,train_start,train_end,valid_start,valid_end,annualized_return,sharpe,max_drawdown,win_rate,turnover_annual,trades,passed_min_samples,selected_params,candidate,strategy_id,strategy_display_name,strategy_category,panel_scope,supports_brief,supports_paper_trade,universe_mode,universe_as_of_date,universe_symbol_count,universe_snapshot_count,universe_source,candidate_summary,selected_candidate,is_selected_candidate,candidate_eligible_for_selection,candidate_governance_reason,selected_candidate_eligible,selected_candidate_governance_reason,price_adjustment_mode,strategy_version_filter
PORTFOLIO,1,2019-07-31,2021-05-31,2021-06-01,2022-06-15,-0.3331394768980641,-3.1155394019811515,-0.3880969873315808,0.3904382470119522,11.168183995498982,251,True,"legacy_mom5@q0.5,top_n=3,target_vol=0.18",legacy_momentum,legacy_momentum,Legacy Momentum,rule_based,portfolio,True,True,point_in_time,2021-05-31,120,4300,local_history_sqlite_as_of,"legacy_momentum: score=-2.8335, selection_score=-2.8335, eligible=True, ann=-0.2913, sharpe=-2.5194, mdd=-0.3367; legacy_momentum_low_turnover_v1: score=-0.8515, selection_score=-0.8515, eligible=True, ann=-0.0751, sharpe=-0.7304, mdd=-0.1671; ma_kline_baseline_v1: score=-4.9341, selection_score=-4.9341, eligible=True, ann=-0.4979, sharpe=-4.4299, mdd=-0.5106; residual_momentum_reversal_v2: score=-4.6987, selection_score=-4.6987, eligible=True, ann=-0.4487, sharpe=-4.2381, mdd=-0.4725; quality_growth_price_v1: score=-2.4859, selection_score=-2.4859, eligible=True, ann=-0.1995, sharpe=-2.2612, mdd=-0.2499; multifactor_volume_price_filter_v1: score=-2.0736, selection_score=-2.0736, eligible=True, ann=-0.1853, sharpe=-1.8785, mdd=-0.2050",legacy_momentum_low_turnover_v1,False,True,eligible,,,qfq_asof,latest_only
PORTFOLIO,2,2020-05-19,2022-06-15,2022-06-16,2023-06-28,-0.349037399796739,-3.0069889714962943,-0.38767027097526374,0.4063745019920319,13.633585790829162,251,True,"legacy_mom5@q0.5,top_n=3,target_vol=0.18",legacy_momentum,legacy_momentum,Legacy Momentum,rule_based,portfolio,True,True,point_in_time,2022-06-15,120,4793,local_history_sqlite_as_of,"legacy_momentum: score=-2.8335, selection_score=-2.8335, eligible=True, ann=-0.2913, sharpe=-2.5194, mdd=-0.3367; legacy_momentum_low_turnover_v1: score=-0.8515, selection_score=-0.8515, eligible=True, ann=-0.0751, sharpe=-0.7304, mdd=-0.1671; ma_kline_baseline_v1: score=-4.9341, selection_score=-4.9341, eligible=True, ann=-0.4979, sharpe=-4.4299, mdd=-0.5106; residual_momentum_reversal_v2: score=-4.6987, selection_score=-4.6987, eligible=True, ann=-0.4487, sharpe=-4.2381, mdd=-0.4725; quality_growth_price_v1: score=-2.4859, selection_score=-2.4859, eligible=True, ann=-0.1995, sharpe=-2.2612, mdd=-0.2499; multifactor_volume_price_filter_v1: score=-2.0736, selection_score=-2.0736, eligible=True, ann=-0.1853, sharpe=-1.8785, mdd=-0.2050",legacy_momentum_low_turnover_v1,False,True,eligible,,,qfq_asof,latest_only
PORTFOLIO,3,2021-06-01,2023-06-28,2023-06-29,2024-07-11,-0.28945751296662414,-2.6884720211634026,-0.29379681835756755,0.4063745019920319,18.997574135732926,251,True,"legacy_mom5@q0.5,top_n=3,target_vol=0.18",legacy_momentum,legacy_momentum,Legacy Momentum,rule_based,portfolio,True,True,point_in_time,2023-06-28,120,5158,local_history_sqlite_as_of,"legacy_momentum: score=-2.8335, selection_score=-2.8335, eligible=True, ann=-0.2913, sharpe=-2.5194, mdd=-0.3367; legacy_momentum_low_turnover_v1: score=-0.8515, selection_score=-0.8515, eligible=True, ann=-0.0751, sharpe=-0.7304, mdd=-0.1671; ma_kline_baseline_v1: score=-4.9341, selection_score=-4.9341, eligible=True, ann=-0.4979, sharpe=-4.4299, mdd=-0.5106; residual_momentum_reversal_v2: score=-4.6987, selection_score=-4.6987, eligible=True, ann=-0.4487, sharpe=-4.2381, mdd=-0.4725; quality_growth_price_v1: score=-2.4859, selection_score=-2.4859, eligible=True, ann=-0.1995, sharpe=-2.2612, mdd=-0.2499; multifactor_volume_price_filter_v1: score=-2.0736, selection_score=-2.0736, eligible=True, ann=-0.1853, sharpe=-1.8785, mdd=-0.2050",legacy_momentum_low_turnover_v1,False,True,eligible,,,qfq_asof,latest_only
PORTFOLIO,4,2022-06-16,2024-07-11,2024-07-12,2025-07-25,-0.19373592959537755,-1.2667633126295632,-0.27714442089525204,0.40239043824701193,18.749368776115773,251,True,"legacy_mom5@q0.5,top_n=3,target_vol=0.18",legacy_momentum,legacy_momentum,Legacy Momentum,rule_based,portfolio,True,True,point_in_time,2024-07-11,120,5343,local_history_sqlite_as_of,"legacy_momentum: score=-2.8335, selection_score=-2.8335, eligible=True, ann=-0.2913, sharpe=-2.5194, mdd=-0.3367; legacy_momentum_low_turnover_v1: score=-0.8515, selection_score=-0.8515, eligible=True, ann=-0.0751, sharpe=-0.7304, mdd=-0.1671; ma_kline_baseline_v1: score=-4.9341, selection_score=-4.9341, eligible=True, ann=-0.4979, sharpe=-4.4299, mdd=-0.5106; residual_momentum_reversal_v2: score=-4.6987, selection_score=-4.6987, eligible=True, ann=-0.4487, sharpe=-4.2381, mdd=-0.4725; quality_growth_price_v1: score=-2.4859, selection_score=-2.4859, eligible=True, ann=-0.1995, sharpe=-2.2612, mdd=-0.2499; multifactor_volume_price_filter_v1: score=-2.0736, selection_score=-2.0736, eligible=True, ann=-0.1853, sharpe=-1.8785, mdd=-0.2050",legacy_momentum_low_turnover_v1,False,True,eligible,,,qfq_asof,latest_only
PORTFOLIO,1,2019-07-31,2021-05-31,2021-06-01,2022-06-15,-0.07189069107418355,-0.6960208457329718,-0.15887699807357014,0.4940239043824701,1.0674057162264228,15,True,"mom5@q0.6,hold_q=0.4,buy_top=10,hold_top=20,rebalance=20d,min_hold=5d,turnover_penalty=0.01,target_vol=0.18",legacy_momentum_low_turnover_v1,legacy_momentum_low_turnover_v1,Legacy Momentum Low Turnover,rule_based,portfolio,True,True,point_in_time,2021-05-31,120,4300,local_history_sqlite_as_of,"legacy_momentum: score=-2.8335, selection_score=-2.8335, eligible=True, ann=-0.2913, sharpe=-2.5194, mdd=-0.3367; legacy_momentum_low_turnover_v1: score=-0.8515, selection_score=-0.8515, eligible=True, ann=-0.0751, sharpe=-0.7304, mdd=-0.1671; ma_kline_baseline_v1: score=-4.9341, selection_score=-4.9341, eligible=True, ann=-0.4979, sharpe=-4.4299, mdd=-0.5106; residual_momentum_reversal_v2: score=-4.6987, selection_score=-4.6987, eligible=True, ann=-0.4487, sharpe=-4.2381, mdd=-0.4725; quality_growth_price_v1: score=-2.4859, selection_score=-2.4859, eligible=True, ann=-0.1995, sharpe=-2.2612, mdd=-0.2499; multifactor_volume_price_filter_v1: score=-2.0736, selection_score=-2.0736, eligible=True, ann=-0.1853, sharpe=-1.8785, mdd=-0.2050",legacy_momentum_low_turnover_v1,True,True,eligible,True,eligible,qfq_asof,latest_only
PORTFOLIO,2,2020-05-19,2022-06-15,2022-06-16,2023-06-28,-0.18087116380721457,-1.8877032767212565,-0.2191904063868444,0.42231075697211157,2.2009943507760092,51,True,"mom5@q0.6,hold_q=0.4,buy_top=10,hold_top=20,rebalance=5d,min_hold=10d,turnover_penalty=0.01,target_vol=0.18",legacy_momentum_low_turnover_v1,legacy_momentum_low_turnover_v1,Legacy Momentum Low Turnover,rule_based,portfolio,True,True,point_in_time,2022-06-15,120,4793,local_history_sqlite_as_of,"legacy_momentum: score=-2.8335, selection_score=-2.8335, eligible=True, ann=-0.2913, sharpe=-2.5194, mdd=-0.3367; legacy_momentum_low_turnover_v1: score=-0.8515, selection_score=-0.8515, eligible=True, ann=-0.0751, sharpe=-0.7304, mdd=-0.1671; ma_kline_baseline_v1: score=-4.9341, selection_score=-4.9341, eligible=True, ann=-0.4979, sharpe=-4.4299, mdd=-0.5106; residual_momentum_reversal_v2: score=-4.6987, selection_score=-4.6987, eligible=True, ann=-0.4487, sharpe=-4.2381, mdd=-0.4725; quality_growth_price_v1: score=-2.4859, selection_score=-2.4859, eligible=True, ann=-0.1995, sharpe=-2.2612, mdd=-0.2499; multifactor_volume_price_filter_v1: score=-2.0736, selection_score=-2.0736, eligible=True, ann=-0.1853, sharpe=-1.8785, mdd=-0.2050",legacy_momentum_low_turnover_v1,True,True,eligible,True,eligible,qfq_asof,latest_only
PORTFOLIO,3,2021-06-01,2023-06-28,2023-06-29,2024-07-11,-0.040392271466447305,-0.3508621989226583,-0.1323789039576755,0.41832669322709165,3.755424503393126,51,True,"mom5@q0.6,hold_q=0.4,buy_top=10,hold_top=20,rebalance=5d,min_hold=10d,turnover_penalty=0.01,target_vol=0.18",legacy_momentum_low_turnover_v1,legacy_momentum_low_turnover_v1,Legacy Momentum Low Turnover,rule_based,portfolio,True,True,point_in_time,2023-06-28,120,5158,local_history_sqlite_as_of,"legacy_momentum: score=-2.8335, selection_score=-2.8335, eligible=True, ann=-0.2913, sharpe=-2.5194, mdd=-0.3367; legacy_momentum_low_turnover_v1: score=-0.8515, selection_score=-0.8515, eligible=True, ann=-0.0751, sharpe=-0.7304, mdd=-0.1671; ma_kline_baseline_v1: score=-4.9341, selection_score=-4.9341, eligible=True, ann=-0.4979, sharpe=-4.4299, mdd=-0.5106; residual_momentum_reversal_v2: score=-4.6987, selection_score=-4.6987, eligible=True, ann=-0.4487, sharpe=-4.2381, mdd=-0.4725; quality_growth_price_v1: score=-2.4859, selection_score=-2.4859, eligible=True, ann=-0.1995, sharpe=-2.2612, mdd=-0.2499; multifactor_volume_price_filter_v1: score=-2.0736, selection_score=-2.0736, eligible=True, ann=-0.1853, sharpe=-1.8785, mdd=-0.2050",legacy_momentum_low_turnover_v1,True,True,eligible,True,eligible,qfq_asof,latest_only
PORTFOLIO,4,2022-06-16,2024-07-11,2024-07-12,2025-07-25,-0.0073414571857095545,0.012938288989621937,-0.15800242813029397,0.46215139442231074,1.7984056409498668,13,True,"mom5@q0.6,hold_q=0.4,buy_top=10,hold_top=20,rebalance=20d,min_hold=5d,turnover_penalty=0.01,target_vol=0.18",legacy_momentum_low_turnover_v1,legacy_momentum_low_turnover_v1,Legacy Momentum Low Turnover,rule_based,portfolio,True,True,point_in_time,2024-07-11,120,5343,local_history_sqlite_as_of,"legacy_momentum: score=-2.8335, selection_score=-2.8335, eligible=True, ann=-0.2913, sharpe=-2.5194, mdd=-0.3367; legacy_momentum_low_turnover_v1: score=-0.8515, selection_score=-0.8515, eligible=True, ann=-0.0751, sharpe=-0.7304, mdd=-0.1671; ma_kline_baseline_v1: score=-4.9341, selection_score=-4.9341, eligible=True, ann=-0.4979, sharpe=-4.4299, mdd=-0.5106; residual_momentum_reversal_v2: score=-4.6987, selection_score=-4.6987, eligible=True, ann=-0.4487, sharpe=-4.2381, mdd=-0.4725; quality_growth_price_v1: score=-2.4859, selection_score=-2.4859, eligible=True, ann=-0.1995, sharpe=-2.2612, mdd=-0.2499; multifactor_volume_price_filter_v1: score=-2.0736, selection_score=-2.0736, eligible=True, ann=-0.1853, sharpe=-1.8785, mdd=-0.2050",legacy_momentum_low_turnover_v1,True,True,eligible,True,eligible,qfq_asof,latest_only
PORTFOLIO,1,2019-07-31,2021-05-31,2021-06-01,2022-06-15,-0.4452425610880272,-4.070821636873664,-0.4458056106426155,0.3672566371681416,30.957093141277838,241,True,"ma20>ma60,amount>=1.0,upper_shadow<=1.5,vol@q0.75,target_vol=0.18,top_n=5",ma_kline_baseline_v1,ma_kline_baseline_v1,MA/K-line Baseline,rule_based,portfolio,True,True,point_in_time,2021-05-31,120,4300,local_history_sqlite_as_of,"legacy_momentum: score=-2.8335, selection_score=-2.8335, eligible=True, ann=-0.2913, sharpe=-2.5194, mdd=-0.3367; legacy_momentum_low_turnover_v1: score=-0.8515, selection_score=-0.8515, eligible=True, ann=-0.0751, sharpe=-0.7304, mdd=-0.1671; ma_kline_baseline_v1: score=-4.9341, selection_score=-4.9341, eligible=True, ann=-0.4979, sharpe=-4.4299, mdd=-0.5106; residual_momentum_reversal_v2: score=-4.6987, selection_score=-4.6987, eligible=True, ann=-0.4487, sharpe=-4.2381, mdd=-0.4725; quality_growth_price_v1: score=-2.4859, selection_score=-2.4859, eligible=True, ann=-0.1995, sharpe=-2.2612, mdd=-0.2499; multifactor_volume_price_filter_v1: score=-2.0736, selection_score=-2.0736, eligible=True, ann=-0.1853, sharpe=-1.8785, mdd=-0.2050",legacy_momentum_low_turnover_v1,False,True,eligible,,,qfq_asof,latest_only
PORTFOLIO,2,2020-05-19,2022-06-15,2022-06-16,2023-06-28,-0.48937667785392613,-4.003388207547571,-0.5154454450530923,0.3080168776371308,33.70628073240495,247,True,"ma20>ma60,amount>=1.0,upper_shadow<=1.5,vol@q0.75,target_vol=0.18,top_n=3",ma_kline_baseline_v1,ma_kline_baseline_v1,MA/K-line Baseline,rule_based,portfolio,True,True,point_in_time,2022-06-15,120,4793,local_history_sqlite_as_of,"legacy_momentum: score=-2.8335, selection_score=-2.8335, eligible=True, ann=-0.2913, sharpe=-2.5194, mdd=-0.3367; legacy_momentum_low_turnover_v1: score=-0.8515, selection_score=-0.8515, eligible=True, ann=-0.0751, sharpe=-0.7304, mdd=-0.1671; ma_kline_baseline_v1: score=-4.9341, selection_score=-4.9341, eligible=True, ann=-0.4979, sharpe=-4.4299, mdd=-0.5106; residual_momentum_reversal_v2: score=-4.6987, selection_score=-4.6987, eligible=True, ann=-0.4487, sharpe=-4.2381, mdd=-0.4725; quality_growth_price_v1: score=-2.4859, selection_score=-2.4859, eligible=True, ann=-0.1995, sharpe=-2.2612, mdd=-0.2499; multifactor_volume_price_filter_v1: score=-2.0736, selection_score=-2.0736, eligible=True, ann=-0.1853, sharpe=-1.8785, mdd=-0.2050",legacy_momentum_low_turnover_v1,False,True,eligible,,,qfq_asof,latest_only
