strategy_id,overfit_risk_level,overfit_score,recommended_action,is_selected_candidate,fold_count,positive_fold_ratio,worst_fold_annualized_return,annualized_return_mean,sharpe_mean,max_drawdown_worst,turnover_annual_mean,parameter_unique_count,last_fold_lift_risk,last_fold_lift_preset,last_fold_annualized_return,prior_fold_annualized_return_mean,last_fold_lift,is_oos_pass,is_fold_stable,is_parameter_stable,is_cost_robust,is_market_regime_stable,main_risk_reasons
quality_low_turnover_monthly_v1,medium,32,observe,True,2,0.5,-0.0209704543095664,0.0707168161122815,0.7038189565355553,-0.1316686266801698,1.9925035771982582,2,False,,0.0,0.0,0.0,True,True,True,not_available,not_available,OOS fold count below governance floor; positive OOS fold ratio below 75%
low_vol_low_turnover_quality_v1,medium,32,observe,False,2,0.5,-0.0135013468819245,0.07944978375170494,0.6574875719700624,-0.137317308922072,2.488808952441263,2,False,,0.0,0.0,0.0,True,True,True,not_available,not_available,OOS fold count below governance floor; positive OOS fold ratio below 75%
legacy_momentum_low_turnover_v1,medium,47,observe,False,2,0.5,-0.1186165590197257,0.0708671768200174,0.4088328563540179,-0.1492373470787964,2.5890208653657067,2,False,,0.0,0.0,0.0,False,True,True,not_available,not_available,OOS fold count below governance floor; positive OOS fold ratio below 75%; mean Sharpe below 0.5
core_selection_quality_momentum_v1,high,72,retest,False,2,0.5,-0.1055944602456891,-0.0403194961631257,-0.3336659790055648,-0.1398559740447098,9.654918639207226,2,False,,0.0,0.0,0.0,False,True,True,not_available,not_available,OOS fold count below governance floor; positive OOS fold ratio below 75%; mean Sharpe below 0.5; mean annualized return is non-positive; high annual turnover increases cost sensitivity
theme_exposure_momentum_v1,high,72,retest,False,2,0.5,-0.1155949323957095,-0.043697386435618504,-0.5313244886783921,-0.145095904010283,53.04462179829822,2,False,,0.0,0.0,0.0,False,True,True,not_available,not_available,OOS fold count below governance floor; positive OOS fold ratio below 75%; mean Sharpe below 0.5; mean annualized return is non-positive; high annual turnover increases cost sensitivity
quality_growth_price_v1,critical,85,reject,False,2,0.0,-0.1851537796028297,-0.11645093359477245,-0.9976116833308623,-0.1824105443973153,24.907644884344222,2,False,,0.0,0.0,0.0,False,False,True,not_available,not_available,OOS fold count below governance floor; positive OOS fold ratio below 50%; mean Sharpe below 0.5; mean annualized return is non-positive; high annual turnover increases cost sensitivity
legacy_momentum,critical,100,reject,False,2,0.0,-0.2996789251920092,-0.18611799999645937,-1.2194595631081746,-0.2889529254070279,17.203045149821932,1,False,,0.0,0.0,0.0,False,False,True,not_available,not_available,OOS fold count below governance floor; positive OOS fold ratio below 50%; worst fold annualized return below -20%; mean Sharpe below 0.5; mean annualized return is non-positive; high annual turnover increases cost sensitivity
ma_kline_baseline_v1,critical,100,reject,False,2,0.0,-0.5222847245159177,-0.44609890238049493,-3.410536256910353,-0.5096679389983698,46.012936833125465,2,False,,0.0,0.0,0.0,False,False,True,not_available,not_available,OOS fold count below governance floor; positive OOS fold ratio below 50%; worst fold annualized return below -20%; mean Sharpe below 0.5; mean annualized return is non-positive; high annual turnover increases cost sensitivity
multifactor_volume_price_filter_v1,critical,100,reject,False,2,0.0,-0.2309417622735791,-0.2127724713723088,-1.6925241592301066,-0.2583839669831388,55.58966042123316,2,False,,0.0,0.0,0.0,False,False,True,not_available,not_available,OOS fold count below governance floor; positive OOS fold ratio below 50%; worst fold annualized return below -20%; mean Sharpe below 0.5; mean annualized return is non-positive; high annual turnover increases cost sensitivity
residual_momentum_reversal_v1,critical,100,reject,False,2,0.0,-0.3137455793316074,-0.27075512574664345,-2.373881503438241,-0.3023739200456607,33.9061200635001,1,False,,0.0,0.0,0.0,False,False,True,not_available,not_available,OOS fold count below governance floor; positive OOS fold ratio below 50%; worst fold annualized return below -20%; mean Sharpe below 0.5; mean annualized return is non-positive; high annual turnover increases cost sensitivity
residual_momentum_reversal_v2,critical,100,reject,False,2,0.0,-0.4514594261098446,-0.39771953062175325,-3.224454255574574,-0.4368909575866566,78.0875129910201,2,False,,0.0,0.0,0.0,False,False,True,not_available,not_available,OOS fold count below governance floor; positive OOS fold ratio below 50%; worst fold annualized return below -20%; mean Sharpe below 0.5; mean annualized return is non-positive; high annual turnover increases cost sensitivity
sleeve_composite_v1,critical,100,reject,False,2,0.0,-0.4157368082908286,-0.3095396206680717,-1.8733746326517258,-0.4018690850969657,30.527811117588563,1,False,,0.0,0.0,0.0,False,False,True,not_available,not_available,OOS fold count below governance floor; positive OOS fold ratio below 50%; worst fold annualized return below -20%; mean Sharpe below 0.5; mean annualized return is non-positive; high annual turnover increases cost sensitivity
