strategy_id,walk_forward_preset,status,failure_reason,fold_count,walk_forward_start_date,walk_forward_end_date,walk_forward_expected_folds,walk_forward_actual_folds,walk_forward_fold_generation_warning,positive_fold_ratio,annualized_return_mean,sharpe_mean,max_drawdown_worst,turnover_annual_mean,turnover_annual_max,trades_total,parameter_unique_count,account_execution_status,industry_diagnostic_status,financial_diagnostic_status,top_industry_avg_share_mean,top_industry_p95_share_max,top_industry_max_share_max,top3_industries_avg_share_mean,industry_violation_days_total,account_annualized_return_mean,account_sharpe_mean,account_max_drawdown_worst,account_executed_order_count_total,account_unfilled_order_count_total,account_partial_fill_order_count_total,account_unfilled_or_partial_order_ratio_mean,account_partial_fill_order_ratio_mean,financial_pit_announce_coverage_mean,selected_financial_pit_announce_coverage_mean,financial_field_coverage_mean,selected_financial_field_coverage_mean,financial_missing_blocked_ratio_mean,selected_quality_score_lift_mean,selected_cash_flow_quality_component_mean,is_return_pass,is_sharpe_pass,is_drawdown_pass,is_positive_fold_pass,is_turnover_pass,is_window_pass,price_adjustment_for_backtest,price_adjustment_status
legacy_momentum,quality_4y_1y,ok,,2,2020-04-01,2026-03-31,2,2,,0.0,-0.1861179999964594,-1.2194595631081746,-0.2889529254070279,17.203045149821932,19.271779494370595,481,1,not_enabled,enabled:audited,not_applicable,0.1823927263646274,0.3333333333333333,0.6630109442148788,0.3494113457670881,29,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,qfq_asof,qfq_asof
legacy_momentum_low_turnover_v1,quality_4y_1y,ok,,2,2020-04-01,2026-03-31,2,2,,0.5,0.07086717682001736,0.4088328563540179,-0.14923734707879643,2.5890208653657067,3.105599476796164,39,2,not_enabled,enabled:audited,not_applicable,0.1414890985465968,0.3808500515822535,0.4960514054637591,0.2806713169034063,220,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,False,True,False,True,False,qfq_asof,qfq_asof
ma_kline_baseline_v1,quality_4y_1y,ok,,2,2020-04-01,2026-03-31,2,2,,0.0,-0.44609890238049493,-3.410536256910353,-0.5096679389983698,46.012936833125465,47.85417463653926,462,2,not_enabled,enabled:audited,not_applicable,0.3680282897412438,0.8916818638431954,1.0,0.616139074559849,144,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,qfq_asof,qfq_asof
residual_momentum_reversal_v1,quality_4y_1y,ok,,2,2020-04-01,2026-03-31,2,2,,0.0,-0.27075512574664345,-2.3738815034382412,-0.30237392004566077,33.9061200635001,35.76507599041865,463,1,not_enabled,enabled:audited,not_applicable,0.2535225599575315,0.6242670975538902,1.0,0.4951014614663185,69,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,qfq_asof,qfq_asof
residual_momentum_reversal_v2,quality_4y_1y,ok,,2,2020-04-01,2026-03-31,2,2,,0.0,-0.3977195306217533,-3.224454255574574,-0.43689095758665664,78.0875129910201,82.48894512765976,345,2,not_enabled,enabled:audited,not_applicable,0.5210030088636906,1.0,1.0,0.7295343793225405,180,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,qfq_asof,qfq_asof
quality_growth_price_v1,quality_4y_1y,ok,,2,2020-04-01,2026-03-31,2,2,,0.0,-0.11645093359477249,-0.9976116833308623,-0.1824105443973153,24.907644884344222,25.9628661720371,480,2,not_enabled,enabled:audited,not_available,0.18126416650644558,0.3333333333333333,0.7032277296029561,0.37718691360764645,164,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,True,False,False,False,qfq_asof,qfq_asof
low_vol_low_turnover_quality_v1,quality_4y_1y,ok,,2,2020-04-01,2026-03-31,2,2,,0.5,0.07944978375170497,0.6574875719700624,-0.13731730892207206,2.488808952441263,2.6193236177564034,13,2,not_enabled,enabled:audited,available,0.1723274633196485,0.3085357713876379,0.3085357713876379,0.35962959246393156,160,0.0,0.0,0.0,0,0,0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.15150487011828034,0.584097765607406,True,True,True,False,True,False,qfq_asof,qfq_asof
quality_low_turnover_monthly_v1,quality_4y_1y,ok,,2,2020-04-01,2026-03-31,2,2,,0.5,0.07071681611228148,0.7038189565355553,-0.13166862668016988,1.9925035771982582,2.2133870430697438,13,2,not_enabled,enabled:audited,available,0.13839896142001668,0.3369913914817363,0.3369913914817363,0.29134770062648285,80,0.0,0.0,0.0,0,0,0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.17525152509330805,0.5662001551179432,True,True,True,False,True,False,qfq_asof,qfq_asof
multifactor_volume_price_filter_v1,quality_4y_1y,ok,,2,2020-04-01,2026-03-31,2,2,,0.0,-0.2127724713723088,-1.6925241592301066,-0.2583839669831388,55.58966042123316,62.19284948674109,264,2,not_enabled,enabled:audited,not_available,0.5251656457196028,1.0,1.0,0.6134040967537578,151,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,qfq_asof,qfq_asof
core_selection_quality_momentum_v1,quality_4y_1y,ok,,2,2020-04-01,2026-03-31,2,2,,0.5,-0.040319496163125745,-0.3336659790055647,-0.13985597404470984,9.654918639207228,9.761178167599873,461,2,not_enabled,enabled:audited,not_available,0.18297254774055907,0.3333333333333333,0.6071872682781997,0.39805852312615364,98,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,True,False,False,False,qfq_asof,qfq_asof
