strategy_id,overfit_risk_level,overfit_score,recommended_action,is_selected_candidate,fold_count,positive_fold_ratio,worst_fold_annualized_return,annualized_return_mean,sharpe_mean,max_drawdown_worst,turnover_annual_mean,parameter_unique_count,is_oos_pass,is_fold_stable,is_parameter_stable,is_cost_robust,is_market_regime_stable,main_risk_reasons
quality_low_turnover_monthly_v1,high,65,retest,True,5,0.4,-0.1173095162759012,-0.031846899024332034,-0.27091581403395587,-0.1621121784049686,1.7825385315707158,4,False,False,False,not_available,not_available,positive OOS fold ratio below 50%; mean Sharpe below 0.5; mean annualized return is non-positive; selected parameters change frequently across folds
legacy_momentum_low_turnover_v1,high,65,retest,False,5,0.2,-0.107416564323115,-0.05360631908567239,-0.4497990200217158,-0.1911009990675174,1.9625993746795096,4,False,False,False,not_available,not_available,positive OOS fold ratio below 50%; mean Sharpe below 0.5; mean annualized return is non-positive; selected parameters change frequently across folds
low_vol_low_turnover_quality_v1,high,65,retest,False,5,0.4,-0.1211189255287356,-0.046563133679916255,-0.4085929041650941,-0.1659531678015297,2.0484399355513023,4,False,False,False,not_available,not_available,positive OOS fold ratio below 50%; mean Sharpe below 0.5; mean annualized return is non-positive; selected parameters change frequently across folds
legacy_momentum,critical,85,reject,False,5,0.0,-0.3192858826094672,-0.2307512094544905,-1.8962839541007614,-0.3263466863215025,13.878878798323715,1,False,False,True,not_available,not_available,positive OOS fold ratio below 50%; worst fold annualized return below -20%; mean Sharpe below 0.5; mean annualized return is non-positive; high annual turnover increases cost sensitivity
residual_momentum_reversal_v1,critical,85,reject,False,5,0.0,-0.3835132235730988,-0.271592597635993,-2.525296535276849,-0.3763306116730481,28.211997580196453,3,False,False,True,not_available,not_available,positive OOS fold ratio below 50%; worst fold annualized return below -20%; mean Sharpe below 0.5; mean annualized return is non-positive; high annual turnover increases cost sensitivity
core_selection_quality_momentum_v1,critical,95,reject,False,5,0.2,-0.4287296690081638,-0.18590878510228162,-1.6920982799603312,-0.4171914752350885,10.259443347700387,5,False,False,False,not_available,not_available,positive OOS fold ratio below 50%; worst fold annualized return below -20%; mean Sharpe below 0.5; mean annualized return is non-positive; high annual turnover increases cost sensitivity; selected parameters change frequently across folds
ma_kline_baseline_v1,critical,95,reject,False,5,0.0,-0.4758180770731396,-0.4349882730160807,-3.600921992603837,-0.4646139931772094,43.86138782102147,5,False,False,False,not_available,not_available,positive OOS fold ratio below 50%; worst fold annualized return below -20%; mean Sharpe below 0.5; mean annualized return is non-positive; high annual turnover increases cost sensitivity; selected parameters change frequently across folds
multifactor_volume_price_filter_v1,critical,95,reject,False,5,0.0,-0.282299375527775,-0.19181152838226095,-1.8723378271867621,-0.2737465551585858,44.30541182578362,4,False,False,False,not_available,not_available,positive OOS fold ratio below 50%; worst fold annualized return below -20%; mean Sharpe below 0.5; mean annualized return is non-positive; high annual turnover increases cost sensitivity; selected parameters change frequently across folds
quality_growth_price_v1,critical,95,reject,False,5,0.2,-0.2336137170826606,-0.0944141532312677,-1.262003767109256,-0.2636154371591622,22.742627500199216,4,False,False,False,not_available,not_available,positive OOS fold ratio below 50%; worst fold annualized return below -20%; mean Sharpe below 0.5; mean annualized return is non-positive; high annual turnover increases cost sensitivity; selected parameters change frequently across folds
residual_momentum_reversal_v2,critical,95,reject,False,5,0.0,-0.4701810690569226,-0.41757701326775526,-3.7022774943988894,-0.4588698705599836,66.75363596058305,5,False,False,False,not_available,not_available,positive OOS fold ratio below 50%; worst fold annualized return below -20%; mean Sharpe below 0.5; mean annualized return is non-positive; high annual turnover increases cost sensitivity; selected parameters change frequently across folds
theme_exposure_momentum_v1,critical,95,reject,False,5,0.2,-0.3933113170628036,-0.16964525129440028,-2.103790945514841,-0.3825366618356636,50.04700351136548,5,False,False,False,not_available,not_available,positive OOS fold ratio below 50%; worst fold annualized return below -20%; mean Sharpe below 0.5; mean annualized return is non-positive; high annual turnover increases cost sensitivity; selected parameters change frequently across folds
