strategy_id,overfit_risk_level,overfit_score,recommended_action,is_selected_candidate,fold_count,positive_fold_ratio,worst_fold_annualized_return,annualized_return_mean,sharpe_mean,max_drawdown_worst,turnover_annual_mean,parameter_unique_count,is_oos_pass,is_fold_stable,is_parameter_stable,is_cost_robust,is_market_regime_stable,main_risk_reasons
low_vol_low_turnover_quality_v1,medium,32,observe,True,2,0.5,-0.0056201809269695,0.0992460819702591,0.8121400900738438,-0.1236815915558036,2.226068078699196,2,True,True,True,not_available,not_available,OOS fold count below governance floor; positive OOS fold ratio below 75%
legacy_momentum_low_turnover_v1,medium,32,observe,False,2,0.5,-0.0872357363049178,0.08593690444375425,0.5142207874985792,-0.1700930309488992,2.81034546240834,2,True,True,True,not_available,not_available,OOS fold count below governance floor; positive OOS fold ratio below 75%
quality_low_turnover_monthly_v1,medium,32,observe,False,2,0.5,-0.0214733923637863,0.08026601158377125,0.7672747500973509,-0.1329829312632402,2.0409067909635805,2,True,True,True,not_available,not_available,OOS fold count below governance floor; positive OOS fold ratio below 75%
core_selection_quality_momentum_v1,high,72,retest,False,2,0.5,-0.1171797891059552,-0.024680427247399196,-0.20007603067273944,-0.1299651935769108,9.245014076066862,2,False,True,True,not_available,not_available,OOS fold count below governance floor; positive OOS fold ratio below 75%; mean Sharpe below 0.5; mean annualized return is non-positive; high annual turnover increases cost sensitivity
quality_growth_price_v1,high,72,retest,False,2,0.5,-0.1782151713091159,-0.0293338139889334,-0.3358084202249958,-0.1727545813242857,24.044996807531327,2,False,True,True,not_available,not_available,OOS fold count below governance floor; positive OOS fold ratio below 75%; mean Sharpe below 0.5; mean annualized return is non-positive; high annual turnover increases cost sensitivity
theme_exposure_momentum_v1,high,72,retest,False,2,0.5,-0.1225400305941505,-0.01616918648296245,-0.33154534163921984,-0.1553664205876977,51.73415518490644,1,False,True,True,not_available,not_available,OOS fold count below governance floor; positive OOS fold ratio below 75%; mean Sharpe below 0.5; mean annualized return is non-positive; high annual turnover increases cost sensitivity
multifactor_volume_price_filter_v1,critical,85,reject,False,2,0.0,-0.1939887284384652,-0.1872398777766607,-1.5425774316090881,-0.2419824781627828,49.84727508270812,2,False,False,True,not_available,not_available,OOS fold count below governance floor; positive OOS fold ratio below 50%; mean Sharpe below 0.5; mean annualized return is non-positive; high annual turnover increases cost sensitivity
legacy_momentum,critical,100,reject,False,2,0.0,-0.2594445652026637,-0.1639252460484317,-1.044501226168655,-0.2496714201686598,16.386694577331646,1,False,False,True,not_available,not_available,OOS fold count below governance floor; positive OOS fold ratio below 50%; worst fold annualized return below -20%; mean Sharpe below 0.5; mean annualized return is non-positive; high annual turnover increases cost sensitivity
ma_kline_baseline_v1,critical,100,reject,False,2,0.0,-0.5155747924936278,-0.45226504559419267,-3.555297580151218,-0.5060134474174929,46.11097477190563,2,False,False,True,not_available,not_available,OOS fold count below governance floor; positive OOS fold ratio below 50%; worst fold annualized return below -20%; mean Sharpe below 0.5; mean annualized return is non-positive; high annual turnover increases cost sensitivity
residual_momentum_reversal_v1,critical,100,reject,False,2,0.0,-0.3724038959875205,-0.28976092415183535,-2.665304603032896,-0.3658499877005384,31.386116134642005,2,False,False,True,not_available,not_available,OOS fold count below governance floor; positive OOS fold ratio below 50%; worst fold annualized return below -20%; mean Sharpe below 0.5; mean annualized return is non-positive; high annual turnover increases cost sensitivity
residual_momentum_reversal_v2,critical,100,reject,False,2,0.0,-0.460422542434863,-0.44697311543912943,-3.6331895482203187,-0.4457149263261447,80.3039866292003,2,False,False,True,not_available,not_available,OOS fold count below governance floor; positive OOS fold ratio below 50%; worst fold annualized return below -20%; mean Sharpe below 0.5; mean annualized return is non-positive; high annual turnover increases cost sensitivity
