strategy_id,walk_forward_preset,status,failure_reason,fold_count,walk_forward_start_date,walk_forward_end_date,walk_forward_expected_folds,walk_forward_actual_folds,walk_forward_fold_generation_warning,positive_fold_ratio,annualized_return_mean,sharpe_mean,max_drawdown_worst,turnover_annual_mean,turnover_annual_max,trades_total,parameter_unique_count,top_industry_avg_share_mean,top_industry_p95_share_max,top_industry_max_share_max,top3_industries_avg_share_mean,industry_violation_days_total,account_annualized_return_mean,account_sharpe_mean,account_max_drawdown_worst,account_executed_order_count_total,account_unfilled_order_count_total,account_partial_fill_order_count_total,account_unfilled_or_partial_order_ratio_mean,account_partial_fill_order_ratio_mean,financial_pit_announce_coverage_mean,selected_financial_pit_announce_coverage_mean,financial_field_coverage_mean,selected_financial_field_coverage_mean,financial_missing_blocked_ratio_mean,selected_quality_score_lift_mean,selected_cash_flow_quality_component_mean,is_return_pass,is_sharpe_pass,is_drawdown_pass,is_positive_fold_pass,is_turnover_pass,is_window_pass
legacy_momentum,quality_4y_1y,ok,,2,2020-04-01,2026-03-31,2,2,,0.0,-0.16392524604843173,-1.044501226168655,-0.24967142016865984,16.386694577331646,17.995903659765162,481,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,True,False,False,False
legacy_momentum_low_turnover_v1,quality_4y_1y,ok,,2,2020-04-01,2026-03-31,2,2,,0.5,0.08593690444375424,0.5142207874985792,-0.17009303094889927,2.81034546240834,3.6185726822856528,63,2,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,True,False,True,False
ma_kline_baseline_v1,quality_4y_1y,ok,,2,2020-04-01,2026-03-31,2,2,,0.0,-0.45226504559419267,-3.555297580151218,-0.5060134474174929,46.11097477190563,51.07819591182984,467,2,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False
residual_momentum_reversal_v1,quality_4y_1y,ok,,2,2020-04-01,2026-03-31,2,2,,0.0,-0.2897609241518354,-2.6653046030328964,-0.36584998770053845,31.386116134642005,34.24775841341841,465,2,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False
residual_momentum_reversal_v2,quality_4y_1y,ok,,2,2020-04-01,2026-03-31,2,2,,0.0,-0.44697311543912943,-3.6331895482203187,-0.44571492632614473,80.3039866292003,84.77866742060748,368,2,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False
quality_growth_price_v1,quality_4y_1y,ok,,2,2020-04-01,2026-03-31,2,2,,0.5,-0.029333813988933366,-0.3358084202249958,-0.17275458132428578,24.044996807531327,24.708682276574702,481,2,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,True,False,False,False
low_vol_low_turnover_quality_v1,quality_4y_1y,ok,,2,2020-04-01,2026-03-31,2,2,,0.5,0.09924608197025908,0.8121400900738438,-0.1236815915558036,2.226068078699196,2.2891592073613185,13,2,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,True,False,True,False
quality_low_turnover_monthly_v1,quality_4y_1y,ok,,2,2020-04-01,2026-03-31,2,2,,0.5,0.08026601158377128,0.7672747500973508,-0.13298293126324023,2.0409067909635805,2.1273485959654903,13,2,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.1746037869416462,0.5654731460056259,True,True,True,False,True,False
multifactor_volume_price_filter_v1,quality_4y_1y,ok,,2,2020-04-01,2026-03-31,2,2,,0.0,-0.18723987777666073,-1.5425774316090881,-0.24198247816278284,49.84727508270812,53.416504569910735,206,2,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,True,False,False,False
core_selection_quality_momentum_v1,quality_4y_1y,ok,,2,2020-04-01,2026-03-31,2,2,,0.5,-0.024680427247399217,-0.2000760306727395,-0.12996519357691083,9.245014076066862,9.778014786294444,472,2,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,True,False,False,False
theme_exposure_momentum_v1,quality_4y_1y,ok,,2,2020-04-01,2026-03-31,2,2,,0.5,-0.01616918648296245,-0.33154534163921984,-0.15536642058769778,51.73415518490644,52.140135667984076,202,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,True,False,False,False
