strategy_id,overfit_risk_level,overfit_score,recommended_action,is_selected_candidate,fold_count,positive_fold_ratio,worst_fold_annualized_return,annualized_return_mean,sharpe_mean,max_drawdown_worst,turnover_annual_mean,parameter_unique_count,is_oos_pass,is_fold_stable,is_parameter_stable,is_cost_robust,is_market_regime_stable,main_risk_reasons
low_vol_low_turnover_quality_v1,medium,42,observe,True,3,0.6666666666666666,-0.0424519015875219,0.12029315677133871,1.0512877964298752,-0.1752077479544431,1.8841432044227016,3,True,True,False,not_available,not_available,OOS fold count below governance floor; positive OOS fold ratio below 75%; selected parameters change frequently across folds
quality_low_turnover_monthly_v1,medium,42,observe,False,3,0.6666666666666666,-0.1001687126651538,0.12114317080310004,1.0289634971150219,-0.2114986265114441,1.8378977937193408,3,True,True,False,not_available,not_available,OOS fold count below governance floor; positive OOS fold ratio below 75%; selected parameters change frequently across folds
legacy_momentum_low_turnover_v1,medium,45,observe,False,3,0.3333333333333333,-0.0900924749948171,0.11467399700659786,0.580834426281628,-0.1728709204000453,2.5527848986969732,2,True,False,True,not_available,not_available,OOS fold count below governance floor; positive OOS fold ratio below 50%
quality_growth_price_v1,critical,85,reject,False,3,0.3333333333333333,-0.1701458721246326,-0.03193263171134094,-0.44116042378032977,-0.1946482358485513,27.703584841429883,2,False,False,True,not_available,not_available,OOS fold count below governance floor; positive OOS fold ratio below 50%; mean Sharpe below 0.5; mean annualized return is non-positive; high annual turnover increases cost sensitivity
core_selection_quality_momentum_v1,critical,95,reject,False,3,0.3333333333333333,-0.1373908787422114,-0.0014580858314138985,-0.23372847076064462,-0.1745221698688436,9.27253119999053,3,False,False,False,not_available,not_available,OOS fold count below governance floor; positive OOS fold ratio below 50%; mean Sharpe below 0.5; mean annualized return is non-positive; high annual turnover increases cost sensitivity; selected parameters change frequently across folds
theme_exposure_momentum_v1,critical,95,reject,False,3,0.3333333333333333,-0.102386890870691,-0.04072000025383787,-0.48933286362162515,-0.1019538192665679,52.3036117548383,3,False,False,False,not_available,not_available,OOS fold count below governance floor; positive OOS fold ratio below 50%; mean Sharpe below 0.5; mean annualized return is non-positive; high annual turnover increases cost sensitivity; selected parameters change frequently across folds
legacy_momentum,critical,100,reject,False,3,0.3333333333333333,-0.2517257206336172,-0.1295314226493909,-0.971296003167141,-0.262987718975667,16.4629528847189,1,False,False,True,not_available,not_available,OOS fold count below governance floor; positive OOS fold ratio below 50%; worst fold annualized return below -20%; mean Sharpe below 0.5; mean annualized return is non-positive; high annual turnover increases cost sensitivity
ma_kline_baseline_v1,critical,100,reject,False,3,0.0,-0.5733472735978126,-0.4930015209984819,-4.4613814786588355,-0.558679493904606,43.36066274873239,3,False,False,False,not_available,not_available,OOS fold count below governance floor; positive OOS fold ratio below 50%; worst fold annualized return below -20%; mean Sharpe below 0.5; mean annualized return is non-positive; high annual turnover increases cost sensitivity; selected parameters change frequently across folds
multifactor_volume_price_filter_v1,critical,100,reject,False,3,0.0,-0.2125964546527589,-0.17277017742342252,-1.4584225159245037,-0.2231524713608205,48.9957341616566,3,False,False,False,not_available,not_available,OOS fold count below governance floor; positive OOS fold ratio below 50%; worst fold annualized return below -20%; mean Sharpe below 0.5; mean annualized return is non-positive; high annual turnover increases cost sensitivity; selected parameters change frequently across folds
residual_momentum_reversal_v1,critical,100,reject,False,3,0.0,-0.424194717071781,-0.3293487580394408,-3.1513610850199014,-0.4164295214235852,33.222347148878406,3,False,False,False,not_available,not_available,OOS fold count below governance floor; positive OOS fold ratio below 50%; worst fold annualized return below -20%; mean Sharpe below 0.5; mean annualized return is non-positive; high annual turnover increases cost sensitivity; selected parameters change frequently across folds
residual_momentum_reversal_v2,critical,100,reject,False,3,0.0,-0.5200223017906496,-0.45580911618823183,-4.10856078476207,-0.502948935451853,62.371495659431865,3,False,False,False,not_available,not_available,OOS fold count below governance floor; positive OOS fold ratio below 50%; worst fold annualized return below -20%; mean Sharpe below 0.5; mean annualized return is non-positive; high annual turnover increases cost sensitivity; selected parameters change frequently across folds
