symbol,fold,train_start,train_end,valid_start,valid_end,annualized_return,sharpe,max_drawdown,win_rate,turnover_annual,trades,passed_min_samples,selected_params,candidate,strategy_id,strategy_display_name,strategy_category,panel_scope,supports_brief,supports_paper_trade,target_days,live_days,avg_target_holdings,avg_live_holdings,trade_days,first_target_date,first_target_symbols,universe_mode,universe_as_of_date,universe_symbol_count,universe_snapshot_count,universe_source,candidate_summary,selected_candidate,is_selected_candidate,candidate_eligible_for_selection,candidate_governance_reason,selected_candidate_eligible,selected_candidate_governance_reason,quality_explain_rows,quality_selected_rows,financial_pit_announce_coverage,selected_financial_pit_announce_coverage,financial_field_coverage_mean,selected_financial_field_coverage_mean,financial_missing_blocked_ratio,quality_score_mean,selected_quality_score_mean,selected_quality_score_lift,roe_coverage,cash_flow_coverage,profit_growth_coverage,revenue_growth_coverage,low_debt_coverage,selected_quality_roe_component_mean,selected_quality_cash_flow_component_mean,selected_quality_profit_growth_component_mean,selected_quality_revenue_growth_component_mean,selected_quality_low_debt_component_mean,walk_forward_preset,walk_forward_train_years,walk_forward_validate_years,walk_forward_start_date,walk_forward_end_date,walk_forward_expected_folds,walk_forward_actual_folds,walk_forward_fold_generation_warning,status,failure_reason
PORTFOLIO,1,2019-08-06,2023-05-12,2023-05-15,2024-05-10,-0.2517257206336172,-2.1192929757722134,-0.262987718975667,0.39748953974895396,18.271300502923477,239,True,"legacy_mom5@q0.5,top_n=3,target_vol=0.18",legacy_momentum,legacy_momentum,Legacy Momentum,rule_based,portfolio,True,True,240,239,3.0,3.0,239,2023-05-15,"['SZ.002466', 'SZ.002709', 'SZ.300014']",point_in_time,2023-05-12,120,5123,local_history_sqlite_as_of,"legacy_momentum: score=-1.1308, selection_score=-1000000.0000, eligible=False, ann=-0.1295, sharpe=-0.9713, mdd=-0.1895; legacy_momentum_low_turnover_v1: score=0.5780, selection_score=-1000000.0000, eligible=False, ann=0.1147, sharpe=0.5808, mdd=-0.1203; ma_kline_baseline_v1: score=-4.9502, selection_score=-1000000.0000, eligible=False, ann=-0.4930, sharpe=-4.4614, mdd=-0.4846; residual_momentum_reversal_v1: score=-3.4788, selection_score=-1000000.0000, eligible=False, ann=-0.3293, sharpe=-3.1514, mdd=-0.3256; residual_momentum_reversal_v2: score=-4.5682, selection_score=-1000000.0000, eligible=False, ann=-0.4558, sharpe=-4.1086, mdd=-0.4635; quality_growth_price_v1: score=-0.5368, selection_score=-1000000.0000, eligible=False, ann=-0.0319, sharpe=-0.4412, mdd=-0.1594; low_vol_low_turnover_quality_v1: score=1.0581, selection_score=-1000000.0000, eligible=False, ann=0.1203, sharpe=1.0513, mdd=-0.1067; quality_low_turnover_monthly_v1: score=1.0304, selection_score=-1000000.0000, eligible=False, ann=0.1211, sharpe=1.0290, mdd=-0.1183; multifactor_volume_price_filter_v1: score=-1.6503, selection_score=-1000000.0000, eligible=False, ann=-0.1728, sharpe=-1.4584, mdd=-0.2110; core_selection_quality_momentum_v1: score=-0.3078, selection_score=-1000000.0000, eligible=False, ann=-0.0015, sharpe=-0.2337, mdd=-0.1467; theme_exposure_momentum_v1: score=-0.5570, selection_score=-1000000.0000, eligible=False, ann=-0.0407, sharpe=-0.4893, mdd=-0.0946",low_vol_low_turnover_quality_v1,False,False,portfolio_fold_count<4,,,,,,,,,,,,,,,,,,,,,,,quality_4y_1y,4,1,,,,3,,ok,
PORTFOLIO,2,2020-05-13,2024-05-10,2024-05-13,2025-05-12,-0.16539324129815236,-1.0528811924171717,-0.18198233397346908,0.4190871369294606,16.941479659790605,241,True,"legacy_mom5@q0.5,top_n=3,target_vol=0.18",legacy_momentum,legacy_momentum,Legacy Momentum,rule_based,portfolio,True,True,242,241,3.0,3.0,241,2024-05-13,"['SH.601919', 'SH.600489', 'SH.600048']",point_in_time,2024-05-10,120,5353,local_history_sqlite_as_of,"legacy_momentum: score=-1.1308, selection_score=-1000000.0000, eligible=False, ann=-0.1295, sharpe=-0.9713, mdd=-0.1895; legacy_momentum_low_turnover_v1: score=0.5780, selection_score=-1000000.0000, eligible=False, ann=0.1147, sharpe=0.5808, mdd=-0.1203; ma_kline_baseline_v1: score=-4.9502, selection_score=-1000000.0000, eligible=False, ann=-0.4930, sharpe=-4.4614, mdd=-0.4846; residual_momentum_reversal_v1: score=-3.4788, selection_score=-1000000.0000, eligible=False, ann=-0.3293, sharpe=-3.1514, mdd=-0.3256; residual_momentum_reversal_v2: score=-4.5682, selection_score=-1000000.0000, eligible=False, ann=-0.4558, sharpe=-4.1086, mdd=-0.4635; quality_growth_price_v1: score=-0.5368, selection_score=-1000000.0000, eligible=False, ann=-0.0319, sharpe=-0.4412, mdd=-0.1594; low_vol_low_turnover_quality_v1: score=1.0581, selection_score=-1000000.0000, eligible=False, ann=0.1203, sharpe=1.0513, mdd=-0.1067; quality_low_turnover_monthly_v1: score=1.0304, selection_score=-1000000.0000, eligible=False, ann=0.1211, sharpe=1.0290, mdd=-0.1183; multifactor_volume_price_filter_v1: score=-1.6503, selection_score=-1000000.0000, eligible=False, ann=-0.1728, sharpe=-1.4584, mdd=-0.2110; core_selection_quality_momentum_v1: score=-0.3078, selection_score=-1000000.0000, eligible=False, ann=-0.0015, sharpe=-0.2337, mdd=-0.1467; theme_exposure_momentum_v1: score=-0.5570, selection_score=-1000000.0000, eligible=False, ann=-0.0407, sharpe=-0.4893, mdd=-0.0946",low_vol_low_turnover_quality_v1,False,False,portfolio_fold_count<4,,,,,,,,,,,,,,,,,,,,,,,quality_4y_1y,4,1,,,,3,,ok,
PORTFOLIO,3,2021-05-13,2025-05-12,2025-05-13,2026-05-12,0.028524693983596805,0.25828615868796156,-0.12340519788069682,0.4854771784232365,14.176078491442606,241,True,"legacy_mom5@q0.5,top_n=3,target_vol=0.18",legacy_momentum,legacy_momentum,Legacy Momentum,rule_based,portfolio,True,True,242,241,3.0,3.0,241,2025-05-13,"['SZ.300502', 'SZ.300750', 'SZ.300308']",point_in_time,2025-05-12,120,5399,local_history_sqlite_as_of,"legacy_momentum: score=-1.1308, selection_score=-1000000.0000, eligible=False, ann=-0.1295, sharpe=-0.9713, mdd=-0.1895; legacy_momentum_low_turnover_v1: score=0.5780, selection_score=-1000000.0000, eligible=False, ann=0.1147, sharpe=0.5808, mdd=-0.1203; ma_kline_baseline_v1: score=-4.9502, selection_score=-1000000.0000, eligible=False, ann=-0.4930, sharpe=-4.4614, mdd=-0.4846; residual_momentum_reversal_v1: score=-3.4788, selection_score=-1000000.0000, eligible=False, ann=-0.3293, sharpe=-3.1514, mdd=-0.3256; residual_momentum_reversal_v2: score=-4.5682, selection_score=-1000000.0000, eligible=False, ann=-0.4558, sharpe=-4.1086, mdd=-0.4635; quality_growth_price_v1: score=-0.5368, selection_score=-1000000.0000, eligible=False, ann=-0.0319, sharpe=-0.4412, mdd=-0.1594; low_vol_low_turnover_quality_v1: score=1.0581, selection_score=-1000000.0000, eligible=False, ann=0.1203, sharpe=1.0513, mdd=-0.1067; quality_low_turnover_monthly_v1: score=1.0304, selection_score=-1000000.0000, eligible=False, ann=0.1211, sharpe=1.0290, mdd=-0.1183; multifactor_volume_price_filter_v1: score=-1.6503, selection_score=-1000000.0000, eligible=False, ann=-0.1728, sharpe=-1.4584, mdd=-0.2110; core_selection_quality_momentum_v1: score=-0.3078, selection_score=-1000000.0000, eligible=False, ann=-0.0015, sharpe=-0.2337, mdd=-0.1467; theme_exposure_momentum_v1: score=-0.5570, selection_score=-1000000.0000, eligible=False, ann=-0.0407, sharpe=-0.4893, mdd=-0.0946",low_vol_low_turnover_quality_v1,False,False,portfolio_fold_count<4,,,,,,,,,,,,,,,,,,,,,,,quality_4y_1y,4,1,,,,3,,ok,
PORTFOLIO,1,2019-08-06,2023-05-12,2023-05-15,2024-05-10,-0.0900924749948171,-0.9162907937545625,-0.17287092040004537,0.4686192468619247,4.095345858212797,48,True,"mom5@q0.6,hold_q=0.4,buy_top=10,hold_top=20,rebalance=5d,min_hold=10d,turnover_penalty=0.01,target_vol=0.18",legacy_momentum_low_turnover_v1,legacy_momentum_low_turnover_v1,Legacy Momentum Low Turnover,rule_based,portfolio,True,True,240,239,9.979166666666666,9.97907949790795,48,2023-05-15,"['SZ.002466', 'SZ.002709', 'SZ.300014', 'SZ.002460', 'SH.600522']",point_in_time,2023-05-12,120,5123,local_history_sqlite_as_of,"legacy_momentum: score=-1.1308, selection_score=-1000000.0000, eligible=False, ann=-0.1295, sharpe=-0.9713, mdd=-0.1895; legacy_momentum_low_turnover_v1: score=0.5780, selection_score=-1000000.0000, eligible=False, ann=0.1147, sharpe=0.5808, mdd=-0.1203; ma_kline_baseline_v1: score=-4.9502, selection_score=-1000000.0000, eligible=False, ann=-0.4930, sharpe=-4.4614, mdd=-0.4846; residual_momentum_reversal_v1: score=-3.4788, selection_score=-1000000.0000, eligible=False, ann=-0.3293, sharpe=-3.1514, mdd=-0.3256; residual_momentum_reversal_v2: score=-4.5682, selection_score=-1000000.0000, eligible=False, ann=-0.4558, sharpe=-4.1086, mdd=-0.4635; quality_growth_price_v1: score=-0.5368, selection_score=-1000000.0000, eligible=False, ann=-0.0319, sharpe=-0.4412, mdd=-0.1594; low_vol_low_turnover_quality_v1: score=1.0581, selection_score=-1000000.0000, eligible=False, ann=0.1203, sharpe=1.0513, mdd=-0.1067; quality_low_turnover_monthly_v1: score=1.0304, selection_score=-1000000.0000, eligible=False, ann=0.1211, sharpe=1.0290, mdd=-0.1183; multifactor_volume_price_filter_v1: score=-1.6503, selection_score=-1000000.0000, eligible=False, ann=-0.1728, sharpe=-1.4584, mdd=-0.2110; core_selection_quality_momentum_v1: score=-0.3078, selection_score=-1000000.0000, eligible=False, ann=-0.0015, sharpe=-0.2337, mdd=-0.1467; theme_exposure_momentum_v1: score=-0.5570, selection_score=-1000000.0000, eligible=False, ann=-0.0407, sharpe=-0.4893, mdd=-0.0946",low_vol_low_turnover_quality_v1,False,False,portfolio_fold_count<4,,,,,,,,,,,,,,,,,,,,,,,quality_4y_1y,4,1,,,,3,,ok,
PORTFOLIO,2,2020-05-13,2024-05-10,2024-05-13,2025-05-12,-0.04856313576468907,-0.31023065067515065,-0.13802289122871148,0.4605809128630705,2.2924588853021515,13,True,"mom20@q0.6,hold_q=0.4,buy_top=5,hold_top=10,rebalance=20d,min_hold=5d,turnover_penalty=0.01,target_vol=0.18",legacy_momentum_low_turnover_v1,legacy_momentum_low_turnover_v1,Legacy Momentum Low Turnover,rule_based,portfolio,True,True,242,241,5.0,5.0,13,2024-05-13,"['SH.601919', 'SH.603986', 'SZ.300502', 'SH.600690', 'SH.601601']",point_in_time,2024-05-10,120,5353,local_history_sqlite_as_of,"legacy_momentum: score=-1.1308, selection_score=-1000000.0000, eligible=False, ann=-0.1295, sharpe=-0.9713, mdd=-0.1895; legacy_momentum_low_turnover_v1: score=0.5780, selection_score=-1000000.0000, eligible=False, ann=0.1147, sharpe=0.5808, mdd=-0.1203; ma_kline_baseline_v1: score=-4.9502, selection_score=-1000000.0000, eligible=False, ann=-0.4930, sharpe=-4.4614, mdd=-0.4846; residual_momentum_reversal_v1: score=-3.4788, selection_score=-1000000.0000, eligible=False, ann=-0.3293, sharpe=-3.1514, mdd=-0.3256; residual_momentum_reversal_v2: score=-4.5682, selection_score=-1000000.0000, eligible=False, ann=-0.4558, sharpe=-4.1086, mdd=-0.4635; quality_growth_price_v1: score=-0.5368, selection_score=-1000000.0000, eligible=False, ann=-0.0319, sharpe=-0.4412, mdd=-0.1594; low_vol_low_turnover_quality_v1: score=1.0581, selection_score=-1000000.0000, eligible=False, ann=0.1203, sharpe=1.0513, mdd=-0.1067; quality_low_turnover_monthly_v1: score=1.0304, selection_score=-1000000.0000, eligible=False, ann=0.1211, sharpe=1.0290, mdd=-0.1183; multifactor_volume_price_filter_v1: score=-1.6503, selection_score=-1000000.0000, eligible=False, ann=-0.1728, sharpe=-1.4584, mdd=-0.2110; core_selection_quality_momentum_v1: score=-0.3078, selection_score=-1000000.0000, eligible=False, ann=-0.0015, sharpe=-0.2337, mdd=-0.1467; theme_exposure_momentum_v1: score=-0.5570, selection_score=-1000000.0000, eligible=False, ann=-0.0407, sharpe=-0.4893, mdd=-0.0946",low_vol_low_turnover_quality_v1,False,False,portfolio_fold_count<4,,,,,,,,,,,,,,,,,,,,,,,quality_4y_1y,4,1,,,,3,,ok,
PORTFOLIO,3,2021-05-13,2025-05-12,2025-05-13,2026-05-12,0.48267760177929975,2.9690247232745968,-0.05011529686840199,0.5145228215767634,1.2705499525759716,13,True,"mom20@q0.6,hold_q=0.4,buy_top=5,hold_top=10,rebalance=20d,min_hold=5d,turnover_penalty=0.01,target_vol=0.18",legacy_momentum_low_turnover_v1,legacy_momentum_low_turnover_v1,Legacy Momentum Low Turnover,rule_based,portfolio,True,True,242,241,5.0,5.0,13,2025-05-13,"['SZ.300502', 'SZ.002261', 'SZ.000158', 'SZ.300308', 'SZ.300750']",point_in_time,2025-05-12,120,5399,local_history_sqlite_as_of,"legacy_momentum: score=-1.1308, selection_score=-1000000.0000, eligible=False, ann=-0.1295, sharpe=-0.9713, mdd=-0.1895; legacy_momentum_low_turnover_v1: score=0.5780, selection_score=-1000000.0000, eligible=False, ann=0.1147, sharpe=0.5808, mdd=-0.1203; ma_kline_baseline_v1: score=-4.9502, selection_score=-1000000.0000, eligible=False, ann=-0.4930, sharpe=-4.4614, mdd=-0.4846; residual_momentum_reversal_v1: score=-3.4788, selection_score=-1000000.0000, eligible=False, ann=-0.3293, sharpe=-3.1514, mdd=-0.3256; residual_momentum_reversal_v2: score=-4.5682, selection_score=-1000000.0000, eligible=False, ann=-0.4558, sharpe=-4.1086, mdd=-0.4635; quality_growth_price_v1: score=-0.5368, selection_score=-1000000.0000, eligible=False, ann=-0.0319, sharpe=-0.4412, mdd=-0.1594; low_vol_low_turnover_quality_v1: score=1.0581, selection_score=-1000000.0000, eligible=False, ann=0.1203, sharpe=1.0513, mdd=-0.1067; quality_low_turnover_monthly_v1: score=1.0304, selection_score=-1000000.0000, eligible=False, ann=0.1211, sharpe=1.0290, mdd=-0.1183; multifactor_volume_price_filter_v1: score=-1.6503, selection_score=-1000000.0000, eligible=False, ann=-0.1728, sharpe=-1.4584, mdd=-0.2110; core_selection_quality_momentum_v1: score=-0.3078, selection_score=-1000000.0000, eligible=False, ann=-0.0015, sharpe=-0.2337, mdd=-0.1467; theme_exposure_momentum_v1: score=-0.5570, selection_score=-1000000.0000, eligible=False, ann=-0.0407, sharpe=-0.4893, mdd=-0.0946",low_vol_low_turnover_quality_v1,False,False,portfolio_fold_count<4,,,,,,,,,,,,,,,,,,,,,,,quality_4y_1y,4,1,,,,3,,ok,
PORTFOLIO,1,2019-08-06,2023-05-12,2023-05-15,2024-05-10,-0.4799540313604099,-4.779317037636886,-0.4693338950446875,0.3303964757709251,35.68894196649788,233,True,"ma20>ma60,amount>=1.0,upper_shadow<=1.5,vol@q0.6,target_vol=0.18,top_n=5",ma_kline_baseline_v1,ma_kline_baseline_v1,MA/K-line Baseline,rule_based,portfolio,True,True,228,227,4.026315789473684,4.022026431718062,234,2023-05-15,"['SH.601398', 'SZ.300750', 'SH.600188', 'SH.601688', 'SH.601985']",point_in_time,2023-05-12,120,5123,local_history_sqlite_as_of,"legacy_momentum: score=-1.1308, selection_score=-1000000.0000, eligible=False, ann=-0.1295, sharpe=-0.9713, mdd=-0.1895; legacy_momentum_low_turnover_v1: score=0.5780, selection_score=-1000000.0000, eligible=False, ann=0.1147, sharpe=0.5808, mdd=-0.1203; ma_kline_baseline_v1: score=-4.9502, selection_score=-1000000.0000, eligible=False, ann=-0.4930, sharpe=-4.4614, mdd=-0.4846; residual_momentum_reversal_v1: score=-3.4788, selection_score=-1000000.0000, eligible=False, ann=-0.3293, sharpe=-3.1514, mdd=-0.3256; residual_momentum_reversal_v2: score=-4.5682, selection_score=-1000000.0000, eligible=False, ann=-0.4558, sharpe=-4.1086, mdd=-0.4635; quality_growth_price_v1: score=-0.5368, selection_score=-1000000.0000, eligible=False, ann=-0.0319, sharpe=-0.4412, mdd=-0.1594; low_vol_low_turnover_quality_v1: score=1.0581, selection_score=-1000000.0000, eligible=False, ann=0.1203, sharpe=1.0513, mdd=-0.1067; quality_low_turnover_monthly_v1: score=1.0304, selection_score=-1000000.0000, eligible=False, ann=0.1211, sharpe=1.0290, mdd=-0.1183; multifactor_volume_price_filter_v1: score=-1.6503, selection_score=-1000000.0000, eligible=False, ann=-0.1728, sharpe=-1.4584, mdd=-0.2110; core_selection_quality_momentum_v1: score=-0.3078, selection_score=-1000000.0000, eligible=False, ann=-0.0015, sharpe=-0.2337, mdd=-0.1467; theme_exposure_momentum_v1: score=-0.5570, selection_score=-1000000.0000, eligible=False, ann=-0.0407, sharpe=-0.4893, mdd=-0.0946",low_vol_low_turnover_quality_v1,False,False,portfolio_fold_count<4,,,,,,,,,,,,,,,,,,,,,,,quality_4y_1y,4,1,,,,3,,ok,
PORTFOLIO,2,2020-05-13,2024-05-10,2024-05-13,2025-05-12,-0.5733472735978126,-5.007274700152139,-0.558679493904606,0.35267857142857145,43.22627878785885,235,True,"ma20>ma60,amount>=1.0,upper_shadow<=1.5,vol@q0.75,target_vol=0.18,top_n=3",ma_kline_baseline_v1,ma_kline_baseline_v1,MA/K-line Baseline,rule_based,portfolio,True,True,225,224,2.8133333333333335,2.8125,235,2024-05-13,"['SH.601919', 'SH.600690', 'SH.600036']",point_in_time,2024-05-10,120,5353,local_history_sqlite_as_of,"legacy_momentum: score=-1.1308, selection_score=-1000000.0000, eligible=False, ann=-0.1295, sharpe=-0.9713, mdd=-0.1895; legacy_momentum_low_turnover_v1: score=0.5780, selection_score=-1000000.0000, eligible=False, ann=0.1147, sharpe=0.5808, mdd=-0.1203; ma_kline_baseline_v1: score=-4.9502, selection_score=-1000000.0000, eligible=False, ann=-0.4930, sharpe=-4.4614, mdd=-0.4846; residual_momentum_reversal_v1: score=-3.4788, selection_score=-1000000.0000, eligible=False, ann=-0.3293, sharpe=-3.1514, mdd=-0.3256; residual_momentum_reversal_v2: score=-4.5682, selection_score=-1000000.0000, eligible=False, ann=-0.4558, sharpe=-4.1086, mdd=-0.4635; quality_growth_price_v1: score=-0.5368, selection_score=-1000000.0000, eligible=False, ann=-0.0319, sharpe=-0.4412, mdd=-0.1594; low_vol_low_turnover_quality_v1: score=1.0581, selection_score=-1000000.0000, eligible=False, ann=0.1203, sharpe=1.0513, mdd=-0.1067; quality_low_turnover_monthly_v1: score=1.0304, selection_score=-1000000.0000, eligible=False, ann=0.1211, sharpe=1.0290, mdd=-0.1183; multifactor_volume_price_filter_v1: score=-1.6503, selection_score=-1000000.0000, eligible=False, ann=-0.1728, sharpe=-1.4584, mdd=-0.2110; core_selection_quality_momentum_v1: score=-0.3078, selection_score=-1000000.0000, eligible=False, ann=-0.0015, sharpe=-0.2337, mdd=-0.1467; theme_exposure_momentum_v1: score=-0.5570, selection_score=-1000000.0000, eligible=False, ann=-0.0407, sharpe=-0.4893, mdd=-0.0946",low_vol_low_turnover_quality_v1,False,False,portfolio_fold_count<4,,,,,,,,,,,,,,,,,,,,,,,quality_4y_1y,4,1,,,,3,,ok,
PORTFOLIO,3,2021-05-13,2025-05-12,2025-05-13,2026-05-12,-0.4257032580372232,-3.5975526981874815,-0.4257947841957195,0.3619047619047619,51.16676749184042,231,True,"ma20>ma60,amount>=1.2,upper_shadow<=1.5,vol@q0.6,target_vol=0.18,top_n=3",ma_kline_baseline_v1,ma_kline_baseline_v1,MA/K-line Baseline,rule_based,portfolio,True,True,211,210,2.4454976303317535,2.442857142857143,231,2025-05-13,"['SH.601919', 'SH.601668', 'SH.601166']",point_in_time,2025-05-12,120,5399,local_history_sqlite_as_of,"legacy_momentum: score=-1.1308, selection_score=-1000000.0000, eligible=False, ann=-0.1295, sharpe=-0.9713, mdd=-0.1895; legacy_momentum_low_turnover_v1: score=0.5780, selection_score=-1000000.0000, eligible=False, ann=0.1147, sharpe=0.5808, mdd=-0.1203; ma_kline_baseline_v1: score=-4.9502, selection_score=-1000000.0000, eligible=False, ann=-0.4930, sharpe=-4.4614, mdd=-0.4846; residual_momentum_reversal_v1: score=-3.4788, selection_score=-1000000.0000, eligible=False, ann=-0.3293, sharpe=-3.1514, mdd=-0.3256; residual_momentum_reversal_v2: score=-4.5682, selection_score=-1000000.0000, eligible=False, ann=-0.4558, sharpe=-4.1086, mdd=-0.4635; quality_growth_price_v1: score=-0.5368, selection_score=-1000000.0000, eligible=False, ann=-0.0319, sharpe=-0.4412, mdd=-0.1594; low_vol_low_turnover_quality_v1: score=1.0581, selection_score=-1000000.0000, eligible=False, ann=0.1203, sharpe=1.0513, mdd=-0.1067; quality_low_turnover_monthly_v1: score=1.0304, selection_score=-1000000.0000, eligible=False, ann=0.1211, sharpe=1.0290, mdd=-0.1183; multifactor_volume_price_filter_v1: score=-1.6503, selection_score=-1000000.0000, eligible=False, ann=-0.1728, sharpe=-1.4584, mdd=-0.2110; core_selection_quality_momentum_v1: score=-0.3078, selection_score=-1000000.0000, eligible=False, ann=-0.0015, sharpe=-0.2337, mdd=-0.1467; theme_exposure_momentum_v1: score=-0.5570, selection_score=-1000000.0000, eligible=False, ann=-0.0407, sharpe=-0.4893, mdd=-0.0946",low_vol_low_turnover_quality_v1,False,False,portfolio_fold_count<4,,,,,,,,,,,,,,,,,,,,,,,quality_4y_1y,4,1,,,,3,,ok,
PORTFOLIO,1,2019-08-06,2023-05-12,2023-05-15,2024-05-10,-0.3549578699589814,-3.5463426677974104,-0.3510616901516097,0.3598326359832636,37.99668147768364,239,True,"resid_mom20@q0.6,reversal_mom3<=q0.7,ma20,vol@q0.75,target_vol=0.18,top_n=3,xmarket_overlay=True",residual_momentum_reversal_v1,residual_momentum_reversal_v1,Residual Momentum Reversal V1,factor,portfolio,True,True,240,239,2.995833333333333,2.99581589958159,239,2023-05-15,"['SH.601088', 'SH.601288', 'SH.600089']",point_in_time,2023-05-12,120,5123,local_history_sqlite_as_of,"legacy_momentum: score=-1.1308, selection_score=-1000000.0000, eligible=False, ann=-0.1295, sharpe=-0.9713, mdd=-0.1895; legacy_momentum_low_turnover_v1: score=0.5780, selection_score=-1000000.0000, eligible=False, ann=0.1147, sharpe=0.5808, mdd=-0.1203; ma_kline_baseline_v1: score=-4.9502, selection_score=-1000000.0000, eligible=False, ann=-0.4930, sharpe=-4.4614, mdd=-0.4846; residual_momentum_reversal_v1: score=-3.4788, selection_score=-1000000.0000, eligible=False, ann=-0.3293, sharpe=-3.1514, mdd=-0.3256; residual_momentum_reversal_v2: score=-4.5682, selection_score=-1000000.0000, eligible=False, ann=-0.4558, sharpe=-4.1086, mdd=-0.4635; quality_growth_price_v1: score=-0.5368, selection_score=-1000000.0000, eligible=False, ann=-0.0319, sharpe=-0.4412, mdd=-0.1594; low_vol_low_turnover_quality_v1: score=1.0581, selection_score=-1000000.0000, eligible=False, ann=0.1203, sharpe=1.0513, mdd=-0.1067; quality_low_turnover_monthly_v1: score=1.0304, selection_score=-1000000.0000, eligible=False, ann=0.1211, sharpe=1.0290, mdd=-0.1183; multifactor_volume_price_filter_v1: score=-1.6503, selection_score=-1000000.0000, eligible=False, ann=-0.1728, sharpe=-1.4584, mdd=-0.2110; core_selection_quality_momentum_v1: score=-0.3078, selection_score=-1000000.0000, eligible=False, ann=-0.0015, sharpe=-0.2337, mdd=-0.1467; theme_exposure_momentum_v1: score=-0.5570, selection_score=-1000000.0000, eligible=False, ann=-0.0407, sharpe=-0.4893, mdd=-0.0946",low_vol_low_turnover_quality_v1,False,False,portfolio_fold_count<4,,,,,,,,,,,,,,,,,,,,,,,quality_4y_1y,4,1,,,,3,,ok,
