strategy_id,walk_forward_preset,status,failure_reason,fold_count,walk_forward_start_date,walk_forward_end_date,walk_forward_expected_folds,walk_forward_actual_folds,walk_forward_fold_generation_warning,positive_fold_ratio,annualized_return_mean,sharpe_mean,max_drawdown_worst,turnover_annual_mean,turnover_annual_max,trades_total,parameter_unique_count,top_industry_avg_share_mean,top_industry_p95_share_max,top_industry_max_share_max,top3_industries_avg_share_mean,industry_violation_days_total,account_annualized_return_mean,account_sharpe_mean,account_max_drawdown_worst,account_executed_order_count_total,account_unfilled_order_count_total,account_partial_fill_order_count_total,account_unfilled_or_partial_order_ratio_mean,account_partial_fill_order_ratio_mean,financial_pit_announce_coverage_mean,selected_financial_pit_announce_coverage_mean,financial_field_coverage_mean,selected_financial_field_coverage_mean,financial_missing_blocked_ratio_mean,selected_quality_score_lift_mean,selected_cash_flow_quality_component_mean,is_return_pass,is_sharpe_pass,is_drawdown_pass,is_positive_fold_pass,is_turnover_pass,is_window_pass
legacy_momentum,quality_4y_1y,ok,,3,,,,3,,0.3333333333333333,-0.1295314226493909,-0.9712960031671413,-0.262987718975667,16.4629528847189,18.271300502923477,721,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False
legacy_momentum_low_turnover_v1,quality_4y_1y,ok,,3,,,,3,,0.3333333333333333,0.11467399700659786,0.580834426281628,-0.17287092040004537,2.5527848986969732,4.095345858212797,74,2,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,True,False,True,False
ma_kline_baseline_v1,quality_4y_1y,ok,,3,,,,3,,0.0,-0.4930015209984819,-4.4613814786588355,-0.558679493904606,43.36066274873239,51.16676749184042,699,3,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False
residual_momentum_reversal_v1,quality_4y_1y,ok,,3,,,,3,,0.0,-0.3293487580394408,-3.1513610850199014,-0.41642952142358525,33.222347148878406,37.99668147768364,705,3,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False
residual_momentum_reversal_v2,quality_4y_1y,ok,,3,,,,3,,0.0,-0.45580911618823183,-4.10856078476207,-0.502948935451853,62.371495659431865,71.40782641325553,582,3,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False
quality_growth_price_v1,quality_4y_1y,ok,,3,,,,3,,0.3333333333333333,-0.03193263171134094,-0.44116042378032977,-0.1946482358485513,27.703584841429887,33.09457309762026,719,2,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,True,False,False,False
low_vol_low_turnover_quality_v1,quality_4y_1y,ok,,3,,,,3,,0.6666666666666666,0.12029315677133871,1.0512877964298752,-0.17520774795444316,1.8841432044227016,2.617046984991738,20,3,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,True,False,True,False
quality_low_turnover_monthly_v1,quality_4y_1y,ok,,3,,,,3,,0.6666666666666666,0.12114317080310004,1.0289634971150217,-0.21149862651144413,1.8378977937193408,2.572318820916543,20,3,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.1810030101566867,0.5626027457335598,True,True,True,False,True,False
multifactor_volume_price_filter_v1,quality_4y_1y,ok,,3,,,,3,,0.0,-0.17277017742342257,-1.4584225159245037,-0.2231524713608205,48.9957341616566,50.80608994285294,318,3,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,True,False,False,False
core_selection_quality_momentum_v1,quality_4y_1y,ok,,3,,,,3,,0.3333333333333333,-0.0014580858314139356,-0.23372847076064462,-0.1745221698688436,9.272531199990532,12.023827344212421,711,3,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,True,False,False,False
theme_exposure_momentum_v1,quality_4y_1y,ok,,3,,,,3,,0.3333333333333333,-0.040720000253837894,-0.48933286362162515,-0.10195381926656799,52.3036117548383,54.21721505933409,316,3,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,True,False,False,False
