symbol,name,industry,missing_folds,missing_days,avg_rank,min_rank,avg_weight,total_missing_weight,in_pit_snapshot_folds,in_pit_filtered_folds,in_pit_selected_before_limit_folds,in_pit_universe_folds,missing_dates_present_in_valid_bfq,missing_dates_present_in_valid_adj,snapshot_bfq_rows,snapshot_basic_rows,valid_bfq_rows,valid_adj_factor_rows,db_daily_rows,db_daily_basic_rows,db_adj_factor_rows,classification
SH.601816,京沪高铁,铁路,5,1150,37.333484157559276,19.0,0.006262600493060422,7.292690999999986,5,5,5,0,1150,1150,293,293,1210,1210,3088,1549,1549,beyond_walk_forward_limit
SH.601328,交通银行,银行,3,727,27.74408756382016,14.0,0.007339447990483173,5.333127999999992,3,3,3,0,727,727,177,177,727,727,4900,2534,2534,beyond_walk_forward_limit
SH.600000,浦发银行,银行,4,967,47.69644028194261,25.0,0.005280847188882403,5.106345999999991,4,4,3,0,967,967,234,234,967,967,4900,2516,2534,"beyond_walk_forward_limit,ranked_out_or_balanced_out_of_pit_universe"
SH.600016,民生银行,银行,5,1008,51.602846321342064,34.0,0.0048831037674980675,4.921599999999992,5,5,4,0,1008,1008,293,293,1210,1210,4900,2534,2534,"beyond_walk_forward_limit,ranked_out_or_balanced_out_of_pit_universe"
SH.600837,,,4,930,50.20565078061332,35.0,0.005018435024621117,4.66039999999999,4,4,4,0,876,910,235,235,913,948,4220,2189,2224,beyond_walk_forward_limit
SH.600406,国电南瑞,电气设备,4,782,52.72136188500296,34.0,0.004842118877815634,3.8194929999999863,4,4,4,0,782,782,234,234,967,967,4682,2425,2534,beyond_walk_forward_limit
SZ.300498,温氏股份,农业综合,3,400,56.14163861726103,32.0,0.004642385267049683,1.9444799999999978,3,3,3,0,400,400,175,175,726,726,4900,2523,2534,beyond_walk_forward_limit
SH.600660,福耀玻璃,汽车配件,2,427,60.015529587488466,49.0,0.0043907598405306765,1.875079999999996,2,2,2,0,427,427,116,116,483,483,4900,2534,2534,beyond_walk_forward_limit
SH.603288,海天味业,食品,2,346,49.613867913220666,32.0,0.00516992706460505,1.8687829999999956,2,2,2,0,346,346,118,118,484,484,4900,2534,2534,beyond_walk_forward_limit
SH.601169,北京银行,银行,3,402,61.973853923853916,48.0,0.004407968492618493,1.787969,3,3,2,0,402,402,175,175,724,724,4884,2526,2534,"beyond_walk_forward_limit,ranked_out_or_balanced_out_of_pit_universe"
SH.600919,江苏银行,银行,2,300,52.6567620789085,20.0,0.0049448071594345505,1.5892199999999956,2,2,2,0,300,300,118,118,484,484,4762,2386,2392,beyond_walk_forward_limit
SH.601229,上海银行,银行,3,309,56.243993993993996,42.0,0.004525237880737881,1.4014219999999997,3,3,3,0,309,309,175,175,726,726,4636,2323,2323,beyond_walk_forward_limit
SH.601766,中国中车,运输设备,3,304,67.77316017316018,59.0,0.003967138150134888,1.2549919999999999,3,3,3,0,304,304,176,176,726,726,4880,2524,2534,beyond_walk_forward_limit
SZ.000792,盐湖股份,农药化肥,2,243,57.174051215917466,43.0,0.004598735537951341,1.158768999999995,2,2,2,0,243,243,116,116,483,483,4262,2215,2534,beyond_walk_forward_limit
SH.601988,中国银行,银行,1,223,57.33183856502242,41.0,0.004608762331838549,1.0277539999999963,1,1,1,0,223,223,59,59,241,241,4900,2534,2534,beyond_walk_forward_limit
SH.688981,中芯国际,半导体,2,226,41.72727272727273,21.0,0.006925857575757567,1.0115239999999996,2,2,2,1,220,226,117,117,479,485,2840,1425,1431,"beyond_walk_forward_limit,universe_member_but_panel_missing"
SH.600436,片仔癀,中成药,1,205,60.78536585365854,51.0,0.004435799999999998,0.9093389999999997,1,1,1,0,205,205,59,59,241,241,4900,2534,2534,beyond_walk_forward_limit
SH.600111,北方稀土,小金属,1,159,47.289308176100626,37.0,0.0051416037735849025,0.8175149999999995,1,1,1,0,159,159,58,58,242,242,4900,2534,2534,beyond_walk_forward_limit
SZ.002352,顺丰控股,仓储物流,1,143,46.97902097902098,37.0,0.005050622377622375,0.7222389999999996,1,1,1,0,143,143,58,58,242,242,4842,2486,2534,beyond_walk_forward_limit
SH.601688,华泰证券,证券,1,161,63.006211180124225,55.0,0.004380354037267067,0.7052369999999979,1,1,1,0,161,161,59,59,241,241,4900,2534,2534,beyond_walk_forward_limit
SH.600104,上汽集团,汽车整车,3,168,68.52596082779009,58.0,0.004096464629882294,0.6801509999999977,3,3,3,0,168,168,176,176,725,725,4900,2534,2534,beyond_walk_forward_limit
SH.600089,特变电工,电气设备,1,115,51.25217391304348,38.0,0.004881365217391294,0.5613569999999988,1,1,1,0,115,115,58,58,242,242,4888,2528,2534,beyond_walk_forward_limit
SZ.002142,宁波银行,银行,2,126,45.69583333333333,29.0,0.005698654166666667,0.554192,2,2,2,1,120,126,117,117,479,485,4888,2527,2534,"beyond_walk_forward_limit,universe_member_but_panel_missing"
SH.601211,国泰海通,证券,2,118,70.22672413793103,67.0,0.004079117528735632,0.48156999999999994,2,2,2,0,116,118,117,117,463,482,4862,2515,2534,beyond_walk_forward_limit
SZ.000338,潍柴动力,汽车配件,1,101,58.93069306930693,48.0,0.0045879405940594045,0.46338199999999985,1,1,1,0,101,101,59,59,241,241,4896,2532,2534,beyond_walk_forward_limit
SH.600050,中国联通,电信运营,1,81,47.0,43.0,0.005098111111111092,0.41294699999999845,1,1,1,0,81,81,59,59,243,243,4710,2439,2534,beyond_walk_forward_limit
SH.600028,中国石化,石油加工,1,61,68.91803278688525,66.0,0.004117557377049147,0.251170999999998,1,1,1,0,61,61,58,58,242,242,4900,2534,2534,beyond_walk_forward_limit
SH.601728,中国电信,电信运营,1,58,60.96551724137931,49.0,0.0042251379310344235,0.24505799999999656,1,1,1,0,58,58,59,59,243,243,2314,1162,1162,beyond_walk_forward_limit
SH.688041,海光信息,半导体,2,52,48.523809523809526,29.0,0.005420619047619003,0.24366799999999755,2,2,2,1,42,52,117,117,473,483,1822,916,926,"beyond_walk_forward_limit,universe_member_but_panel_missing"
SZ.002028,思源电气,电气设备,1,36,48.638888888888886,45.0,0.005074499999999999,0.18268199999999996,1,1,1,0,36,36,58,58,242,242,4900,2534,2534,beyond_walk_forward_limit
