strategy_id,walk_forward_preset,fold,date,benchmark_weight_date,symbol,benchmark_rank,benchmark_weight,failure_reason
strong_market_effective_participation_v1,baseline_2y_1y_5fold,1,2021-04-01,2021-03-31,SH.601229,52,0.0046,missing_from_pit_panel
strong_market_effective_participation_v1,baseline_2y_1y_5fold,1,2021-04-01,2021-03-31,SH.600837,54,0.0045000000000000005,missing_industry
strong_market_effective_participation_v1,baseline_2y_1y_5fold,1,2021-04-02,2021-04-01,SH.601229,54,0.004509,missing_from_pit_panel
strong_market_effective_participation_v1,baseline_2y_1y_5fold,1,2021-04-02,2021-04-01,SH.600837,55,0.004457,missing_industry
strong_market_effective_participation_v1,baseline_2y_1y_5fold,1,2021-04-06,2021-04-01,SH.601229,54,0.004509,missing_from_pit_panel
strong_market_effective_participation_v1,baseline_2y_1y_5fold,1,2021-04-06,2021-04-01,SH.600837,55,0.004457,missing_industry
strong_market_effective_participation_v1,baseline_2y_1y_5fold,1,2021-04-07,2021-04-01,SH.601229,54,0.004509,missing_from_pit_panel
strong_market_effective_participation_v1,baseline_2y_1y_5fold,1,2021-04-07,2021-04-01,SH.600837,55,0.004457,missing_industry
strong_market_effective_participation_v1,baseline_2y_1y_5fold,1,2021-04-08,2021-04-01,SH.601229,54,0.004509,missing_from_pit_panel
strong_market_effective_participation_v1,baseline_2y_1y_5fold,1,2021-04-08,2021-04-01,SH.600837,55,0.004457,missing_industry
strong_market_effective_participation_v1,baseline_2y_1y_5fold,1,2021-04-09,2021-04-01,SH.601229,54,0.004509,missing_from_pit_panel
strong_market_effective_participation_v1,baseline_2y_1y_5fold,1,2021-04-09,2021-04-01,SH.600837,55,0.004457,missing_industry
strong_market_effective_participation_v1,baseline_2y_1y_5fold,1,2021-04-12,2021-04-01,SH.601229,54,0.004509,missing_from_pit_panel
strong_market_effective_participation_v1,baseline_2y_1y_5fold,1,2021-04-12,2021-04-01,SH.600837,55,0.004457,missing_industry
strong_market_effective_participation_v1,baseline_2y_1y_5fold,1,2021-04-13,2021-04-01,SH.601229,54,0.004509,missing_from_pit_panel
strong_market_effective_participation_v1,baseline_2y_1y_5fold,1,2021-04-13,2021-04-01,SH.600837,55,0.004457,missing_industry
strong_market_effective_participation_v1,baseline_2y_1y_5fold,1,2021-04-14,2021-04-01,SH.601229,54,0.004509,missing_from_pit_panel
strong_market_effective_participation_v1,baseline_2y_1y_5fold,1,2021-04-14,2021-04-01,SH.600837,55,0.004457,missing_industry
strong_market_effective_participation_v1,baseline_2y_1y_5fold,1,2021-04-15,2021-04-01,SH.601229,54,0.004509,missing_from_pit_panel
strong_market_effective_participation_v1,baseline_2y_1y_5fold,1,2021-04-15,2021-04-01,SH.600837,55,0.004457,missing_industry
strong_market_effective_participation_v1,baseline_2y_1y_5fold,1,2021-04-16,2021-04-01,SH.601229,54,0.004509,missing_from_pit_panel
strong_market_effective_participation_v1,baseline_2y_1y_5fold,1,2021-04-16,2021-04-01,SH.600837,55,0.004457,missing_industry
strong_market_effective_participation_v1,baseline_2y_1y_5fold,1,2021-04-19,2021-04-01,SH.601229,54,0.004509,missing_from_pit_panel
strong_market_effective_participation_v1,baseline_2y_1y_5fold,1,2021-04-19,2021-04-01,SH.600837,55,0.004457,missing_industry
strong_market_effective_participation_v1,baseline_2y_1y_5fold,1,2021-04-20,2021-04-01,SH.601229,54,0.004509,missing_from_pit_panel
strong_market_effective_participation_v1,baseline_2y_1y_5fold,1,2021-04-20,2021-04-01,SH.600837,55,0.004457,missing_industry
strong_market_effective_participation_v1,baseline_2y_1y_5fold,1,2021-04-21,2021-04-01,SH.601229,54,0.004509,missing_from_pit_panel
strong_market_effective_participation_v1,baseline_2y_1y_5fold,1,2021-04-21,2021-04-01,SH.600837,55,0.004457,missing_industry
strong_market_effective_participation_v1,baseline_2y_1y_5fold,1,2021-04-22,2021-04-01,SH.601229,54,0.004509,missing_from_pit_panel
strong_market_effective_participation_v1,baseline_2y_1y_5fold,1,2021-04-22,2021-04-01,SH.600837,55,0.004457,missing_industry
strong_market_effective_participation_v1,baseline_2y_1y_5fold,1,2021-04-23,2021-04-01,SH.601229,54,0.004509,missing_from_pit_panel
strong_market_effective_participation_v1,baseline_2y_1y_5fold,1,2021-04-23,2021-04-01,SH.600837,55,0.004457,missing_industry
strong_market_effective_participation_v1,baseline_2y_1y_5fold,1,2021-04-26,2021-04-01,SH.601229,54,0.004509,missing_from_pit_panel
strong_market_effective_participation_v1,baseline_2y_1y_5fold,1,2021-04-26,2021-04-01,SH.600837,55,0.004457,missing_industry
strong_market_effective_participation_v1,baseline_2y_1y_5fold,1,2021-04-27,2021-04-01,SH.601229,54,0.004509,missing_from_pit_panel
strong_market_effective_participation_v1,baseline_2y_1y_5fold,1,2021-04-27,2021-04-01,SH.600837,55,0.004457,missing_industry
strong_market_effective_participation_v1,baseline_2y_1y_5fold,1,2021-04-28,2021-04-01,SH.601229,54,0.004509,missing_from_pit_panel
strong_market_effective_participation_v1,baseline_2y_1y_5fold,1,2021-04-28,2021-04-01,SH.600837,55,0.004457,missing_industry
strong_market_effective_participation_v1,baseline_2y_1y_5fold,1,2021-04-29,2021-04-01,SH.601229,54,0.004509,missing_from_pit_panel
strong_market_effective_participation_v1,baseline_2y_1y_5fold,1,2021-04-29,2021-04-01,SH.600837,55,0.004457,missing_industry
strong_market_effective_participation_v1,baseline_2y_1y_5fold,1,2021-04-30,2021-04-01,SH.601229,54,0.004509,missing_from_pit_panel
strong_market_effective_participation_v1,baseline_2y_1y_5fold,1,2021-04-30,2021-04-01,SH.600837,55,0.004457,missing_industry
strong_market_effective_participation_v1,baseline_2y_1y_5fold,1,2021-05-06,2021-04-30,SH.600837,59,0.00443,missing_industry
strong_market_effective_participation_v1,baseline_2y_1y_5fold,1,2021-05-07,2021-05-06,SH.600837,58,0.004494000000000001,missing_industry
strong_market_effective_participation_v1,baseline_2y_1y_5fold,1,2021-05-10,2021-05-06,SH.600837,58,0.004494000000000001,missing_industry
strong_market_effective_participation_v1,baseline_2y_1y_5fold,1,2021-05-11,2021-05-06,SH.600837,58,0.004494000000000001,missing_industry
strong_market_effective_participation_v1,baseline_2y_1y_5fold,1,2021-05-12,2021-05-06,SH.600837,58,0.004494000000000001,missing_industry
strong_market_effective_participation_v1,baseline_2y_1y_5fold,1,2021-05-13,2021-05-06,SH.600837,58,0.004494000000000001,missing_industry
strong_market_effective_participation_v1,baseline_2y_1y_5fold,1,2021-05-14,2021-05-06,SH.600837,58,0.004494000000000001,missing_industry
strong_market_effective_participation_v1,baseline_2y_1y_5fold,1,2021-05-17,2021-05-06,SH.600837,58,0.004494000000000001,missing_industry
strong_market_effective_participation_v1,baseline_2y_1y_5fold,1,2021-05-18,2021-05-06,SH.600837,58,0.004494000000000001,missing_industry
strong_market_effective_participation_v1,baseline_2y_1y_5fold,1,2021-05-19,2021-05-06,SH.600837,58,0.004494000000000001,missing_industry
strong_market_effective_participation_v1,baseline_2y_1y_5fold,1,2021-05-20,2021-05-06,SH.600837,58,0.004494000000000001,missing_industry
strong_market_effective_participation_v1,baseline_2y_1y_5fold,1,2021-05-21,2021-05-06,SH.600837,58,0.004494000000000001,missing_industry
strong_market_effective_participation_v1,baseline_2y_1y_5fold,1,2021-05-24,2021-05-06,SH.600837,58,0.004494000000000001,missing_industry
strong_market_effective_participation_v1,baseline_2y_1y_5fold,1,2021-05-25,2021-05-06,SH.600837,58,0.004494000000000001,missing_industry
strong_market_effective_participation_v1,baseline_2y_1y_5fold,1,2021-05-26,2021-05-06,SH.600837,58,0.004494000000000001,missing_industry
strong_market_effective_participation_v1,baseline_2y_1y_5fold,1,2021-05-27,2021-05-06,SH.600837,58,0.004494000000000001,missing_industry
strong_market_effective_participation_v1,baseline_2y_1y_5fold,1,2021-05-28,2021-05-06,SH.600837,58,0.004494000000000001,missing_industry
strong_market_effective_participation_v1,baseline_2y_1y_5fold,1,2021-05-31,2021-05-06,SH.600837,58,0.004494000000000001,missing_industry
strong_market_effective_participation_v1,baseline_2y_1y_5fold,1,2021-07-01,2021-06-30,SH.600837,46,0.00519,missing_industry
strong_market_effective_participation_v1,baseline_2y_1y_5fold,1,2021-07-01,2021-06-30,SH.601816,49,0.00486,missing_from_pit_panel
strong_market_effective_participation_v1,baseline_2y_1y_5fold,1,2021-07-02,2021-07-01,SH.600837,45,0.005278000000000001,missing_industry
strong_market_effective_participation_v1,baseline_2y_1y_5fold,1,2021-07-02,2021-07-01,SH.601816,50,0.0048270000000000006,missing_from_pit_panel
strong_market_effective_participation_v1,baseline_2y_1y_5fold,1,2021-07-05,2021-07-01,SH.600837,45,0.005278000000000001,missing_industry
strong_market_effective_participation_v1,baseline_2y_1y_5fold,1,2021-07-05,2021-07-01,SH.601816,50,0.0048270000000000006,missing_from_pit_panel
strong_market_effective_participation_v1,baseline_2y_1y_5fold,1,2021-07-06,2021-07-01,SH.600837,45,0.005278000000000001,missing_industry
strong_market_effective_participation_v1,baseline_2y_1y_5fold,1,2021-07-06,2021-07-01,SH.601816,50,0.0048270000000000006,missing_from_pit_panel
strong_market_effective_participation_v1,baseline_2y_1y_5fold,1,2021-07-07,2021-07-01,SH.600837,45,0.005278000000000001,missing_industry
strong_market_effective_participation_v1,baseline_2y_1y_5fold,1,2021-07-07,2021-07-01,SH.601816,50,0.0048270000000000006,missing_from_pit_panel
strong_market_effective_participation_v1,baseline_2y_1y_5fold,1,2021-07-08,2021-07-01,SH.600837,45,0.005278000000000001,missing_industry
strong_market_effective_participation_v1,baseline_2y_1y_5fold,1,2021-07-08,2021-07-01,SH.601816,50,0.0048270000000000006,missing_from_pit_panel
strong_market_effective_participation_v1,baseline_2y_1y_5fold,1,2021-07-09,2021-07-01,SH.600837,45,0.005278000000000001,missing_industry
strong_market_effective_participation_v1,baseline_2y_1y_5fold,1,2021-07-09,2021-07-01,SH.601816,50,0.0048270000000000006,missing_from_pit_panel
strong_market_effective_participation_v1,baseline_2y_1y_5fold,1,2021-07-12,2021-07-01,SH.600837,45,0.005278000000000001,missing_industry
strong_market_effective_participation_v1,baseline_2y_1y_5fold,1,2021-07-12,2021-07-01,SH.601816,50,0.0048270000000000006,missing_from_pit_panel
strong_market_effective_participation_v1,baseline_2y_1y_5fold,1,2021-07-13,2021-07-01,SH.600837,45,0.005278000000000001,missing_industry
