symbol,name,industry,missing_folds,missing_days,avg_rank,min_rank,avg_weight,total_missing_weight,in_pit_snapshot_folds,in_pit_filtered_folds,in_pit_selected_before_limit_folds,in_pit_universe_folds,missing_dates_present_in_valid_bfq,missing_dates_present_in_valid_adj,snapshot_bfq_rows,snapshot_basic_rows,valid_bfq_rows,valid_adj_factor_rows,db_daily_rows,db_daily_basic_rows,db_adj_factor_rows,classification
SH.600000,浦发银行,银行,3,725,52.438228915868386,30.0,0.00491935961272475,3.5659409999999943,3,3,2,0,725,725,176,176,725,725,4900,2516,2534,"beyond_walk_forward_limit,ranked_out_or_balanced_out_of_pit_universe"
SH.600016,民生银行,银行,2,484,49.88274166282465,34.0,0.004939135332889359,2.3900649999999963,2,2,1,0,484,484,118,118,484,484,4900,2534,2534,"beyond_walk_forward_limit,ranked_out_or_balanced_out_of_pit_universe"
SH.600837,,,2,295,48.38723682188412,39.0,0.004975229675733819,1.4757489999999973,2,2,2,1,241,275,117,117,427,462,4220,2189,2224,"beyond_walk_forward_limit,universe_member_but_panel_missing"
SH.601229,上海银行,银行,3,309,56.243993993993996,42.0,0.004525237880737881,1.4014219999999997,3,3,3,0,309,309,175,175,726,726,4636,2323,2323,beyond_walk_forward_limit
SH.601816,京沪高铁,铁路,1,243,47.78600823045267,33.0,0.005270991769547315,1.2808509999999975,1,1,1,0,243,243,59,59,243,243,3088,1549,1549,beyond_walk_forward_limit
SH.601169,北京银行,银行,2,182,61.669871794871796,48.0,0.004367939102564103,0.8006030000000002,2,2,1,0,182,182,117,117,483,483,4884,2526,2534,"beyond_walk_forward_limit,ranked_out_or_balanced_out_of_pit_universe"
SH.600089,特变电工,电气设备,1,115,51.25217391304348,38.0,0.004881365217391294,0.5613569999999988,1,1,1,0,115,115,58,58,242,242,4888,2528,2534,beyond_walk_forward_limit
SH.601728,中国电信,电信运营,1,58,60.96551724137931,49.0,0.0042251379310344235,0.24505799999999656,1,1,1,0,58,58,59,59,243,243,2314,1162,1162,beyond_walk_forward_limit
SZ.002028,思源电气,电气设备,1,36,48.638888888888886,45.0,0.005074499999999999,0.18268199999999996,1,1,1,0,36,36,58,58,242,242,4900,2534,2534,beyond_walk_forward_limit
SH.600104,上汽集团,汽车整车,1,41,70.97560975609755,70.0,0.003976097560975609,0.16302,1,1,1,0,41,41,59,59,241,241,4900,2534,2534,beyond_walk_forward_limit
SH.600900,长江电力,水力发电,2,11,10.3,7.0,0.0133226,0.129274,2,2,2,2,0,11,118,118,475,486,4878,2517,2534,universe_member_but_panel_missing
SH.600745,*ST闻泰,半导体,1,19,60.10526315789474,60.0,0.004396947368421053,0.083542,1,0,0,0,19,19,59,59,243,243,4500,2272,2534,filtered_out_before_universe_selection
SH.601766,中国中车,运输设备,1,23,72.0,72.0,0.0035419130434782577,0.08146399999999993,1,1,1,0,23,23,59,59,243,243,4880,2524,2534,beyond_walk_forward_limit
SH.601009,南京银行,银行,1,20,70.0,70.0,0.004027000000000001,0.08054000000000001,1,1,0,0,20,20,58,58,242,242,4896,2532,2534,ranked_out_or_balanced_out_of_pit_universe
SH.688041,海光信息,半导体,1,10,30.0,29.0,0.006614499999999961,0.0661449999999996,1,1,1,1,0,10,58,58,232,242,1822,916,926,universe_member_but_panel_missing
SH.600030,中信证券,证券,1,6,15.0,15.0,0.010202000000000001,0.061212,1,1,1,1,0,6,59,59,237,243,4866,2517,2534,universe_member_but_panel_missing
SH.601088,中国神华,煤炭开采,1,10,36.0,36.0,0.005758,0.05758,1,1,1,1,0,10,58,58,232,242,4752,2460,2534,universe_member_but_panel_missing
SH.688981,中芯国际,半导体,1,6,21.0,21.0,0.009513333333333316,0.057079999999999895,1,1,1,1,0,6,58,58,236,242,2840,1425,1431,universe_member_but_panel_missing
SH.600150,中国船舶,船舶,1,10,59.0,59.0,0.004658999999999999,0.04658999999999999,1,1,1,1,0,10,58,58,231,241,4618,2393,2534,universe_member_but_panel_missing
SH.603019,中科曙光,IT设备,1,10,52.8,50.0,0.0046199,0.046199,1,1,1,1,0,10,58,58,232,242,4874,2521,2534,universe_member_but_panel_missing
SZ.002142,宁波银行,银行,1,6,29.166666666666668,29.0,0.0071358333333333334,0.042815,1,1,1,1,0,6,59,59,237,243,4888,2527,2534,universe_member_but_panel_missing
SH.688012,DR中微公,半导体,1,9,49.0,49.0,0.004705,0.042345,1,1,1,1,0,9,58,58,233,242,3312,1661,1670,universe_member_but_panel_missing
SH.601211,国泰海通,证券,1,2,71.0,71.0,0.004033,0.008066,1,1,1,1,0,2,58,58,222,241,4862,2515,2534,universe_member_but_panel_missing
