panel_limit,classification,fold_symbol_rows,symbols,missing_days,missing_weight
120,beyond_walk_forward_limit,61,30,9746,50.4465789999999
120,ranked_out_or_balanced_out_of_pit_universe,3,3,560,2.6715399999999976
120,universe_member_but_panel_missing,3,3,22,0.1660399999999994
200,beyond_walk_forward_limit,31,20,4078,21.454037999999958
200,ranked_out_or_balanced_out_of_pit_universe,4,4,580,2.7520799999999976
200,universe_member_but_panel_missing,11,10,80,0.5573059999999993
200,filtered_out_before_universe_selection,1,1,19,0.083542
300,beyond_walk_forward_limit,14,11,1897,9.210335999999982
300,ranked_out_or_balanced_out_of_pit_universe,4,4,580,2.7520799999999976
300,universe_member_but_panel_missing,12,11,134,0.8236419999999992
300,filtered_out_before_universe_selection,1,1,19,0.083542
