strategy_id,walk_forward_preset,fold,symbol,name,industry,valid_start,valid_end,train_end,missing_days,avg_rank,min_rank,avg_weight,total_missing_weight,in_pit_snapshot,in_pit_filtered,in_pit_scored,in_pit_selected_before_limit,in_pit_universe,pit_universe_rank,pit_universe_score,pit_liquidity_rank,pit_size_rank,pit_walk_forward_limit,snapshot_window_start,snapshot_bfq_rows,snapshot_qfq_rows,snapshot_basic_rows,valid_bfq_rows,valid_qfq_rows,valid_adj_factor_rows,valid_basic_rows,missing_dates_present_in_valid_bfq,missing_dates_present_in_valid_qfq,missing_dates_present_in_valid_adj,db_stock_metadata,db_daily_rows,db_daily_min_date,db_daily_max_date,db_daily_basic_rows,db_adj_factor_rows,classification
strong_market_effective_participation_v1,baseline_2y_1y_5fold,1,SH.600030,中信证券,证券,2021-04-01,2022-03-31,2021-03-31,6,15.0,15.0,0.010202000000000001,0.061212,True,True,True,True,True,17.0,0.9857534246575343,0.9879452054794521,0.9824657534246576,120,2020-12-31,59,59,59,237,237,243,237,0,0,6,True,4866,2016-05-03,2026-06-24,2517,2534,universe_member_but_panel_missing
strong_market_effective_participation_v1,baseline_2y_1y_5fold,1,SH.600900,长江电力,水力发电,2021-04-01,2022-03-31,2021-03-31,10,13.6,12.0,0.011403199999999999,0.114032,True,True,True,True,True,54.0,0.9623013698630136,0.941917808219178,0.9928767123287672,120,2020-12-31,59,59,59,233,233,243,233,0,0,10,True,4878,2016-05-03,2026-06-24,2517,2534,universe_member_but_panel_missing
strong_market_effective_participation_v1,baseline_2y_1y_5fold,1,SZ.002142,宁波银行,银行,2021-04-01,2022-03-31,2021-03-31,6,29.166666666666668,29.0,0.0071358333333333334,0.042815,True,True,True,True,True,58.0,0.9598904109589042,0.9452054794520548,0.9819178082191781,120,2020-12-31,59,59,59,237,237,243,237,0,0,6,True,4888,2016-05-03,2026-06-24,2527,2534,universe_member_but_panel_missing
strong_market_effective_participation_v1,baseline_2y_1y_5fold,2,SH.600900,长江电力,水力发电,2022-04-01,2023-03-31,2022-03-31,1,7.0,7.0,0.015242,0.015242,True,True,True,True,True,79.0,0.9492273730684326,0.9183222958057395,0.9955849889624724,120,2021-12-31,59,59,59,242,242,243,242,0,0,1,True,4878,2016-05-03,2026-06-24,2517,2534,universe_member_but_panel_missing
strong_market_effective_participation_v1,baseline_2y_1y_5fold,4,SH.600150,中国船舶,船舶,2024-04-01,2025-03-31,2024-03-29,10,59.0,59.0,0.004658999999999999,0.04658999999999999,True,True,True,True,True,28.0,0.9811889973380656,0.9822537710736469,0.9795918367346939,120,2023-12-30,58,58,58,231,231,241,231,0,0,10,True,4618,2016-05-03,2026-06-24,2393,2534,universe_member_but_panel_missing
strong_market_effective_participation_v1,baseline_2y_1y_5fold,4,SH.600837,,,2024-04-01,2025-03-31,2024-03-29,54,48.425925925925924,45.0,0.004932148148148147,0.26633599999999996,True,True,True,True,False,290.0,0.8297249334516416,0.7555456965394853,0.9409937888198758,120,2023-12-30,58,58,58,186,186,221,186,0,0,34,False,4220,2016-05-03,2025-02-05,2189,2224,beyond_walk_forward_limit
strong_market_effective_participation_v1,baseline_2y_1y_5fold,4,SH.601211,国泰海通,证券,2024-04-01,2025-03-31,2024-03-29,2,71.0,71.0,0.004033,0.008066,True,True,True,True,False,170.0,0.8903283052351375,0.8438331854480923,0.9600709849157054,120,2023-12-30,58,58,58,222,222,241,222,0,0,2,True,4862,2016-05-03,2026-06-24,2515,2534,beyond_walk_forward_limit
strong_market_effective_participation_v1,baseline_2y_1y_5fold,5,SH.601088,中国神华,煤炭开采,2025-04-01,2026-03-31,2025-03-31,10,36.0,36.0,0.005758,0.05758,True,True,True,True,True,58.0,0.9562734785875282,0.9293764087152517,0.9966190833959429,120,2024-12-31,58,58,58,232,232,242,232,0,0,10,True,4752,2016-05-03,2026-06-24,2460,2534,universe_member_but_panel_missing
strong_market_effective_participation_v1,baseline_2y_1y_5fold,5,SH.603019,中科曙光,IT设备,2025-04-01,2026-03-31,2025-03-31,10,52.8,50.0,0.0046199,0.046199,True,True,True,True,True,26.0,0.9792637114951164,0.994740796393689,0.9560480841472577,120,2024-12-31,58,58,58,232,232,242,232,0,0,10,True,4874,2016-05-03,2026-06-24,2521,2534,universe_member_but_panel_missing
strong_market_effective_participation_v1,baseline_2y_1y_5fold,5,SH.688012,DR中微公,半导体,2025-04-01,2026-03-31,2025-03-31,9,49.0,49.0,0.004705,0.042345,True,True,True,True,True,51.0,0.9598797896318556,0.9556724267468069,0.966190833959429,120,2024-12-31,58,58,58,233,233,242,233,0,0,9,True,3312,2019-07-22,2026-06-24,1661,1670,universe_member_but_panel_missing
strong_market_effective_participation_v1,baseline_2y_1y_5fold,5,SH.688041,海光信息,半导体,2025-04-01,2026-03-31,2025-03-31,10,30.0,29.0,0.006614499999999961,0.0661449999999996,True,True,True,True,True,17.0,0.9850488354620586,0.9951164537941397,0.9699474079639369,120,2024-12-31,58,58,58,232,232,242,232,0,0,10,True,1822,2022-08-12,2026-06-24,916,926,universe_member_but_panel_missing
strong_market_effective_participation_v1,baseline_2y_1y_5fold,5,SH.688981,中芯国际,半导体,2025-04-01,2026-03-31,2025-03-31,6,21.0,21.0,0.009513333333333316,0.057079999999999895,True,True,True,True,True,6.0,0.991885800150263,0.9984973703981969,0.9819684447783621,120,2024-12-31,58,58,58,236,236,242,236,0,0,6,True,2840,2020-07-16,2026-06-24,1425,1431,universe_member_but_panel_missing
