symbol,name,industry,missing_folds,missing_days,avg_rank,min_rank,avg_weight,total_missing_weight,in_pit_snapshot_folds,in_pit_filtered_folds,in_pit_selected_before_limit_folds,in_pit_universe_folds,missing_dates_present_in_valid_bfq,missing_dates_present_in_valid_adj,snapshot_bfq_rows,snapshot_basic_rows,valid_bfq_rows,valid_adj_factor_rows,db_daily_rows,db_daily_basic_rows,db_adj_factor_rows,classification
SH.600837,,,1,54,48.425925925925924,45.0,0.004932148148148147,0.26633599999999996,1,1,1,0,0,34,58,58,186,221,4220,2189,2224,beyond_walk_forward_limit
SH.600900,长江电力,水力发电,2,11,10.3,7.0,0.0133226,0.129274,2,2,2,2,0,11,118,118,475,486,4878,2517,2534,universe_member_but_panel_missing
SH.688041,海光信息,半导体,1,10,30.0,29.0,0.006614499999999961,0.0661449999999996,1,1,1,1,0,10,58,58,232,242,1822,916,926,universe_member_but_panel_missing
SH.600030,中信证券,证券,1,6,15.0,15.0,0.010202000000000001,0.061212,1,1,1,1,0,6,59,59,237,243,4866,2517,2534,universe_member_but_panel_missing
SH.601088,中国神华,煤炭开采,1,10,36.0,36.0,0.005758,0.05758,1,1,1,1,0,10,58,58,232,242,4752,2460,2534,universe_member_but_panel_missing
SH.688981,中芯国际,半导体,1,6,21.0,21.0,0.009513333333333316,0.057079999999999895,1,1,1,1,0,6,58,58,236,242,2840,1425,1431,universe_member_but_panel_missing
SH.600150,中国船舶,船舶,1,10,59.0,59.0,0.004658999999999999,0.04658999999999999,1,1,1,1,0,10,58,58,231,241,4618,2393,2534,universe_member_but_panel_missing
SH.603019,中科曙光,IT设备,1,10,52.8,50.0,0.0046199,0.046199,1,1,1,1,0,10,58,58,232,242,4874,2521,2534,universe_member_but_panel_missing
SZ.002142,宁波银行,银行,1,6,29.166666666666668,29.0,0.0071358333333333334,0.042815,1,1,1,1,0,6,59,59,237,243,4888,2527,2534,universe_member_but_panel_missing
SH.688012,DR中微公,半导体,1,9,49.0,49.0,0.004705,0.042345,1,1,1,1,0,9,58,58,233,242,3312,1661,1670,universe_member_but_panel_missing
SH.601211,国泰海通,证券,1,2,71.0,71.0,0.004033,0.008066,1,1,1,0,0,2,58,58,222,241,4862,2515,2534,beyond_walk_forward_limit
