strategy_id,walk_forward_preset,fold,valid_start,valid_end,market_context_label,benchmark_symbol,symbol,name,industry,missed_days,avg_benchmark_weight,max_benchmark_weight,avg_benchmark_rank,first_missing_date,last_missing_date,top_n_parameter
strong_market_core_participation_v1,baseline_2y_1y_5fold,1,2021-04-01,2022-03-31,absolute_loss_but_benchmark_weak_context,SH.000300,SH.600519,贵州茅台,白酒,236,0.05633159322033899,0.061772,1.0,2021-04-01,2022-03-31,20
strong_market_core_participation_v1,baseline_2y_1y_5fold,1,2021-04-01,2022-03-31,absolute_loss_but_benchmark_weak_context,SH.000300,SZ.300750,宁德时代,电气设备,58,0.03690220689655172,0.04042,2.0,2022-01-04,2022-03-31,20
strong_market_core_participation_v1,baseline_2y_1y_5fold,1,2021-04-01,2022-03-31,absolute_loss_but_benchmark_weak_context,SH.000300,SH.600036,招商银行,银行,236,0.03153954661016949,0.035840000000000004,2.5677966101694913,2021-04-01,2022-03-31,20
strong_market_core_participation_v1,baseline_2y_1y_5fold,1,2021-04-01,2022-03-31,absolute_loss_but_benchmark_weak_context,SH.000300,SH.601318,中国平安,保险,243,0.03112032098765432,0.044829999999999995,2.897119341563786,2021-04-01,2022-03-31,20
strong_market_core_participation_v1,baseline_2y_1y_5fold,1,2021-04-01,2022-03-31,absolute_loss_but_benchmark_weak_context,SH.000300,SZ.000858,五 粮 液,白酒,236,0.022776161016949154,0.030430000000000002,4.338983050847458,2021-04-01,2022-03-31,20
strong_market_core_participation_v1,baseline_2y_1y_5fold,1,2021-04-01,2022-03-31,absolute_loss_but_benchmark_weak_context,SH.000300,SZ.000333,美的集团,家用电器,243,0.017824378600823046,0.021808,5.790123456790123,2021-04-01,2022-03-31,20
strong_market_core_participation_v1,baseline_2y_1y_5fold,1,2021-04-01,2022-03-31,absolute_loss_but_benchmark_weak_context,SH.000300,SH.601012,隆基绿能,电气设备,236,0.016822580508474575,0.021718,6.635593220338983,2021-04-01,2022-03-31,20
strong_market_core_participation_v1,baseline_2y_1y_5fold,1,2021-04-01,2022-03-31,absolute_loss_but_benchmark_weak_context,SH.000300,SH.601166,兴业银行,银行,243,0.014725123456790125,0.018420000000000002,7.806584362139918,2021-04-01,2022-03-31,20
strong_market_core_participation_v1,baseline_2y_1y_5fold,1,2021-04-01,2022-03-31,absolute_loss_but_benchmark_weak_context,SH.000300,SZ.300059,东方财富,证券,236,0.012680330508474575,0.014497,10.457627118644067,2021-04-01,2022-03-31,20
strong_market_core_participation_v1,baseline_2y_1y_5fold,1,2021-04-01,2022-03-31,absolute_loss_but_benchmark_weak_context,SH.000300,SH.600276,恒瑞医药,化学制药,240,0.0125071,0.018191,12.095833333333333,2021-04-01,2022-03-31,20
