fold,recovery_quality_index_context,industry,days_present,avg_live_weight,sum_live_weight,avg_target_weight
2,True,白酒,34,0.065049,2.211668,0.06976
2,True,电气设备,34,0.057944,1.970088,0.062208
2,True,银行,34,0.056791,1.930898,0.060597
2,True,保险,34,0.020169,0.685733,0.021543
2,True,家用电器,34,0.017161,0.583458,0.018359
2,True,证券,34,0.015693,0.533568,0.016795
2,True,汽车整车,34,0.013424,0.456415,0.014418
2,True,化学制药,34,0.012229,0.415775,0.013097
2,True,元器件,34,0.010734,0.364945,0.011509
2,True,半导体,34,0.010614,0.360873,0.011442
2,True,小金属,34,0.010308,0.350469,0.011137
2,True,医疗保健,34,0.008912,0.303017,0.009524
2,True,水力发电,34,0.008069,0.274338,0.00862
2,True,全国地产,34,0.00792,0.269283,0.008469
2,True,农业综合,34,0.007764,0.263962,0.008328
2,True,旅游服务,34,0.006786,0.230715,0.007272
2,True,乳制品,34,0.006479,0.220287,0.006946
2,True,化工原料,34,0.006348,0.215844,0.006832
2,True,煤炭开采,34,0.00565,0.192094,0.006036
2,True,IT设备,34,0.005431,0.18465,0.005807
2,True,铜,34,0.005221,0.177504,0.005561
2,True,仓储物流,34,0.004217,0.143367,0.004508
2,True,电器仪表,34,0.004144,0.140883,0.004416
2,True,农药化肥,30,0.004609,0.138261,0.005008
2,True,建筑工程,34,0.003892,0.13232,0.004114
2,True,电信运营,24,0.005479,0.131499,0.005809
2,True,食品,34,0.003646,0.123949,0.00391
2,True,铁路,34,0.003579,0.121673,0.003822
2,True,软件服务,25,0.00486,0.121494,0.005271
2,True,生物制药,34,0.003481,0.118347,0.00373
2,True,工程机械,34,0.003453,0.1174,0.003704
2,True,中成药,34,0.003064,0.104186,0.003291
2,True,UNKNOWN,34,0.002922,0.099365,0.003124
2,True,通信设备,34,0.00268,0.091103,0.002859
2,True,其他建材,34,0.002599,0.088374,0.0028
2,True,水运,34,0.002411,0.081963,0.002566
2,True,水泥,34,0.002407,0.081844,0.002574
2,True,广告包装,23,0.002363,0.054358,0.002482
2,True,运输设备,11,0.000826,0.009084,0.000751
2,True,新型电力,5,0.000826,0.00413,0.000661
2,True,汽车配件,1,0.000815,0.000815,0.000815
2,False,白酒,22,0.054172,1.191778,0.055999
2,False,电气设备,22,0.047783,1.051233,0.049149
2,False,银行,22,0.046223,1.016905,0.047755
2,False,保险,22,0.016408,0.360978,0.016994
2,False,家用电器,22,0.014225,0.312952,0.01471
2,False,证券,22,0.01304,0.286871,0.013432
