run_started_at,run_finished_at,status,start_period,end_period,single_period,shard_index,shard_count,retry_failed,replace_existing,limit_symbols,limit_tasks,max_runtime_minutes,max_requests_per_minute,target_tasks,processed_tasks,fetched_tasks,empty_tasks,failed_tasks,inserted_rows,warning_count,detail_report_csv,detail_report_md,key_conclusion
2026-06-05T15:32:12,2026-06-05T15:32:13,ok,2016-03-31,2018-03-31,2017-09-30,0,1,False,False,,0.0,1.0,120,0,0,0,0,0,0,0,/home/zj/workspace/stok-mapping/reports/2026-06-05/tushare_financial_backfill_audit_260605_20170930.csv,/home/zj/workspace/stok-mapping/reports/2026-06-05/tushare_financial_backfill_audit_260605_20170930.md,"2017-09-30 shard 0/1, processed=0, fetched=0, failed=0, inserted_rows=0, warnings=0"
2026-06-05T15:34:37,2026-06-05T15:44:59,ok,2017-09-16,2017-09-30,,0,1,False,False,,,,67,294,294,294,0,0,294,0,/home/zj/workspace/stok-mapping/reports/2026-06-05/tushare_financial_backfill_audit_260605_20170916_20170930.csv,/home/zj/workspace/stok-mapping/reports/2026-06-05/tushare_financial_backfill_audit_260605_20170916_20170930.md,"2017-09-16..2017-09-30 shard 0/1, processed=294, fetched=294, failed=0, inserted_rows=294, warnings=0"
2026-06-05T15:48:53,2026-06-05T16:19:35,ok,2017-10-01,2017-10-31,,2,3,False,False,,,,67,1047,1047,0,1047,0,0,0,/home/zj/workspace/stok-mapping/reports/2026-06-05/tushare_financial_backfill_audit_260605_20171001_20171031.csv,/home/zj/workspace/stok-mapping/reports/2026-06-05/tushare_financial_backfill_audit_260605_20171001_20171031.md,"2017-10-01..2017-10-31 shard 2/3, processed=1047, fetched=0, failed=0, inserted_rows=0, warnings=0"
2026-06-05T15:48:33,2026-06-05T16:25:16,ok,2017-10-01,2017-10-31,,1,3,False,False,,,,67,1052,1052,0,1052,0,0,0,/home/zj/workspace/stok-mapping/reports/2026-06-05/tushare_financial_backfill_audit_260605_20171001_20171031.csv,/home/zj/workspace/stok-mapping/reports/2026-06-05/tushare_financial_backfill_audit_260605_20171001_20171031.md,"2017-10-01..2017-10-31 shard 1/3, processed=1052, fetched=0, failed=0, inserted_rows=0, warnings=0"
2026-06-05T15:48:23,2026-06-05T16:25:36,ok,2017-10-01,2017-10-31,,0,3,False,False,,,,67,1054,1054,0,1054,0,0,0,/home/zj/workspace/stok-mapping/reports/2026-06-05/tushare_financial_backfill_audit_260605_20171001_20171031.csv,/home/zj/workspace/stok-mapping/reports/2026-06-05/tushare_financial_backfill_audit_260605_20171001_20171031.md,"2017-10-01..2017-10-31 shard 0/3, processed=1054, fetched=0, failed=0, inserted_rows=0, warnings=0"
2026-06-05T16:43:59,2026-06-05T17:12:42,ok,2017-11-01,2017-11-30,,1,3,False,False,,,,67,1062,1062,0,1062,0,0,0,/home/zj/workspace/stok-mapping/reports/2026-06-05/tushare_financial_backfill_audit_260605_20171101_20171130.csv,/home/zj/workspace/stok-mapping/reports/2026-06-05/tushare_financial_backfill_audit_260605_20171101_20171130.md,"2017-11-01..2017-11-30 shard 1/3, processed=1062, fetched=0, failed=0, inserted_rows=0, warnings=0"
2026-06-05T16:44:06,2026-06-05T17:19:07,ok,2017-11-01,2017-11-30,,2,3,False,False,,,,67,1059,1059,0,1059,0,0,0,/home/zj/workspace/stok-mapping/reports/2026-06-05/tushare_financial_backfill_audit_260605_20171101_20171130.csv,/home/zj/workspace/stok-mapping/reports/2026-06-05/tushare_financial_backfill_audit_260605_20171101_20171130.md,"2017-11-01..2017-11-30 shard 2/3, processed=1059, fetched=0, failed=0, inserted_rows=0, warnings=0"
2026-06-05T16:43:46,2026-06-05T17:22:44,ok,2017-11-01,2017-11-30,,0,3,False,False,,,,67,1064,1064,0,1064,0,0,0,/home/zj/workspace/stok-mapping/reports/2026-06-05/tushare_financial_backfill_audit_260605_20171101_20171130.csv,/home/zj/workspace/stok-mapping/reports/2026-06-05/tushare_financial_backfill_audit_260605_20171101_20171130.md,"2017-11-01..2017-11-30 shard 0/3, processed=1064, fetched=0, failed=0, inserted_rows=0, warnings=0"
2026-06-05T17:26:22,2026-06-05T18:02:38,ok,2017-12-01,2017-12-31,,1,3,False,False,,,,67,1081,1081,1081,0,0,1081,0,/home/zj/workspace/stok-mapping/reports/2026-06-05/tushare_financial_backfill_audit_260605_20171201_20171231.csv,/home/zj/workspace/stok-mapping/reports/2026-06-05/tushare_financial_backfill_audit_260605_20171201_20171231.md,"2017-12-01..2017-12-31 shard 1/3, processed=1081, fetched=1081, failed=0, inserted_rows=1081, warnings=0"
2026-06-05T17:26:09,2026-06-05T18:03:46,ok,2017-12-01,2017-12-31,,2,3,False,False,,,,67,1082,1082,1081,1,0,1081,0,/home/zj/workspace/stok-mapping/reports/2026-06-05/tushare_financial_backfill_audit_260605_20171201_20171231.csv,/home/zj/workspace/stok-mapping/reports/2026-06-05/tushare_financial_backfill_audit_260605_20171201_20171231.md,"2017-12-01..2017-12-31 shard 2/3, processed=1082, fetched=1081, failed=0, inserted_rows=1081, warnings=0"
